Symbol	logFC	logCPM	LR	PValue	FDR	DEG_1	DEG_5	DEG_10	Direction
CYB561D2	-4.07124679083954	2.93918087463126	1728.74299122129	0	0	yes	yes	yes	Down
RPS19BP1	1.42699001705924	5.03997390618632	576.613718961104	2.04488771419691e-127	1.58744633253106e-123	yes	yes	yes	Up
ANAPC11	1.1870615457051	4.97709381870737	550.196914730194	1.14065204526319e-121	5.90325455158541e-118	yes	yes	yes	Up
COPS9	1.52755408334459	3.84967177037704	540.221697146909	1.68734069215836e-119	6.54941289661266e-116	yes	yes	yes	Up
CHCHD1	1.08666874244676	4.40574483051706	502.255026032865	3.07131479514639e-111	9.53704670188858e-108	yes	yes	yes	Up
ATP5PO	1.22171485887608	4.89033724761958	451.537990331757	3.33739479701809e-100	8.63606526975047e-97	yes	yes	yes	Up
NDUFB2	0.987461557370811	4.76771452812039	440.697579915359	7.63178653252639e-98	1.69273025291435e-94	no	no	no	None
NDUFA2	0.904564202620864	4.74648855693495	355.062113596695	3.34822708089794e-79	6.49807170725269e-76	no	no	no	None
SIVA1	1.10907974951599	5.10833079652568	349.524761366489	5.37811083756132e-78	8.55213345673307e-75	yes	yes	yes	Up
SPATA13	-5.09014004193738	5.20008679457189	349.477071713596	5.5082657843186e-78	8.55213345673307e-75	yes	yes	yes	Down
RPS12	1.38778197083284	8.72644235196956	340.377332437505	5.28073583367907e-76	7.45351859579103e-73	yes	yes	yes	Up
COMMD4	0.957746966594796	5.15557864315579	338.581185941686	1.29976528016494e-75	1.68167964498673e-72	no	no	no	None
RPS21	1.58238255184255	6.66875024074265	327.039705369816	4.24181928644398e-73	5.06603740317917e-70	yes	yes	yes	Up
HINT2	1.14339721114937	4.05652951435303	324.496310286115	1.51889759743384e-72	1.68445743555412e-69	yes	yes	yes	Up
ROMO1	1.0331534195359	5.10267210971593	304.957414707012	2.73997516539103e-68	2.83605696119075e-65	yes	yes	yes	Up
TMED1	1.22599388026733	3.01213081928351	298.41942494191	7.27995045548916e-67	7.06428192324529e-64	yes	yes	yes	Up
S100A6	1.12317559119791	10.5443017153013	293.383079715456	9.10811145565151e-66	8.31838461532031e-63	yes	yes	yes	Up
NDUFA9	0.989098366391696	3.69747814286352	286.334852386059	3.12734687685691e-64	2.69751042278224e-61	no	no	no	None
SEM1	0.835228116100477	5.40082664232286	279.755087622501	8.49115698394648e-63	6.93861596488174e-60	no	no	no	None
COX7C	0.817238938211402	6.89519036806456	279.213584944594	1.11421871466661e-62	8.64967988195687e-60	no	no	no	None
