Symbol	logFC	logCPM	LR	PValue	FDR	DEG_1	DEG_5	DEG_10	Direction
CYB561D2	-4.05991432846584	2.93912089859992	1701.41991848182	0	0	yes	yes	yes	Down
RPS19BP1	1.43766255942487	5.03998480860781	577.052361246085	1.6415531379489e-127	1.27433770098973e-123	yes	yes	yes	Up
ANAPC11	1.1812378202028	4.97710204891606	534.538698084626	2.90762446278628e-118	1.50479258030733e-114	yes	yes	yes	Up
COPS9	1.52513693729666	3.84969688360907	522.165762168184	1.43005756072323e-115	5.55076842194721e-112	yes	yes	yes	Up
CHCHD1	1.0833150004646	4.40575612526344	487.239449109584	5.68172191256211e-108	1.76428828828879e-104	yes	yes	yes	Up
ATP5PO	1.23123985671936	4.8903482614574	447.694769587131	2.28981468839847e-99	5.92527714201245e-96	yes	yes	yes	Up
NDUFB2	0.981143638269594	4.76772244147556	429.23321796825	2.3865933586738e-95	5.2934640695385e-92	no	no	no	None
NDUFA2	0.905577267626751	4.74649623459625	346.020709311717	3.116739510699e-77	6.04881220538908e-74	no	no	no	None
SPATA13	-5.04446918734968	5.20006524966907	339.006611745726	1.05005925069308e-75	1.81146888069563e-72	yes	yes	yes	Down
SIVA1	1.10255001091228	5.10833840748875	338.775207072252	1.17926145561395e-75	1.83092133598621e-72	yes	yes	yes	Up
COMMD4	0.962099357823947	5.15558435894558	333.378121595819	1.76619696743114e-74	2.49290673784871e-71	no	no	no	None
RPS12	1.3809171456022	8.7264431079303	331.015995836113	5.77435026618065e-74	7.47104685272673e-71	yes	yes	yes	Up
RPS21	1.58458241306043	6.66875435180661	318.821228659774	2.6161619043351e-71	3.12450228666975e-68	yes	yes	yes	Up
HINT2	1.1420017716121	4.05654713563559	316.846487956686	7.04392819337353e-71	7.81171636645125e-68	yes	yes	yes	Up
S100A6	1.13789498664344	10.5443019376909	300.910236186778	2.08671216669355e-67	2.15988620667227e-64	yes	yes	yes	Up
TMED1	1.23444244114949	3.01216290009585	295.882986336753	2.59866529073252e-66	2.52167983149457e-63	yes	yes	yes	Up
ROMO1	1.03141963029938	5.10267769326615	295.351253194842	3.3931473472275e-66	3.09894151253259e-63	yes	yes	yes	Up
NDUFA9	0.984534132578147	3.69749684774893	275.260271525075	8.1002068473163e-62	6.98687841730183e-59	no	no	no	None
SRRM1	-0.694348712826576	6.62775061163976	271.182390183523	6.26923448291237e-61	5.12295445166828e-58	no	no	no	None
SEM1	0.829281341256967	5.40083198290523	270.23582574583	1.00811979215601e-60	7.82603394650711e-58	no	no	no	None
COX7C	0.81232058487538	6.89519225446789	270.086105288847	1.08678338782365e-60	8.03495184730951e-58	no	no	no	None
HDGFL2	0.822792167091637	5.13856743025796	269.533272220861	1.43426981115551e-60	1.01220332218184e-57	no	no	no	None
RPL39	1.3240476189914	6.3449682978361	269.350269452943	1.5722290385408e-60	1.06132295879933e-57	yes	yes	yes	Up
NUDT16L1	0.759556881885539	4.61704736894406	268.993614734498	1.88039039373932e-60	1.21645588554986e-57	no	no	no	None
PLEKHJ1	1.05790363995175	4.93540043616765	261.888548366072	6.65063808283893e-59	4.06960656662491e-56	yes	yes	yes	Up
SNX17	0.581082680012001	6.405015310702	261.839904681318	6.81500519980984e-59	4.06960656662491e-56	no	no	no	None
ACADS	1.02959862369829	4.3871350483504	257.261003309425	6.7852204195738e-58	3.90175304571492e-55	yes	yes	yes	Up
AKR1A1	0.835641469367778	7.85328982193325	229.046441282356	9.62276053212219e-52	5.33582071506175e-49	no	no	no	None
HINT1	0.650785442172005	6.72122543488097	227.350016217066	2.25566256645182e-51	1.20763506919762e-48	no	no	no	None
TMEM258	0.812205989452221	4.79403947212395	225.792258053486	4.93193215587727e-51	2.55243928840502e-48	no	no	no	None
RGS5	-2.6647834858979	2.55954149885696	223.314524945856	1.71169017860225e-50	8.57280700418661e-48	yes	yes	yes	Down
MRPL27	0.747174858139292	4.53567384513569	222.981909936052	2.02289072292321e-50	9.81481292628307e-48	no	no	no	None
NDUFB6	0.764273275383365	4.46478027397104	221.128528462061	5.13127813053533e-50	2.41418861377853e-47	no	no	no	None
