Symbol	logFC	logCPM	LR	PValue	FDR	DEG_1	DEG_5	DEG_10	Direction
PNPLA4	-1.05359670741391	5.03533874727421	71.0754000251698	3.43830496680498e-17	5.33831229146141e-13	yes	yes	yes	Down
TXLNG	-0.68230886915758	4.53725269741379	69.3071442642925	8.42638088954536e-17	6.54139948455406e-13	no	no	no	None
ARSD	-0.828746194499041	6.73458592740401	59.775697316674	1.06308007437256e-14	5.50179374490276e-11	no	no	no	None
PUDP	-0.774917830766612	4.65009202758648	58.1906197489739	2.37910761779703e-14	9.23450621847917e-11	no	no	no	None
ZFX	-0.533761564237418	5.28265854187103	57.2113137529945	3.9141305707965e-14	1.21541582484373e-10	no	no	no	None
ZRSR2	-0.618779463676245	3.6556868509078	46.1994425771838	1.06807363780404e-11	2.76381855009093e-08	no	no	no	None
RPS4X	-0.689720661996818	8.93633852609563	42.2834591246267	7.8957541759873e-11	1.72304398929455e-07	no	no	no	None
JPX	-0.580676246373407	3.45649580319739	42.0541103569327	8.87823773950558e-11	1.72304398929455e-07	no	no	no	None
KDM6A	-0.509585813370703	6.1189396632459	34.5364106414921	4.18352040734489e-09	7.21703753827075e-06	no	no	no	None
PHOSPHO1	3.1915827793351	4.21107309835372	32.9619821635168	9.39787461328841e-09	1.45911401245916e-05	yes	yes	yes	Up
AATK	2.98075685675501	3.38160493462212	31.9210334483871	1.60569019650015e-08	2.04688644272545e-05	yes	yes	yes	Up
NHSL2	2.88355995476058	3.60227799950354	31.8057539119854	1.70387229642293e-08	2.04688644272545e-05	yes	yes	yes	Up
F13A1	1.89530205805828	1.52106524209484	31.794392283499	1.71386859174487e-08	2.04688644272545e-05	yes	yes	yes	Up
EIF1AX	-0.56967212458308	6.04500840807302	31.3916291087497	2.10888164895234e-08	2.33874974868815e-05	no	no	no	None
C5AR1	2.59696171199744	6.72805578349359	30.6306917145596	3.12117195752162e-08	3.23062105416538e-05	yes	yes	yes	Up
ARHGAP9	2.41209547493177	4.89447301525695	30.4291482791121	3.462855741272e-08	3.36026863993682e-05	yes	yes	yes	Up
DPEP2	2.53630015178732	2.91565803981223	30.1899470784298	3.91734725254904e-08	3.57769020253391e-05	yes	yes	yes	Up
SIGLEC10	2.50083769527796	3.79983925855376	29.0784036483444	6.95075097559947e-08	5.99540886928652e-05	yes	yes	yes	Up
RCSD1	1.98513461301924	3.27392074509456	28.0044893089494	1.21034336452687e-07	9.89041635665483e-05	yes	yes	yes	Up
NFAM1	2.59656522877035	4.64489119371141	27.7791662554788	1.35982600695631e-07	0.000105563292920018	yes	yes	yes	Up
CYP2A7	3.77915588012952	2.56443116156547	27.3875360852545	1.66500928421744e-07	0.000118872082437023	yes	yes	yes	Up
WAS	2.20221907492722	4.41462712955645	27.352906869131	1.69509437566503e-07	0.000118872082437023	yes	yes	yes	Up
