Symbol	logFC	logCPM	LR	PValue	FDR	DEG_1	DEG_5	DEG_10	Direction
PUDP	-0.874791094280389	5.03367864284202	74.9604470947669	4.80239249943149e-18	7.45619459461733e-14	no	no	no	None
KDM6A	-0.728876158013246	5.96829967357367	64.8518530709043	8.07461090190396e-16	6.26832044314805e-12	no	no	no	None
ZFX	-0.660357356593492	5.20885202262044	60.2785567094235	8.23395428963871e-15	4.26134581003102e-11	no	no	no	None
PNPLA4	-0.767112386646454	5.10259313832855	44.9409419787964	2.03067373742658e-11	7.88206011182126e-08	no	no	no	None
KDM5C	-0.539772957016114	7.53493535440789	36.806181072059	1.30475923979816e-09	4.05153839142123e-06	no	no	no	None
JPX	-0.573526117073013	3.79824356519399	29.9040933746548	4.53953444214694e-08	0.000117468019581289	no	no	no	None
ZRSR2	-0.543478960609938	3.82550036713624	24.8847364866014	6.08624050116555e-07	0.00134992814315852	no	no	no	None
STS	-0.806029140703225	6.60791140980332	22.7213759420023	1.87272989187496e-06	0.00363450053765634	no	no	no	None
RNF128	1.02365644242812	2.58680897837822	21.6623381848409	3.25112066087012e-06	0.00560854437562994	yes	yes	yes	Up
FPR2	-3.52520168668995	2.44144606458951	21.2116630467693	4.11254318904654e-06	0.00636964989773626	yes	yes	yes	Down
MTRNR2L12	2.13882552332141	2.00320196916344	21.0336700056396	4.51282679860227e-06	0.00636964989773626	yes	yes	yes	Up
CSF2RB	-2.36768506836146	4.43799051686489	20.7867075440718	5.13380505143264e-06	0.0066422881023786	yes	yes	yes	Down
ARSD	-0.500295403157062	6.86502789866611	20.6080779936148	5.63578123811388e-06	0.00673085688484278	no	no	no	None
SAA2	-2.02482414458177	5.29522601550999	20.3995845868234	6.28434354390965e-06	0.0069693369901958	yes	yes	yes	Down
SLC24A4	-2.0068147670418	-0.47820998410358	19.8604424955034	8.33064113481762e-06	0.00790840577370524	yes	yes	yes	Down
CXCR4	-1.3762037037896	3.80157901475597	19.8498758572056	8.3768172876497e-06	0.00790840577370524	yes	yes	yes	Down
ITGAX	-1.53141301857892	5.31099455894771	19.7865004885313	8.65921023785837e-06	0.00790840577370524	yes	yes	yes	Down
PDE4B	-1.82877872076585	3.06854859618166	19.3194446827924	1.10574543994755e-05	0.0093038843251159	yes	yes	yes	Down
COTL1	-1.07322551701352	6.28644589401217	19.2635966614451	1.1385662899472e-05	0.0093038843251159	yes	yes	yes	Down
PLEK	-1.9614114937451	4.69954072870022	19.1012920605849	1.23960937939917e-05	0.00962308761227574	yes	yes	yes	Down
LCP1	-1.29554565920699	6.45460957240828	18.6474634446157	1.57256351350592e-05	0.0116264862431871	no	yes	yes	Down
CR1	-2.5233989472731	1.27501215092031	18.3736435874368	1.81551995759386e-05	0.0121664735466193	no	yes	yes	Down
LGALS2	-1.37610314256396	1.41750137854855	18.2919338189418	1.89507891101356e-05	0.0121664735466193	no	yes	yes	Down
EVI2A	-1.41479429612254	1.36496324215251	18.2753087117493	1.91169033631914e-05	0.0121664735466193	no	yes	yes	Down
FFAR2	-3.28418859970231	2.98428217684001	18.2286965535809	1.95904829747186e-05	0.0121664735466193	no	yes	yes	Down
LCP2	-1.25264127910429	4.31087393697691	18.0404845089075	2.16256810211168e-05	0.0125344935483038	no	yes	yes	Down
TRAPPC2	-0.396283928488181	4.16998277202025	18.025399680561	2.17977151748167e-05	0.0125344935483038	no	no	no	None
GNLY	-2.30680622344894	2.76434782633647	17.9225076448375	2.30083948069906e-05	0.0127581549204763	no	yes	yes	Down
GAB3	-0.972368357883835	2.08706396310589	17.7778253048159	2.48259861681194e-05	0.013291319353318	no	no	no	None
SRGN	-1.81359169512333	5.58350364184461	17.676445081484	2.61849181470471e-05	0.0135515679717018	no	yes	yes	Down
PYHIN1	-1.29678077321418	0.33172018383338	17.5052090761177	2.86521585279275e-05	0.0142623148989832	no	yes	yes	Down
EVI2B	-1.31026456356992	3.4105653611591	17.4565177314246	2.93954706149338e-05	0.0142623148989832	no	yes	yes	Down
IL1B	-3.45687360689642	4.31500585447781	17.3148776260188	3.16697617437763e-05	0.0149001430555718	no	yes	yes	Down
IGKC	-5.9815712806953	6.18152243373277	17.1704545294341	3.41709904004338e-05	0.0156040822634451	no	yes	yes	Down
TNF	-1.66280943684271	1.43837705198666	16.9237268837036	3.89121495262548e-05	0.0169898077582857	no	yes	yes	Down
SNX20	-1.30854293255316	2.60351025543203	16.8331628230552	4.08138140193921e-05	0.0169898077582857	no	yes	yes	Down
CD79A	-2.74537026368755	1.2543636450371	16.7110832280639	4.35259725040648e-05	0.0169898077582857	no	yes	yes	Down
ADAM19	-1.55065158354842	3.41181616805768	16.6994067642241	4.37946911588927e-05	0.0169898077582857	no	yes	yes	Down
SLA	-1.26835056061315	3.75989081793942	16.6698255566243	4.44829534334874e-05	0.0169898077582857	no	yes	yes	Down
