Symbol	logFC	logCPM	LR	PValue	FDR	DEG_1	DEG_5	DEG_10	Direction
PUDP	-0.830701743876253	4.81766156028617	140.517139263304	2.05177047894044e-32	3.18557884560293e-28	no	no	no	None
PNPLA4	-0.921794804774879	5.06359323201123	111.361325045887	4.93119773786087e-26	3.82808880390139e-22	no	no	no	None
JPX	-0.592099019004255	3.60477333623621	85.3895026033169	2.45017914063895e-20	1.26804937791868e-16	no	no	no	None
ARSD	-0.688092921677026	6.7895004899153	79.7907578868345	4.16235160205616e-19	1.6156167743381e-15	no	no	no	None
ZRSR2	-0.580282004842389	3.72786776102545	78.5593919520758	7.76288835612674e-19	2.41053209234448e-15	no	no	no	None
ZFX	-0.531192496591492	5.25472019055087	76.0680630610855	2.74053951126963e-18	7.09160274199537e-15	no	no	no	None
KDM5C	-0.475147531234318	7.42987977624736	59.4084117186538	1.28120266504928e-14	2.84170751107931e-11	no	no	no	None
TXLNG	-0.589494110685191	4.49708747690655	57.1343364759698	4.07036772547305e-14	7.89956616321182e-11	no	no	no	None
RPS4X	-0.638507018114996	9.16912043657407	51.3265465501532	7.82108295513248e-13	1.34922371068208e-09	no	no	no	None
KDM6A	-0.525635261776386	6.06286552369813	47.9548945438695	4.36137976675341e-12	6.77147822586134e-09	no	no	no	None
EIF1AX	-0.495806872221013	6.0777507345342	44.0394387816575	3.21825633096352e-11	4.54242252677633e-08	no	no	no	None
AATK	2.39269080260121	2.87325121615093	41.3113124866429	1.29815441952581e-10	1.48564371263269e-07	yes	yes	yes	Up
NHSL2	2.55694911191805	3.01209740371529	41.285482426881	1.31542229799015e-10	1.48564371263269e-07	yes	yes	yes	Up
C5AR1	2.20272168166653	6.20507953582566	41.2498450813472	1.33962462816293e-10	1.48564371263269e-07	yes	yes	yes	Up
PHOSPHO1	2.55574349528717	3.66710409880065	39.1341956701137	3.95653086938894e-10	4.09527321854218e-07	yes	yes	yes	Up
SLC2A3	2.84847074444171	6.23696300385715	36.8260700589926	1.29151626695039e-09	1.25325509754199e-06	yes	yes	yes	Up
PHACTR1	2.04041623280458	3.67221958517251	34.8435636483178	3.57288758328022e-09	3.26309721282404e-06	yes	yes	yes	Up
OFD1	-0.373671478648782	5.45141019700478	34.3377984788299	4.63295821409599e-09	3.99618384622524e-06	no	no	no	None
CASS4	2.41049762339144	3.4332783095962	34.1391379880512	5.13088432974577e-09	4.19274263703331e-06	yes	yes	yes	Up
SKAP2	1.7132821078441	3.2925462710328	33.7850855346339	6.1548921070165e-09	4.77804274267691e-06	yes	yes	yes	Up
NCF1	2.3274016343569	3.71364741408088	32.9994662763115	9.21841749142964e-09	6.81548333199698e-06	yes	yes	yes	Up
RGS18	2.01977669693075	2.03478073297096	32.7560555038197	1.04480312834656e-08	7.37346062304938e-06	yes	yes	yes	Up
