Symbol	logFC	logCPM	LR	PValue	FDR	DEG_1	DEG_5	DEG_10	Direction
PUDP	-0.811071221938033	4.81767434271394	138.571560274866	5.46501761585082e-32	8.48498635036999e-28	no	no	no	None
ZFX	-0.57893051306442	5.2547189706284	131.130124478868	2.3189588444699e-30	1.80020775096198e-26	no	no	no	None
PNPLA4	-0.935549471653352	5.06358449878355	118.308368617673	1.48422639305193e-27	7.68136632617478e-24	no	no	no	None
KDM6A	-0.590853074378388	6.06285850079795	87.2598534838006	9.51600137551172e-21	3.69363593390487e-17	no	no	no	None
JPX	-0.574309164069817	3.60476766280705	84.8385381923503	3.23752142874361e-20	1.00531515405347e-16	no	no	no	None
ARSD	-0.69368263318978	6.78949834992443	81.3617192715955	1.87963783349966e-19	4.85024675519705e-16	no	no	no	None
TXLNG	-0.626828950722743	4.4970816552777	81.0626274003905	2.18676589503925e-19	4.85024675519705e-16	no	no	no	None
ZRSR2	-0.585446047124975	3.72786360512599	80.3334770412468	3.16265248529731e-19	6.13791781084074e-16	no	no	no	None
KDM5C	-0.479715886047154	7.42987893867086	59.9356559430968	9.80096959181538e-15	1.69077615425028e-11	no	no	no	None
RPS4X	-0.605707327542168	9.16912119463577	54.2512347593189	1.76426250266221e-13	2.73919396163335e-10	no	no	no	None
EIF1AX	-0.509930071326492	6.0777525645883	47.7031826636089	4.95885943826978e-12	6.99920469441605e-09	no	no	no	None
TRAPPC2	-0.37062457106712	3.8135795526483	43.1573005734761	5.05110702627315e-11	6.53529064082641e-08	no	no	no	None
OFD1	-0.389528963181154	5.45139920728438	38.7779997332337	4.74849694279826e-10	5.67116642568353e-07	no	no	no	None
SMC1A	-0.352098554390714	6.38397130992436	34.9893371659406	3.31515777120266e-09	3.67650996826375e-06	no	no	no	None
FUNDC1	-0.302931841342013	4.1133370296544	30.9155198181734	2.69507916993053e-08	2.78958661282276e-05	no	no	no	None
GEMIN8	-0.351086697862844	3.53419823486793	29.8470719563043	4.67502383140034e-08	4.53652625039511e-05	no	no	no	None
DDX43	1.4060913173769	0.363633658914271	26.5601474985261	2.55459369766467e-07	0.00023330953970554	yes	yes	yes	Up
PRKX	-0.492812354598906	5.49298574776632	24.7486140237971	6.53157515241813e-07	0.000563384643424688	no	no	no	None
SPESP1	1.28189874070169	0.857294542350763	22.2795241207139	2.35706617461972e-06	0.00192609523300767	yes	yes	yes	Up
CYP2A7	2.87630000466932	2.58264201674864	21.0782381054971	4.40907054222768e-06	0.00342276146193135	yes	yes	yes	Up
AATK	1.9036656883528	2.8722877909568	17.1496420946743	3.45474503368454e-05	0.0255420816157077	no	yes	yes	Up
STS	-0.4953880168754	6.68611053007356	16.590838443486	4.6374500107583e-05	0.0327277494850152	no	no	no	None
