Symbol	logFC	logCPM	LR	PValue	FDR	DEG_1	DEG_5	DEG_10	Direction
TGM3	4.66003925555862	5.03830782620254	45.1772411993836	1.79984606277404e-11	2.34088367806116e-07	yes	yes	yes	Up
KLK14	5.6875410178877	5.02721479418061	44.1668578241907	3.01543691621945e-11	2.34088367806116e-07	yes	yes	yes	Up
ESYT3	3.66528054744445	2.66646590740062	43.2243769728807	4.8808779102289e-11	2.52601701447379e-07	yes	yes	yes	Up
PLA2G4D	4.48625085211356	3.69575910613337	39.4418582388783	3.37973954932701e-10	1.31184590607128e-06	yes	yes	yes	Up
ARG1	3.30729281176696	1.01003598142934	37.2241765445628	1.05300180562749e-09	2.85994263473928e-06	yes	yes	yes	Up
DNASE1L2	3.64971463201849	0.816154009598914	37.1297940388972	1.10522064977687e-09	2.85994263473928e-06	yes	yes	yes	Up
TREX2	3.96966004809267	2.55931072415749	36.7082391851367	1.37198354932876e-09	3.04305951241118e-06	yes	yes	yes	Up
KRT10	3.23511851086892	8.60256782695343	35.189748759719	2.99093829855815e-09	5.23944148934743e-06	yes	yes	yes	Up
ASPRV1	4.10486470047635	6.39912626170537	35.0148703167868	3.27197005159384e-09	5.23944148934743e-06	yes	yes	yes	Up
LYPD5	2.73281728021965	3.87343609816991	34.954719663244	3.37462417193574e-09	5.23944148934743e-06	yes	yes	yes	Up
HOPX	3.17584089423	6.39624540189812	34.2969884880982	4.73113303005668e-09	6.67777922042363e-06	yes	yes	yes	Up
CRNN	4.43642575401005	7.56352207096391	33.1189496121686	8.66897270539338e-09	1.12162058519948e-05	yes	yes	yes	Up
CALML5	3.20720383043404	5.50148963855937	30.8485572536396	2.78969446821052e-08	3.33175356257204e-05	yes	yes	yes	Up
SPINK7	4.3354254361592	6.20036736940716	30.5628148247511	3.23229805040883e-08	3.58461853790339e-05	yes	yes	yes	Up
LY6G6C	3.35928699375038	3.96420586521266	28.9896542573263	7.27658822194934e-08	7.53175391559903e-05	yes	yes	yes	Up
XCR1	3.24780022617303	1.23042481462586	28.5311745199771	9.22019343785829e-08	8.94704520726174e-05	yes	yes	yes	Up
DIO2	2.69499322815849	4.36532527543738	28.323541209401	1.02640143090275e-07	9.37406389188008e-05	yes	yes	yes	Up
ENDOU	2.83328772561969	1.74498173301296	27.9899773113205	1.21945421173031e-07	0.00010518470050736	yes	yes	yes	Up
ACP7	2.69137511307816	2.57168294049648	27.7707874213056	1.3657281205278e-07	0.000109122449343785	yes	yes	yes	Up
ALOXE3	3.34909981065054	3.63969606942867	27.7150157072466	1.40567370016469e-07	0.000109122449343785	yes	yes	yes	Up
LINC02028	2.51533500912652	0.284088809116712	27.088296972043	1.94371087254211e-07	0.00014370502384328	yes	yes	yes	Up
DLX3	2.34462017144596	2.55152967023705	26.6092529199035	2.49048143594807e-07	0.000175760067156954	yes	yes	yes	Up
S100A3	3.20086850656622	3.83122849573339	26.5058379665783	2.62742888584098e-07	0.000177362873398117	yes	yes	yes	Up
RHCG	3.57071326033261	6.22887836870583	26.3196710012013	2.89326770527099e-07	0.000187170309966823	yes	yes	yes	Up
RNASE7	3.22643972735606	5.11159486310607	25.400631704607	4.65765573328183e-07	0.000284892578528992	yes	yes	yes	Up
