Symbol	logFC	logCPM	LR	PValue	FDR	DEG_1	DEG_5	DEG_10	Direction
IGHA1	6.10913123495192	7.26324870787286	25.7374716924523	3.91157981821528e-07	0.00305075809910432	yes	yes	yes	Up
IGHM	4.44946612264411	3.76023949852993	25.7284685001073	3.92987002332129e-07	0.00305075809910432	yes	yes	yes	Up
JCHAIN	5.00783943764903	4.54947504581133	22.9506382398725	1.66215012893736e-06	0.00675870906469528	yes	yes	yes	Up
LTF	4.0687764564635	6.97197226098724	22.4477311447352	2.15940415337153e-06	0.00675870906469528	yes	yes	yes	Up
IGKC	5.46107766724949	6.1815446079898	22.4325161340233	2.17657769699062e-06	0.00675870906469528	yes	yes	yes	Up
ENDOU	-2.31134672752754	0.811955363490695	20.0925387910548	7.37839604049793e-06	0.0190928294874618	no	yes	yes	Down
HOXB3	0.966354554857601	0.0876642057733982	16.595207509047	4.62677896924165e-05	0.10262195753778	no	no	no	None
CRNN	-3.3735335527083	5.8097596880131	15.0400056850708	0.000105256143766865	0.204275861015543	no	no	no	None
MTRNR2L12	-1.84657871492883	2.00319685934693	14.2209520700652	0.000162550521635633	0.280417710990537	no	no	no	None
DIO2	-1.75303442315394	3.01157998442278	13.9341504171716	0.000189327235606587	0.293949466002787	no	no	no	None
CYP2A7	2.89559086157618	2.62490800995184	13.6884706096771	0.00021577512139988	0.304556775895866	no	no	no	None
GPLD1	1.10921332111098	1.01944244959599	13.4200761043477	0.000248945599500471	0.32209411482036	no	no	no	None
CXCL11	-3.6453579608754	5.70687240114086	13.2634659442792	0.000270628827821325	0.323214090827222	no	no	no	None
ASB2	0.85284796251187	2.54282213660192	12.615028529043	0.000382657697615708	0.396063786842814	no	no	no	None
STXBP5-AS1	-0.803638995259965	0.310868450321838	12.5053264845095	0.000405793424736214	0.396063786842814	no	no	no	None
SOX5	-0.819233356696888	1.75731213967994	12.4301476859092	0.000422458492475968	0.396063786842814	no	no	no	None
SCG2	1.1790093437837	-0.342006774368103	12.287734153701	0.000455944947256492	0.396063786842814	no	no	no	None
SFTA2	-0.954120727969071	-1.41437133475505	12.2745603759346	0.000459174814064837	0.396063786842814	no	no	no	None
KLK12	-2.16369870265878	2.15308780998314	12.0174972121535	0.000527034261317795	0.408622554748185	no	no	no	None
OSM	-2.37460271310044	2.83028896574923	11.9768432684284	0.000538657570730689	0.408622554748185	no	no	no	None
THSD4	-0.998197234153452	3.74183952442711	11.7969996426389	0.000593262550928771	0.408622554748185	no	no	no	None
UBQLNL	-0.870302757177217	-0.493078554454436	11.6705527241197	0.000634971430688618	0.408622554748185	no	no	no	None
C1orf216	0.38734174595612	2.82711232423435	11.6126521116356	0.000655046779693245	0.408622554748185	no	no	no	None
CCDC88A	0.613373515111614	4.1711448961963	11.549918981158	0.000677522090906878	0.408622554748185	no	no	no	None
CNFN	-2.3719306517492	5.97570708170519	11.4988827941892	0.00069638033900553	0.408622554748185	no	no	no	None
CXCL10	-2.99670241617369	7.18060370318977	11.4840549938818	0.000701958094170002	0.408622554748185	no	no	no	None
MUC5B	2.66284734372252	5.43811595235117	11.425815332729	0.000724306337732674	0.408622554748185	no	no	no	None
DMBT1	2.38743465471892	4.41603802709041	11.3608244123162	0.000750095220998046	0.408622554748185	no	no	no	None
MIR27B	-1.06633573259843	-0.841087764133276	11.3285631531893	0.000763239346109581	0.408622554748185	no	no	no	None
ZFP69B	0.626290068107924	-0.0126308080232125	11.1675394411705	0.000832409521824899	0.430799674528446	no	no	no	None
RAD9B	0.533848109442588	0.345508965104002	11.0554612208909	0.000884263458728698	0.442873369684573	no	no	no	None
S100A12	-1.88428605417138	1.68232308923156	10.6130768861242	0.00112290679079092	0.544820338556869	no	no	no	None
HOPX	-1.69722265870417	5.22269006903741	10.486734302604	0.00120234701951113	0.565686055300903	no	no	no	None
ADAMTS14	-0.917182350330177	1.46065750478769	10.4067017268038	0.00125558802522067	0.573360578811061	no	no	no	None
PKDCC	1.21850967741229	0.128123739353838	10.3044834170495	0.00132707396755946	0.588690012009375	no	no	no	None
BDKRB2	-0.467427429763853	5.16989629698354	10.2441509907844	0.00137118679332121	0.591362393141809	no	no	no	None
SH3GL3	-1.03065329850769	0.680188655342874	10.1128592594302	0.0014723835734594	0.594406478833602	no	no	no	None
RGS2	-1.37447939416854	5.47178147796106	10.0678595824918	0.00150878208980378	0.594406478833602	no	no	no	None
KRT78	-1.83940032105385	4.70427249834641	10.0195330422564	0.00154888732099322	0.594406478833602	no	no	no	None
CYP4Z1	0.440129148973995	1.44717712155921	9.99546785518357	0.00156925955281496	0.594406478833602	no	no	no	None
FLT3	0.950347537399858	0.332258130233011	9.9674305969717	0.00159333692143975	0.594406478833602	no	no	no	None
FAM153A	-1.01413900338916	1.79526634320269	9.95061970816743	0.00160795260279604	0.594406478833602	no	no	no	None
OLFML3	0.650775049959769	1.10084313070615	9.8974712058954	0.00165506046297493	0.597592296468575	no	no	no	None
HOXB-AS1	0.849963556291669	-0.976291201794489	9.78047763725738	0.00176374491332446	0.611808313243834	no	no	no	None
SIRPG	1.10885311370953	1.19580585925556	9.7706026368515	0.00177324321112795	0.611808313243834	no	no	no	None
KRT10	-1.72461637555613	7.77633663508683	9.70499078624589	0.00183768245016297	0.615773648932229	no	no	no	None
CPT1A	0.242707781513208	6.6469317335412	9.65133833342349	0.00189213679596396	0.615773648932229	no	no	no	None
LILRA5	-1.898181491689	1.95612415115385	9.63232167345411	0.00191182788867775	0.615773648932229	no	no	no	None
HIP1	0.362799965998535	4.64960686728111	9.60226091786036	0.00194337941502507	0.615773648932229	no	no	no	None
S100A7	-2.89143544356996	6.26701745877712	9.45480192706079	0.00210597033527952	0.652868509399588	no	no	no	None
NPW	-0.934784788170135	0.69347747915756	9.4055177685601	0.00216333419708095	0.652868509399588	no	no	no	None
CRISP3	2.86775142770402	2.7994174815651	9.3859051062329	0.00218660070132543	0.652868509399588	no	no	no	None
MAL	-2.30499617252604	5.40411289498268	9.3032592432962	0.00228746548881092	0.669340405220306	no	no	no	None
LINC02178	-0.744398332827458	0.638839147527579	9.271090478487	0.00232799058881209	0.669340405220306	no	no	no	None
IL34	-0.657137035966841	1.98487824582188	9.11237251112863	0.00253886367761114	0.710907017464056	no	no	no	None
PRSS27	-1.83906440359809	4.60659999499452	9.09425445160306	0.00256413712340507	0.710907017464056	no	no	no	None
LNCOC1	0.714921619904625	0.882023986015394	9.00385687535815	0.00269410446742245	0.72880230790601	no	no	no	None
FANCM	0.350656274433189	2.88463788507582	8.98465334906552	0.00272256433457095	0.72880230790601	no	no	no	None
HOXB2	0.925298388708677	0.0784716393422937	8.83635966045412	0.00295287561134614	0.770068847618958	no	no	no	None
STATH	1.9649021631384	6.54516339875095	8.82217354618534	0.00297591980272688	0.770068847618958	no	no	no	None
G0S2	-1.84354750595305	4.5174034392198	8.68740827803846	0.00320415919781799	0.815537306644625	no	no	no	None
SPINK7	-2.50218363805663	3.69530902089184	8.63157013082336	0.00330386689035302	0.823865723090528	no	no	no	None
TMPRSS11B	-2.57705586306414	3.80831431284845	8.58364877883754	0.00339194995776001	0.823865723090528	no	no	no	None
MPZL3	-0.432916872411732	5.46674427332054	8.5792226703374	0.00340020495945197	0.823865723090528	no	no	no	None
CXCL9	-2.23319282814908	6.55627110477881	8.55320984708876	0.00344913512822906	0.823865723090528	no	no	no	None
MAMSTR	1.13855110551739	1.8627109524039	8.50972687138288	0.00353253080287558	0.831001109779489	no	no	no	None
STX8	-0.285052686096765	4.16896797527782	8.44889563985749	0.0036526517447462	0.838532706067525	no	no	no	None
C8orf74	-0.552338434443953	0.630201737313991	8.43900880916212	0.00367256370041168	0.838532706067525	no	no	no	None
TRAF3IP3	0.604669349428135	2.56658337031879	8.39423915526808	0.00376412032437106	0.843266353539513	no	no	no	None
MPPED2	-0.87355802083976	1.6874892397923	8.37334169694198	0.00380764834296078	0.843266353539513	no	no	no	None
ECM1	-1.97630486243904	5.26641863467199	8.35030053207306	0.00385623541809258	0.843266353539513	no	no	no	None
ALOX12	-0.966263088561406	2.38959062567703	8.29244764363501	0.0039810293883754	0.854855262759626	no	no	no	None
IL1B	-1.99682135390244	4.31510650686233	8.27505234081985	0.00401935039169475	0.854855262759626	no	no	no	None
XXYLT1-AS2	1.23129469427739	-0.333499890908903	8.09716955907145	0.00443344375826063	0.930184429604791	no	no	no	None
SACS	0.408693074223367	3.77716973999065	8.03383711017051	0.00459114760800977	0.946099419709236	no	no	no	None
PTGER4	-0.446113944997117	4.30075864172635	7.99147853012498	0.00469980196465126	0.946099419709236	no	no	no	None
RECK	0.555281099396097	0.231420104010718	7.98360270269811	0.00472029129075746	0.946099419709236	no	no	no	None
LY6G6C	-1.59640415505789	2.14169495760354	7.97108518659605	0.00475304358735801	0.946099419709236	no	no	no	None
FCGR3B	-2.03931343655728	4.52353332473004	7.89969924714217	0.00494430175146428	0.952303673263312	no	no	no	None
PCDHGA5	-0.712377257905768	-0.540550274355224	7.86027227913273	0.0050532782173536	0.952303673263312	no	no	no	None
ABI3BP	-0.820881752537669	0.318619647996179	7.82979063827642	0.00513920520881093	0.952303673263312	no	no	no	None
NRXN3	-1.33772578115411	0.719738182349376	7.82163605718869	0.00516244424349004	0.952303673263312	no	no	no	None
MME	-1.62948328618558	1.2337450417009	7.80767773479447	0.005202471728139	0.952303673263312	no	no	no	None
SLC9A3	1.31838467993547	5.42347501060113	7.76899004342613	0.00531507583459753	0.952303673263312	no	no	no	None
ELAVL2	1.12379396397833	-0.653938437779137	7.72950331769417	0.00543256914394726	0.952303673263312	no	no	no	None
HTR3A	-0.993353710178679	1.73880321466679	7.69923856639664	0.0055244125491641	0.952303673263312	no	no	no	None
WASF3	0.541731354227912	2.27211873971013	7.69239766191765	0.00554539087380215	0.952303673263312	no	no	no	None
SAA1	1.27302207063175	7.07026960458669	7.68362730878419	0.00557240493396567	0.952303673263312	no	no	no	None
LINC01547	0.466555634688758	2.55464060212402	7.68350513443553	0.00557278219632227	0.952303673263312	no	no	no	None
GPC3	-0.93055803407761	-0.217000421424355	7.65587630123734	0.00565876983765647	0.952303673263312	no	no	no	None
NEXN	-1.3087605124862	0.153689236798601	7.63281405010429	0.00573158072329565	0.952303673263312	no	no	no	None
ATP6V1B1	-1.03920830425622	3.96476810094975	7.6285927727742	0.00574501101909218	0.952303673263312	no	no	no	None
CACNA2D1	-0.787718074279239	1.26707560859743	7.62342402067318	0.00576149949847926	0.952303673263312	no	no	no	None
PER2	-0.36244370402946	6.80913081654633	7.62214418187506	0.00576558967452991	0.952303673263312	no	no	no	None
SLC26A9	-1.09675842579971	1.83391852326251	7.56201452965308	0.00596113201979805	0.974237218309311	no	no	no	None
MAP4K1	0.603431445678282	3.35427696803837	7.53811474086148	0.0060407216513162	0.975045675028021	no	no	no	None
CD79A	1.65272557762986	1.2545526037478	7.52298057209475	0.00609168043782803	0.975045675028021	no	no	no	None
UBC	-0.202311593987515	9.94232718980932	7.45795190524713	0.0063156823237455	0.998380934255266	no	no	no	None
GNAO1	0.870330597199173	0.595665121881708	7.4315091766779	0.00640915686207084	0.998380934255266	no	no	no	None
SLC39A14	0.376330714815365	3.8898735956514	7.42556003186651	0.00643038087244149	0.998380934255266	no	no	no	None
NFYB	0.212116380678335	4.77816061209014	7.4046667688037	0.00650548929460217	0.999935180578573	no	no	no	None
FBXO2	0.530852348402067	4.53680643652297	7.38574373183257	0.00657428788151444	0.999935180578573	no	no	no	None
CXCR2	-1.43290982930322	4.03949802719555	7.30001638469173	0.00689539818398152	0.999935180578573	no	no	no	None
ABCB1	0.749618576175856	1.13518840856756	7.26142512998739	0.00704513628538202	0.999935180578573	no	no	no	None
LILRA2	-1.41746907071688	1.12198453792446	7.24714334971311	0.00710138965612725	0.999935180578573	no	no	no	None
TSPAN11	-1.26153748901869	1.66434764261435	7.22991570776916	0.00716985736609455	0.999935180578573	no	no	no	None
PCED1B	0.416783561670953	1.93552449730248	7.20984660137076	0.00725046909502463	0.999935180578573	no	no	no	None
TBC1D4	0.281128327524588	4.40553789106965	7.19782391472808	0.00729920372019226	0.999935180578573	no	no	no	None
LOXL3	0.500932952740848	1.11092929374339	7.16943161032668	0.00741562670349402	0.999935180578573	no	no	no	None
EDNRA	-1.33691122151246	1.04036655679728	7.15453241870049	0.00747747857826032	0.999935180578573	no	no	no	None
AZGP1	0.817323412970871	6.37654834045429	7.03671368949298	0.00798554255129161	0.999935180578573	no	no	no	None
AHNAK	-0.254003819831741	10.8194658521461	7.02027316439195	0.00805919349537001	0.999935180578573	no	no	no	None
SLC13A4	-0.732660644524661	1.61086408056668	6.99701368210047	0.008164580931822	0.999935180578573	no	no	no	None
RHCG	-1.99372634682974	4.98024808779969	6.96418288874015	0.00831573994076079	0.999935180578573	no	no	no	None
SPRR2F	-2.07273512919715	3.67268026315127	6.91760856369352	0.00853510414989286	0.999935180578573	no	no	no	None
CKAP2L	0.864311043312785	2.29294156927452	6.81774987964773	0.00902562155871377	0.999935180578573	no	no	no	None
PDLIM4	-0.455936624323131	5.68167970921802	6.80320238769728	0.00909945186195236	0.999935180578573	no	no	no	None
ADAMTSL3	-0.591057100526323	3.23842260300311	6.77123891612926	0.0092638504451185	0.999935180578573	no	no	no	None
TMPRSS5	0.529990948125942	0.516791665377074	6.7642766820625	0.00930006112230134	0.999935180578573	no	no	no	None
