Symbol	logFC	logCPM	LR	PValue	FDR	DEG_1	DEG_5	DEG_10	Direction
KLK14	4.72251186193439	4.31361117998301	52.4204122362468	4.48042682400156e-13	6.95631068694482e-09	yes	yes	yes	Up
TGM3	3.68894251909561	4.36369022160761	46.3312566675901	9.98581917324133e-12	7.75199142418725e-08	yes	yes	yes	Up
IGHM	3.54311368514414	2.63305461402569	42.9788013835708	5.53362258258234e-11	1.77588980070717e-07	yes	yes	yes	Up
PLA2G4D	3.52928599362784	3.0259482883022	42.929402097282	5.67512873106901e-11	1.77588980070717e-07	yes	yes	yes	Up
ESYT3	2.75025520145324	2.06511668993321	42.9143083771246	5.71908347516158e-11	1.77588980070717e-07	yes	yes	yes	Up
ARG1	2.51585020223416	0.474552135629979	39.966946044609	2.5829694563641e-10	6.68386396325149e-07	yes	yes	yes	Up
JCHAIN	3.56218024587275	3.41254597678337	38.0151996869831	7.0195640085851e-10	1.55693929710418e-06	yes	yes	yes	Up
DNASE1L2	2.42169202604122	0.36456791286908	34.3113516254547	4.69634490438195e-09	9.11443137317928e-06	yes	yes	yes	Up
TREX2	2.67435001098775	2.0108236410974	31.9251584674368	1.60228398669497e-08	2.76411790860289e-05	yes	yes	yes	Up
LYPD5	1.85451099562287	3.46950781963183	31.2263989497284	2.29622161810116e-08	3.37787117448326e-05	yes	yes	yes	Up
IGHA1	4.05440503847604	6.07012700514532	31.1461101120146	2.39318452398015e-08	3.37787117448326e-05	yes	yes	yes	Up
XCR1	2.33387877050317	0.824547399615853	30.5737280657082	3.21416741017722e-08	4.15859693420095e-05	yes	yes	yes	Up
ASPRV1	2.72517094324949	5.84132269047425	26.0773702510027	3.28005924433846e-07	0.000391739998673838	yes	yes	yes	Up
ALOXE3	2.37643536988842	3.07832536025598	24.8328816373343	6.25218034752516e-07	0.000653875582903484	yes	yes	yes	Up
IGKC	3.37279875537443	5.03314892811488	24.8129292342363	6.3172315751335e-07	0.000653875582903484	yes	yes	yes	Up
S100A3	2.26505497170727	3.3058560038342	24.4798534604889	7.50909230612381e-07	0.000728663544655489	yes	yes	yes	Up
ACP7	1.89177935597627	2.03108235953792	23.1580263759755	1.4921905772708e-06	0.00136280887662979	yes	yes	yes	Up
RNASE7	2.56848065310345	4.44324384053566	23.0218254052618	1.60172659741556e-06	0.00138157817508189	yes	yes	yes	Up
RNF225	1.89629703480527	2.47504979925756	22.5366433766722	2.06173026418074e-06	0.00168475916219317	yes	yes	yes	Up
LINC02028	1.75853245225411	-0.192853416738582	22.3333731409735	2.29188784095597e-06	0.00177919253093412	yes	yes	yes	Up
PHACTR1	1.67663434329295	3.67229691762035	21.2572607159858	4.01586297052467e-06	0.0029690613562079	yes	yes	yes	Up
LTF	2.2696843316548	5.99518776498679	20.3019867910104	6.61318772319879e-06	0.00466710693592656	yes	yes	yes	Up
