Symbol	logFC	logCPM	LR	PValue	FDR	DEG_1	DEG_5	DEG_10	Direction
ARG1	2.06329364711441	0.470278833072432	28.1537129631558	1.12052501174529e-07	0.00173972713323574	yes	yes	yes	Up
GPLD1	1.09572088215378	1.447036751663	25.4490159207487	4.54229289578514e-07	0.003526181974998	yes	yes	yes	Up
XCR1	2.07963260923046	0.821473596387922	23.2576741433414	1.41683965530866e-06	0.00733261749610744	yes	yes	yes	Up
LYPD5	1.56832202408149	3.46905669238983	21.7960639739225	3.03221542526761e-06	0.0100130413081676	no	yes	yes	Up
DNASE1L2	2.07370255338847	0.360519891816079	21.4716862977032	3.59091779226527e-06	0.0100130413081676	no	yes	yes	Up
ESYT3	2.0260796590642	2.06327000989081	21.3284179968717	3.8695251738378e-06	0.0100130413081676	no	yes	yes	Up
LRRC20	0.943294297157698	4.06196367028436	18.0475030462087	2.15461041005626e-05	0.0477892588950479	no	no	no	None
KLK14	3.39879388757972	4.31311323909621	16.9154584822913	3.90820107100252e-05	0.0677195717230966	no	no	yes	Up
TGM3	2.61443312435635	4.36323973753003	16.9070654671397	3.92551942231012e-05	0.0677195717230966	no	no	yes	Up
RNF225	1.52575827000657	2.4740874418993	16.1538385612012	5.84000959217695e-05	0.0906719889281393	no	no	yes	Up
PLA2G4D	2.4648272147067	3.02496495156619	15.6152632928913	7.76254639170294e-05	0.109564813888709	no	no	no	None
PHACTR1	1.31230172166127	3.67175624977696	14.7739638641962	0.000121197375523982	0.145448194983336	no	no	no	None
LINC02028	1.38027821736541	-0.196814152200195	14.7648509816985	0.000121784524976386	0.145448194983336	no	no	no	None
YOD1	0.981926874332674	5.96971948190724	14.5832879376013	0.000134098550835136	0.148715292876166	no	no	no	None
TREX2	2.09680095321825	2.00902691074659	14.293206865719	0.00015642838149201	0.155349729971693	no	no	no	None
TMEM86A	0.899788033418129	3.78662341878757	14.1501891311796	0.000168780136378078	0.155349729971693	no	no	no	None
RCSD1	0.99598779606547	3.08856682400847	14.0930329380733	0.000173987039030642	0.155349729971693	no	no	no	None
ELF5	0.835497303702232	4.49240533217444	14.028047795544	0.00018010402804911	0.155349729971693	no	no	no	None
C11orf21	0.976475303824608	0.529333067618368	13.3627215581873	0.000256675554850415	0.209744456031976	no	no	no	None
ALOX5AP	1.15466274536688	4.34507626751563	12.8908256008036	0.000330196741449194	0.248447443528858	no	no	no	None
S100A3	1.73729993131327	3.30512241545622	12.8526130856397	0.000337008305097588	0.248447443528858	no	no	no	None
P2RY10	0.883959760776567	0.3641815071318	12.770947052259	0.000352044554787768	0.248447443528858	no	no	no	None
DLX3	1.20575185201003	2.15846047417045	12.2578088777691	0.000463315214297692	0.312266695562219	no	no	no	None
PPIF	0.69828528756605	6.74150730298072	12.133799647648	0.000495161294650971	0.312266695562219	no	no	no	None
GNLY	1.166250919282	2.04360510121302	12.1052055604559	0.000502812533109331	0.312266695562219	no	no	no	None
AARSD1	-0.520473036174314	0.426046195458662	12.0016665132428	0.000531529988938075	0.317405177240483	no	no	no	None
NRGN	1.07065705650709	0.0102279737927121	11.828742996766	0.000583233538793812	0.335380886048619	no	no	no	None
PTGER3	1.30306572798149	0.164428398261284	11.7524858891925	0.000607620299494989	0.336925456069971	no	no	no	None
F5	1.08181021457615	2.55217870598168	11.6499522200683	0.000642041840290192	0.342198438750214	no	no	no	None
POF1B	0.57085834333054	7.01524653240694	11.5952343054205	0.000661210431695635	0.342198438750214	no	no	no	None
BPIFB4	-1.23563662112311	0.223327164350948	11.3123437380067	0.000769935255088695	0.366525754847328	no	no	no	None
OTUB2	0.770534797982139	2.75954418385113	11.2777835046062	0.00078440153877173	0.366525754847328	no	no	no	None
LIMD2	0.824504167850294	4.29707285688688	11.2498803380574	0.000796281490696456	0.366525754847328	no	no	no	None
ACP7	1.31952762569746	2.02961910607391	11.2351051060466	0.000802645605101709	0.366525754847328	no	no	no	None
HRNR	1.28134287077897	0.955269267739415	11.1439791492286	0.000843048546989332	0.373068774143496	no	no	no	None
ISM1	0.84885572080514	0.189701895386304	10.9941676219226	0.000913990522117757	0.373068774143496	no	no	no	None
SEMA7A	0.993020543618036	3.29599614359274	10.9130733401345	0.000954879750292159	0.373068774143496	no	no	no	None
DMKN	0.975770577442577	6.5423897131297	10.8867389219991	0.000968552052933376	0.373068774143496	no	no	no	None
FGF22	0.867552375272758	-0.388259757009527	10.868479393738	0.000978148089651667	0.373068774143496	no	no	no	None
ALOXE3	1.71609676208316	3.07759055109024	10.8608775432808	0.000982171425729088	0.373068774143496	no	no	no	None
CD37	0.910112191807679	3.57520189667309	10.832955165245	0.000997093721064383	0.373068774143496	no	no	no	None
LSMEM1	1.02982672478517	1.18975972905565	10.7311737381423	0.00105345604075192	0.373068774143496	no	no	no	None
PDK3	0.288871770386293	3.38967395389141	10.7268160682167	0.00105593982197932	0.373068774143496	no	no	no	None
PLXNC1	0.818304658141843	4.83902077523779	10.7223572391081	0.00105848739311165	0.373068774143496	no	no	no	None
MT-ND6	-0.34724082166862	10.6648453959844	10.68292570747	0.001081289117381	0.373068774143496	no	no	no	None
VSIG8	1.22534407160111	0.659065317206487	10.5457585072496	0.00116455021137128	0.376318993077194	no	no	no	None
GASAL1	0.620918992239922	-0.35039423921511	10.5346937650442	0.00117154292995606	0.376318993077194	no	no	no	None
NKPD1	1.18328811903858	-0.0321276157716966	10.5280693252645	0.00117574977334257	0.376318993077194	no	no	no	None
FBXO45	0.442450948277456	4.64674967627098	10.5094416159831	0.00118766138482433	0.376318993077194	no	no	no	None
FAM43A	0.676519171536875	4.27447104384051	10.4073688953511	0.0012551344773693	0.378724476040914	no	no	no	None
SLC31A2	0.644796232811261	0.332297656295057	10.4025343536645	0.00125842480340511	0.378724476040914	no	no	no	None
SAMSN1	1.18317700469803	4.14690627298777	10.3495001535748	0.001295097492653	0.378724476040914	no	no	no	None
ASPRV1	2.12175755254448	5.84121818353508	10.327177676517	0.00131085501931535	0.378724476040914	no	no	no	None
WDFY4	0.820720780898617	3.44424667759368	10.298167787828	0.00133162359591431	0.378724476040914	no	no	no	None
KAT2B	0.345638695369979	5.52401887544319	10.284380447922	0.00134161060042833	0.378724476040914	no	no	no	None
FCHSD1	0.65767829032394	5.24041383928255	10.0919507008495	0.00148918378814738	0.412876205263862	no	no	no	None
CORO1A	0.804913581218827	5.81442779972681	10.0286193840574	0.0015412651809852	0.419819003508356	no	no	no	None
PLIN2	0.365366231928174	4.37621726837501	9.9489424339188	0.00160941828525613	0.43082462580839	no	no	no	None
PDE3B	0.716658028485064	2.09294295367598	9.84619405279427	0.00170183489595754	0.447842179570116	no	no	no	None
GPRIN2	0.457997946548037	1.59494658272143	9.7948803889677	0.00174998393384582	0.452837509281503	no	no	no	None
LCP2	0.984951897732271	5.46614165780049	9.67229049429962	0.00187067946704279	0.470806513536707	no	no	no	None
HOTAIRM1	0.955522622333016	0.00199081182544644	9.65383565904612	0.00188956621801742	0.470806513536707	no	no	no	None
LINC02448	-0.82684766354683	-0.155886895786739	9.63369768306954	0.00191039613247537	0.470806513536707	no	no	no	None
SIGLEC10	1.03958672624109	3.36444807735339	9.58592503706024	0.00196074627644875	0.475664792002239	no	no	no	None
DCUN1D3	0.689204554695744	4.14001505544282	9.47842952737842	0.00207901864763931	0.478269380969415	no	no	no	None
IGHM	1.98789738776433	2.63313911852022	9.46586524122148	0.00209330672785837	0.478269380969415	no	no	no	None
FAM153A	-0.722006626804144	1.36622201483513	9.45099079921617	0.00211035070585088	0.478269380969415	no	no	no	None
BDNF	0.854303649035606	0.540314036097663	9.42607861219642	0.00213921236941947	0.478269380969415	no	no	no	None
CEACAM21	0.784941540510278	0.0318763847360247	9.38942305250528	0.00218240875981968	0.478269380969415	no	no	no	None
C5AR1	1.08316494689803	6.20499587935772	9.38635566586967	0.00218606336433072	0.478269380969415	no	no	no	None
GAB1	0.254388106147782	4.22394117525895	9.38547512705065	0.0021871136190151	0.478269380969415	no	no	no	None
GPSM1	0.721321141422396	2.62596175836615	9.30825017556573	0.002281242527193	0.49192460384998	no	no	no	None
FOXO3	0.234773788395186	6.5186984891442	9.25634206352355	0.0023468129279172	0.494253981863586	no	no	no	None
GPSM2	0.466105016522405	4.66966125123284	9.22493271043089	0.00238741467915152	0.494253981863586	no	no	no	None
SKAP2	0.880399440029179	3.29211000660979	9.19215958266072	0.00243053958102598	0.494253981863586	no	no	no	None
CXCR4	0.887761334139919	4.60422431825688	9.18155001927545	0.00244466901019166	0.494253981863586	no	no	no	None
BNIP3L	0.342173142100724	6.80318581324095	9.17665617476355	0.00245121451780859	0.494253981863586	no	no	no	None
MYLPF	-0.470551313431429	-0.334153196182866	9.12232254923686	0.00252509176505377	0.502622753131087	no	no	no	None
LCP1	0.896105374442962	7.29080720056247	9.09628904960454	0.00256128631719094	0.503373814692487	no	no	no	None
TMEM154	0.475727858107527	6.22005319003575	9.03959504056299	0.00264194154989984	0.512445289054451	no	no	no	None
