pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"integrin cell surface interactions (I) (M1.0)"	0.00144927536231884	0.00680224403927069	-0.721173389676831	-2.07384220186716	0	26	FN1 COL1A2 COL6A3 COL3A1 COL4A1 COL6A2 COL4A2 COL1A1 PDGFRA ITGA5 COL5A2 MYL9 KDR CAV2 TNC ITGAV
"extracellular matrix (I) (M2.0)"	0.00144927536231884	0.00680224403927069	-0.789656187268998	-2.27077475343039	0	26	COL1A2 MMP2 CDH11 COL6A3 SPP1 THBS1 COL3A1 COL4A1 COL6A2 COL4A2 LAMA4 VCAN AEBP1 COL1A1 PDGFRA COL5A2 NID2 THBS2
"extracellular matrix (II) (M2.1)"	0.00140449438202247	0.00680224403927069	-0.722369390833525	-2.18911275289166	0	37	ARG1 COL1A2 POSTN SPARC MMP2 LILRB2 COL3A1 COL6A2 COL4A2 FGL2 LAMA4 PLA2G7 VCAN AEBP1 COL1A1 TGFBI COL5A2 CXCL1 NID2 THBS2 HTRA1 LRG1
"regulation of signal transduction (M3)"	0.00136425648021828	0.00680224403927069	-0.618162978323416	-1.9352361127103	0	43	FPR1 C5AR1 S100A12 ECM1 CCR1 BMP2 IL1RN NOD2 GATA3 TIMP2 KIF26A TLR2 FOXO1 APCDD1 HMOX1 GAB1 BCL6 LYN JUP KLF4 SULF2 PSD3
"cell cycle and transcription (M4.0)"	0.00106382978723404	0.00680224403927069	-0.422864346154609	-1.69492890728989	0	304	MNDA LILRA2 CSF3R TLR8 CLEC4E SLC11A1 FPR1 NLRP12 FCGR2A NCF1 GLT1D1 SIRPB2 LILRA6 C5AR1 S100A12 PILRA SERPINA1 LILRA1 LILRB3 ITGAX TLR4 CD93 LILRB2 SPI1 FGR PLAUR CCR1 ALOX5 NCF2 HCK LRRC25 FCGR1B TBXAS1 HSPA6 CFP CD302 CHST15 FGL2 IL1RN LST1 NOD2 SIGLEC7 FCER1G VCAN TIMP2 SIRPA IGSF6 PLBD1 TLR2 CLEC4A TGFBI EPB41L3 AOAH
"cell cycle (I) (M4.1)"	0.00657894736842105	0.0151942355889724	0.666371410834968	3.04903182576017	0	138	BIRC5 CDK1 DTYMK CDC25C SPC24 CDC20 SPC25 CENPW GINS1 NEK2 CENPM CKS2 CDT1 CENPA OIP5 CCNB1 AURKB MAD2L1 KIFC1 NUF2 NDC80 PBK CDCA5 STMN1 ZWINT SPAG5 KIF18B TYMS KIF2C PTTG1 POLA2 CDKN3 HELLS SKA1 GINS2 CCNB2 RAD54L KIF23 KIF15 CENPI BUB1 CDCA3 NCAPH CDCA8 CENPK NCAPG DLGAP5 HJURP ERCC6L DSCC1 ASPM E2F7 KIF20A TOP2A CENPF PLK4 CCNF RAD51 CKS1B CCNA2 CENPH UBE2C CDC45 MCM5 CDCA2 BRIP1 AURKA RFC4 CHEK1 MCM2 RRM2 PLK1 DNA2 MELK KIF11 SKA3 FEN1 PCNA TPX2 TIMELESS MYBL2 NUSAP1 CENPE BUB1B ANLN TTK CEP55
"PLK1 signaling events (M4.2)"	0.0034965034965035	0.00963831478537361	0.715656552532701	2.45256813310097	0	32	CDC25C CDC20 SPC25 NDC80 ASF1B KIF14 GINS2 KIF23 BUB1 NCAPG HJURP ERCC6L ASPM KIF20A CKAP2L RAD51AP1 AURKA PLK1 TPX2 MYBL2 NUSAP1 CENPE BUB1B CEP55
"myeloid cell enriched receptors and transporters (M4.3)"	0.00144092219020173	0.00680224403927069	-0.658069259604168	-1.9091398257157	0	28	TLR8 LILRA1 CCR1 LRRC25 CHST15 SIGLEC7 SLC24A4 IGSF6 SLC8A1 CLEC4A MS4A14 MPEG1 CD86 CD14 SLC1A3 KCTD12
"mitotic cell cycle - DNA replication (M4.4)"	0.00324675324675325	0.00963831478537361	0.597444770700109	2.00050544077605	0	28	CDT1 OIP5 POLA2 KIF15 PLK4 CDC45 MCM5 MCM7 MCM2 PCNA TPX2 MCM3 PRIM2 CDC7 MCM6
"mitotic cell cycle in stimulated CD4 T cells (M4.5)"	0.00342465753424658	0.00963831478537361	0.711501059876059	2.43134925028326	0	31	CXCR6 LAG3 CDK1 MIR155HG GRAP2 DEPDC1B CDC20 CENPM MAD2L1 NUF2 NDC80 CDCA5 CHAC2 TYMS CDCA7 CENPK UBE2T KIF20A TOP2A
"cell division in stimulated CD4 T cells (M4.6)"	0.00277777777777778	0.00963831478537361	0.676306462047311	2.06492031191801	0	19	DEPDC1B GINS1 CENPM CDKN3 GINS2 CDCA7 UBE2T DSCC1 HMMR CDCA2 ANLN CEP55 FANCL NCAPG2 BRCA1 FANCD2 FANCI BRCA2
"mitotic cell cycle (M4.7)"	0.00284900284900285	0.00963831478537361	0.740868874088913	2.28165106721007	0	20	CDK1 CDC25C PKMYT1 NEK2 CDT1 CCNB1 CCNB2 CEP72 SHCBP1 PLK4 CCNA2 PLK1
"cell division - E2F transcription network (M4.8)"	0.00824175824175824	0.0181693306693307	0.617602977166202	1.85421900357538	2	18	DTYMK MAD2L1 ZWINT KIF4A RNASEH2A E2F7 MCM2 PCNA MCM3 NASP TIMELESS
"T cell activation and signaling (M5.1)"	0.00285714285714286	0.00963831478537361	0.734071369903025	2.31307787136433	0	21	CD3D CD247 HLA-DRB1 ZAP70 LCK CD2 CD3G ITK HLA-DRA CD3E IL12RB1 CD52 GIMAP6
