pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"integrin cell surface interactions (I) (M1.0)"	0.0015527950310559	0.00880537400145243	-0.726442579667931	-2.11719915973207	0	26	FN1 COL1A2 COL6A3 COL3A1 COL4A1 COL6A2 COL4A2 COL1A1 PDGFRA COL5A2 MYL9 KDR CAV2 TNC ITGA5 ITGAV COL5A1
"extracellular matrix (I) (M2.0)"	0.0015527950310559	0.00880537400145243	-0.793445673824746	-2.31247804153042	0	26	COL1A2 MMP2 SPP1 CDH11 COL6A3 THBS1 COL3A1 COL4A1 COL6A2 COL4A2 LAMA4 VCAN AEBP1 COL1A1 PDGFRA COL5A2
"extracellular matrix (II) (M2.1)"	0.00148809523809524	0.00880537400145243	-0.72227298129458	-2.27010033547125	0	37	COL1A2 ARG1 POSTN SPARC MMP2 COL3A1 COL6A2 COL4A2 LILRB2 LAMA4 VCAN FGL2 PLA2G7 AEBP1 COL1A1 COL5A2 TGFBI CXCL1 THBS2 HTRA1 NID2 FBN1 COL5A1 LRG1
"regulation of signal transduction (M3)"	0.00145560407569141	0.00880537400145243	-0.601090921495749	-1.96112872311832	0	43	S100A12 ECM1 FPR1 BMP2 C5AR1 CCR1 GATA3 IL1RN KIF26A TIMP2 NOD2 FOXO1 APCDD1 HMOX1 TLR2 GAB1 BCL6 LYN KLF4 JUP PSD3 SULF2
"cell cycle (I) (M4.1)"	0.00418410041841004	0.0115959354453078	0.690416171134781	3.18775651177008	0	138	BIRC5 CDK1 CENPW SPC24 DTYMK CDC25C SPC25 CDC20 CENPA GINS1 CKS2 CENPM AURKB CCNB1 KIFC1 CDT1 NEK2 OIP5 PBK MAD2L1 NUF2 NDC80 CDCA5 STMN1 KIF18B ZWINT PTTG1 KIF2C TYMS SPAG5 CDKN3 POLA2 SKA1 CCNB2 KIF15 NCAPG GINS2 HELLS NCAPH KIF23 CDCA8 CENPI HJURP CDCA3 RAD54L BUB1 CENPK DLGAP5 DSCC1 ERCC6L CCNA2 ASPM KIF20A UBE2C TOP2A CENPF RRM2 CCNF RAD51 E2F7 AURKA PLK4 CKS1B CDCA2 MCM5 TACC3 CDC45 CENPH CHEK1 MYBL2 RFC4 PLK1 MCM2 MELK DNA2 BRIP1 SKA3 KIF11 CEP55 TPX2 NUSAP1 FEN1 PCNA ANLN TIMELESS CENPE BUB1B TTK UHRF1 RACGAP1 PRC1 MKI67
"PLK1 signaling events (M4.2)"	0.00307692307692308	0.00880537400145243	0.733386605981125	2.51790546211477	0	32	CDC25C SPC25 CDC20 ASF1B NDC80 KIF14 NCAPG GINS2 KIF23 HJURP BUB1 ERCC6L ASPM KIF20A CKAP2L AURKA RAD51AP1 MYBL2 PLK1 CEP55 TPX2 NUSAP1 CENPE BUB1B PRC1
"myeloid cell enriched receptors and transporters (M4.3)"	0.0139968895800933	0.0308567793015693	-0.555065386669564	-1.63024300863317	8	28	TLR8 LILRA1 CHST15 CCR1 SLC24A4 SIGLEC7 LRRC25 SLC1A3 IGSF6 MS4A14 CD86 KCTD12 SLC8A1 MPEG1 CLEC4A
"mitotic cell cycle - DNA replication (M4.4)"	0.00278551532033426	0.00880537400145243	0.575359417476644	1.92171449015836	0	28	CDT1 OIP5 POLA2 KIF15 PLK4 MCM5 MCM7 CDC45 MCM2 TPX2 PCNA MCM3 PRIM2 CDC7 MCM6
"mitotic cell cycle in stimulated CD4 T cells (M4.5)"	0.00286532951289398	0.00880537400145243	0.728858275686873	2.53722796433298	0	31	CXCR6 LAG3 CDK1 DEPDC1B GRAP2 CDC20 CENPM MIR155HG MAD2L1 NUF2 NDC80 CDCA5 CHAC2 TYMS CDCA7 UBE2T CENPK KIF20A TOP2A RRM2 TACC3 MELK KIF11 CEP55 ZNF367 UHRF1
"cell division in stimulated CD4 T cells (M4.6)"	0.00276243093922652	0.00880537400145243	0.694245476994722	2.04844956127343	0	19	DEPDC1B GINS1 CENPM CDKN3 CDCA7 GINS2 UBE2T DSCC1 HMMR CDCA2 CEP55 ANLN
"mitotic cell cycle (M4.7)"	0.002710027100271	0.00880537400145243	0.746751487017054	2.24806573387246	0	20	CDK1 PKMYT1 CDC25C CCNB1 CDT1 NEK2 CCNB2 SHCBP1 CEP72 CCNA2 PLK4 PLK1
"cell division - E2F transcription network (M4.8)"	0.002710027100271	0.00880537400145243	0.622636871012888	1.80978365706934	0	18	DTYMK MAD2L1 ZWINT KIF4A RNASEH2A E2F7 MCM2 PCNA TIMELESS NASP MCM3
"regulation of antigen presentation and immune response (M5.0)"	0.0146520146520147	0.0315832315832316	0.373080993168084	1.53348044159478	3	75	CD3D CD247 ZAP70 HLA-DRB1 LCK UBASH3A CTLA4 CD3G ITK GRAP2 HLA-DMB HLA-DRA CD3E CARD11 PRKCQ HLA-DPB1 SLA2 HLA-DMA HLA-DOA THEMIS HLA-DOB HLA-DQB1 HLA-DPA1 HLA-DQA1
"T cell activation and signaling (M5.1)"	0.00271739130434783	0.00880537400145243	0.783917961432419	2.42770590878182	0	21	CD3D CD247 ZAP70 HLA-DRB1 LCK CD2 CD3G ITK IL12RB1 HLA-DRA CD3E GIMAP6 CD52
"mitotic cell division (M6)"	0.00279329608938548	0.00880537400145243	0.790736153810252	2.60531773222922	0	27	BIRC5 SPC24 SPC25 CDC20 CENPA CENPM AURKB MAD2L1 NUF2 NDC80 ZWINT KIF2C SKA1 CDCA8 CENPI BUB1 CENPK ERCC6L CENPF CENPH PLK1
"enriched in T cells (I) (M7.0)"	0.00308641975308642	0.00880537400145243	0.78833501778008	3.02868216201732	0	50	GZMB PRF1 GZMA GNLY GZMM KLRB1 CD3D NKG7 CD247 GZMH ZAP70 TIGIT SIT1 LCK UBASH3A CCL5 GPR171 CD2 IL32 CD3G ITK SH2D1A GIMAP7 SIRPG CD27 CD7 ICOS CD3E PRKCQ LAT GIMAP6 SLA2 CD6 CD96 FLT3LG NLRC3
"T cell activation (I) (M7.1)"	0.00307692307692308	0.00880537400145243	0.75015069308774	2.80825236210944	0	47	CD3D CD247 ZAP70 TIGIT SIT1 CD8B LCK CCL5 CD8A CD2 SLAMF1 CD3G ITK CRTAM IL12RB1 SIRPG CD27 CD7 CAMK4 ICOS DPP4 CD3E PRKCQ SLA2 THEMIS CD5 NLRC3 CORO1A RHOH
"enriched in NK cells (I) (M7.2)"	0.00302114803625378	0.00880537400145243	0.682211545961477	2.48378794808914	0	40	GZMB PRF1 GZMA FASLG GNLY GZMM KLRB1 NKG7 CD247 GZMH ZAP70 TBX21 CCL5 SH2D2A KLRD1 ITK CTSW GIMAP7 PRKCQ IL2RB CD96 NLRC3 S1PR5 FGFBP2 SAMD3
"T cell activation (II) (M7.3)"	0.00279329608938548	0.00880537400145243	0.90333632733853	2.93131448356988	0	26	GZMA CD3D NKG7 CD247 ZAP70 TIGIT LCK CCL5 GPR171 SLAMF1 CD3G ITK CRTAM IL12RB1 SIRPG ICOS CD3E PTPN7 CCR5 SLA2 CXCR3
"E2F1 targets (Q4) (M10.1)"	0.00542005420054201	0.0146040349292382	0.610456122353656	1.83775394432467	1	20	PKMYT1 STMN1 POLA2 RAD51 E2F7 MELK PCNA NASP SKP2
"enriched in monocytes (II) (M11.0)"	0.00126103404791929	0.00880537400145243	-0.65072304957016	-2.60220936351112	0	173	TREM1 AQP9 MNDA S100A12 FPR2 SIRPB1 FCGR2A SERPINA1 TLR8 FPR1 NLRP12 LILRA2 LILRA6 CSF3R SLC11A1 CLEC4E VNN2 PILRA GLT1D1 ITGAM C5AR1 NCF1 NFE2 TLR4 P2RY13 ALOX5 QPCT CD302 ITGAX LILRA1 CHST15 LILRB3 CD93 CCR1 NRGN SPI1 SIGLEC9 LILRB2 EPB41L3 PLXDC2 PLAUR FGL2 NCF2 FGR PLA2G7 TIMP2 NOD2 PLBD1 MEGF9 SIRPA NLRP3 TBXAS1 SIGLEC7 FCGR1B HSPA6 CFP TGFBI F13A1 FCER1G LAT2 HCK TLR2 IGSF6 RAB31 SORT1 CD86 S100A8 KCTD12
"blood coagulation (M11.1)"	0.00157728706624606	0.00880537400145243	-0.770929579163615	-2.14038554488692	0	21	TREM1 F5 SERPINA1 ITGAM PECAM1 SERPINB2 P2RX1 ITGAX PLAUR SIRPA F13A1 FCER1G
"TLR and inflammatory signaling (M16)"	0.00149925037481259	0.00880537400145243	-0.784617189951208	-2.50322639750081	0	41	AQP9 FPR2 CXCR2 TLR8 FPR1 DYSF LILRA6 CSF3R PILRA C5AR1 NFE2 TLR4 P2RY13 TLR6 ALOX5 ITGAX LILRB3 SIGLEC9 LILRB2 FGR FCGR1B HSPA6 TLR1 NCF4 TLR2 LY96 WDFY3 IRAK3
"mismatch repair (I) (M22.0)"	0.0418994413407821	0.0725758180367119	0.435449740768001	1.43471994501687	14	27	ZWINT BUB1 CENPK RPA3 CHEK1 RFC4 PCNA RACGAP1 RFC2 MCM6 NCAPG2
"cell activation (IL15, IL23, TNF) (M24)"	0.0459016393442623	0.0781133160770779	-0.586538985860368	-1.51500670108594	27	15	FN1 COL3A1 PDGFRA A2M TNFAIP3 MAP3K8 CD83 IL23A TF
"cell movement, Adhesion & Platelet activation (M30)"	0.00157977883096367	0.00880537400145243	-0.757535375617453	-2.0478626932862	0	18	SELP ESAM PROS1 HBEGF CALD1 KIF26A GP6 MPP1 ALOX12 GAB1
"immune activation - generic cluster (M37.0)"	0.00117096018735363	0.00880537400145243	-0.48234017772965	-2.02366301847348	0	260	MMP9 HAL ARG1 TREM1 AQP9 IL1R2 F5 FPR2 CXCR2 MAL SIRPB1 PROK2 CSF2RB CR1 LIN7A DYSF RASGRP4 PTGS2 FCGR3B VNN2 CHI3L1 ITGAM CLEC5A CEACAM6 NFE2 CREB5 ELOVL4 P2RY13 LRRK2 QPCT DOK3 MANSC1 NRGN SIGLEC9 CEACAM1 IL1R1 PLXDC2 IL18RAP PLA2G7 LRRC4 G0S2 OLR1 CCNE1 GXYLT2 STEAP4 FOXO1 SLC24A4 GALNT6 FAM43A MEGF9 CLEC12A LCN2 VNN1 LPCAT2 NLRP3 STX11 DUSP6 CMTM2 NLRC4 SLC22A15 TLR1 MEF2C TCN1 F13A1 NCF4 DOCK5 TM6SF1 BASP1 LAT2 CXCL1 ACTN1 GAB1 B3GNT5 S100A8 LY96 SLC8A1 ACSL1
"enriched in neutrophils (I) (M37.1)"	0.00146412884333821	0.00880537400145243	-0.801169993472162	-2.64463573621106	0	45	TNFRSF10C MME TREM1 FPR2 PROK2 DGAT2 FCGR2A LIN7A FPR1 NLRP12 FCGR3B CSF3R CXCR1 VNN2 GLT1D1 CHI3L1 C5AR1 FFAR2 NFE2 CREB5 MXD1 MANSC1 LRRC4 G0S2 STEAP4 KRT23 CMTM2 NCF4 BASP1
"endoplasmic reticulum (M37.2)"	0.011400651465798	0.0263300760043431	-0.653989724828536	-1.72029023805383	6	16	TLR8 ELOVL4 LPCAT2 TBXAS1 SORT1 ACSL1
"cell division (stimulated CD4+ T cells) (M46)"	0.00279329608938548	0.00880537400145243	0.672511493307377	2.18229093753733	0	26	CDK1 GINS1 CDT1 TST ZWINT TYMS CDCA7 SHCBP1 KIF4A CDCA3 KIF20A TOP2A RRM2 RAD51 CDC45
"enriched in B cells (I) (M47.0)"	0.0251396648044693	0.0468951439621831	0.463898753690723	1.52845376188465	8	27	IGHM CD79A CD72 VPREB3 HLA-DOB MS4A1 BLK TSPAN13 PCDH9
"enriched in B cells (II) (M47.1)"	0.0111111111111111	0.0262872628726287	0.530115230125566	1.71468393487788	3	25	IGHA1 IGHM CD79A HLA-DOB MS4A1
"enriched in B cells (III) (M47.2)"	0.0248618784530387	0.0468951439621831	0.533850641512279	1.57518651345809	8	19	IGHA1 IGKC HLA-DOA VPREB3 HLA-DQA1 CD69
"transcription regulation in cell development (M49)"	0.0303030303030303	0.0554602630074328	0.407361883037665	1.45877039981116	9	37	CDK1 CDC20 ANK1 CCNB1 STMN1 TYMS KIF4A HMGB2 FES ASPM
"cell adhesion (M51)"	0.00148367952522255	0.00880537400145243	-0.739294863057122	-2.26109724937411	0	33	FN1 POSTN SELP CDH11 ESAM THBS1 COL3A1 IL1B LAMA4 COL1A1 CXCL12 MGP ALOX12 CCDC80 THBS2 NID2 TNC ARHGAP6 COL5A1
"T & B cell development, activation (M62.0)"	0.0362116991643454	0.0650469410915093	0.424151396871508	1.41667601264556	12	28	UBASH3A CD3G SH2D1A CD7 CD3E CSRP2 SAMD13 VPREB3
"enriched in activated dendritic cells/monocytes (M64)"	0.00163934426229508	0.00880537400145243	-0.701409510433473	-1.81171266382809	0	15	IL1B IL1RN G0S2 SIRPA BASP1 CXCL1 MARCKS IL13RA1
