pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"regulation of signal transduction (M3)"	0.00134589502018843	0.00475117554858934	0.705142042065994	1.88804865112235	0	43	C5AR1 FPR1 CCR1 TLR2 NOD2 S100A12 CSF1R IL1RN UBASH3A TIMP2 LYN HPSE SYK BCL6 ECM1 ADAP2 ENG GATA3 SOX7 CD3E TIAM2
"cell cycle and transcription (M4.0)"	0.00102459016393443	0.00475117554858934	0.781137259320815	2.58941199597083	0	304	CSF3R LILRA2 CLEC4E MNDA NCF1 SLC11A1 TLR8 GLT1D1 C5AR1 LILRB3 LILRA1 FPR1 NLRP12 SIRPB2 FCGR2A LILRA6 ITGAX FGR LILRB2 HCK LST1 CD93 APOBEC3A LRRC25 PLAUR SPI1 PILRA FCGR1B HSPA6 TYROBP CFP TLR4 TBXAS1 IFI30 CCR1 AIF1 NCF2 AOAH CLEC4A SERPINA1 FCER1G SIGLEC7 IGSF6 ALOX5 GCA TLR2 FGL2 LMNB1 CD14 LILRB1 STAB1 CLEC7A CD163 SLC15A3 E2F2 NOD2 SIRPA TACC3 TGFBI FCGR1A CPPED1 PTAFR SECTM1 CENPW S100A12 S100A9 CHST15 MPEG1 APOBEC3B RRM2 CD86 CSF1R UHRF1 SLC31A2 IL1RN MYBL2 CEBPD CD33 ASF1B FCGRT CD302 BIRC5 NPL TFEC CCNA2 NCAPG CYBB CENPA UBE2C TIMP2 MS4A6A TNFAIP2 KIF18B SLC7A7 FES SPC24 CKAP2L CEP55 RAB31 MKI67 SPC25 TK1 HPSE MCM10 LY86 SHCBP1 PBK AURKA DEPDC1B TYMP SYK AURKB CD300LF CPVL DIAPH3 KIFC1 HJURP ANLN SKA1 CDCA7 CDC6 MND1 CDCA2 CD1D CDC45 VCAN CCNB1 DLGAP5 LGALS2 CDCA5 MELK EXO1 LMO2 MAFB TPX2 KIF2C FAM72A PTTG1 SKA3 KIF4A NUSAP1 RASSF4 KIF20A GINS4 IL13RA1 KIF15 IRAK3 PRC1 KIF14 BUB1B KIF23 NCAPH TTK NEIL3 CDC20 KYNU POLE2 S100A11 CENPE NDC80 ZWINT ARHGAP11A MARCKS CDCA8 CDKN3 RBM47 FOXM1 DEPDC1 HMMR RACGAP1 NUF2 UBE2S CCNB2 ECT2
"cell cycle (I) (M4.1)"	0.00111234705228031	0.00475117554858934	0.673064161029219	2.1275721262537	0	138	E2F2 TACC3 CENPW RRM2 UHRF1 MYBL2 BIRC5 CCNA2 NCAPG CENPA UBE2C KIF18B SPC24 CEP55 MKI67 SPC25 MCM10 PBK AURKA AURKB KIFC1 HJURP ANLN SKA1 CDC6 MND1 CDCA2 CDC45 CCNB1 DLGAP5 CDCA5 MELK EXO1 TPX2 KIF2C PTTG1 SKA3 NUSAP1 KIF20A GINS4 KIF15 PRC1 BUB1B KIF23 NCAPH TTK CDC20 POLE2 CENPE NDC80 ZWINT CDCA8 CDKN3 FOXM1 RACGAP1 NUF2 UBE2S CCNB2 ECT2 CKS2 FAM83D ASPM SMC4 CDC25A BUB1 DNA2 ESPL1 DSCC1 CENPI RAD51 PLK1 STMN1 OIP5 ERCC6L CENPF MCM5 GINS2
"PLK1 signaling events (M4.2)"	0.00141242937853107	0.00475117554858934	0.748189015419163	1.88305798021203	0	32	MYBL2 ASF1B NCAPG CKAP2L CEP55 SPC25 AURKA CLSPN HJURP TPX2 NUSAP1 KIF20A PRC1 KIF14 BUB1B KIF23 CDC20 CENPE NDC80 ECT2 ASPM BUB1 ESPL1 PLK1 ERCC6L GINS2
"myeloid cell enriched receptors and transporters (M4.3)"	0.00144300144300144	0.00475117554858934	0.88632062682835	2.17707100182294	0	28	TLR8 LILRA1 LRRC25 CCR1 CLEC4A SIGLEC7 IGSF6 SLC8A1 SLC24A4 CD14 SLC15A3 SECTM1 CHST15 MPEG1 CD86 GPBAR1 MS4A14 SLC2A6 RNASE6 SLC7A7
"mitotic cell cycle in stimulated CD4 T cells (M4.5)"	0.00846262341325811	0.0186562379792281	0.670040010911395	1.67445650830789	5	31	ZEB1 TACC3 RRM2 UHRF1 CEP55 GRAP2 DEPDC1B CXCR6 CDCA7 CDCA5 MELK KIF20A CDC20 NDC80 NUF2 MIR155HG CDK1 ZNF367 TOP2A TYMS KIF11 FBXO5
"cell division in stimulated CD4 T cells (M4.6)"	0.0487444608567208	0.0875594945018874	0.656566026451181	1.51806223088075	32	19	CEP55 DEPDC1B ANLN CDCA7 CDCA2 POLE2 CDKN3 HMMR DSCC1 GINS2 GINS1 BRCA2 FANCD2 BRCA1
"mitotic cell cycle in stimulated CD4 T cells (M4.9)"	0.0360501567398119	0.0685659843874854	0.701903545775094	1.55960618216468	22	15	CDC6 KIF14 NCAPH CENPE EZH2 RAD51 MASTL CENPF ZNF367
"regulation of antigen presentation and immune response (M5.0)"	0.00123304562268804	0.00475117554858934	0.801245107550811	2.34034386711877	0	75	MNDA FOS FGR LILRB2 HCK LAT2 LCP2 PTPRC FCGR1B TLR4 TLR6 FCER1G TLR2 LILRB1 CLEC7A NCKAP1L BTK TLR1 LY96 CD86 VASP NFKBIA PAG1 PTPN22 INPP5D PTPN6 UBASH3A CTLA4 CD247 ZAP70 ITK TLR10 MEF2C LYN TLR7 CD3G GRAP2 HLA-DPB1 SYK CD4 HLA-DOA MYD88 LCK HLA-DOB PRKCQ HLA-DMB IRAK3 CD3E HLA-DQA1 RPS6KA1 CSK
"T cell activation and signaling (M5.1)"	0.00149253731343284	0.00475117554858934	0.823826237240274	1.92606645546194	0	21	PTPRC BIN2 TRAF3IP3 IL2RG IL12RB1 GIMAP6 CD52 CD247 ZAP70 ITK CD3G CD4 LCK CD2 CD3E
