pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"cell cycle and transcription (M4.0)"	0.001001001001001	0.00334114081014054	-0.757230804179229	-2.08083597921154	0	304	FPR1 CLEC4E CSF3R MNDA LILRA2 LILRB3 FCGR2A FGR TLR8 LILRA1 SLC11A1 GLT1D1 LILRB2 NLRP12 LILRB1 NCF1 LILRA6 ITGAX FCGR1B HSPA6 SIRPB2 HCK LST1 LRRC25 LGALS2 CCR1 FCGR1A SPI1 CD93 CD163 FCER1G CD86 CYBB SIGLEC7 TLR4 EPB41L3 AIF1 RASSF4 CFP CLEC4A TFEC PILRA SLC15A3 TYROBP PLAUR SERPINA1 C5AR1 CD33 CKAP2L IGSF6 CDC45 SHCBP1 TBXAS1 CD1D SECTM1 SLC31A2 LMNB1 CDC20 IRAK3 AOAH IFI30 TLR2 ALOX5 CD300LF APOBEC3A TYMP SKA1 RTN1 RRM2 BUB1 NCAPG KIF23 DLGAP5 FGL2 MPEG1 S100A12 CPVL ANLN GCA CCDC34 KIF14 EXO1 CENPA CD14 SLC7A7 UHRF1 SKA3 DTL BUB1B CDCA2 TNFAIP2 KIF20A MYBL2 NCF2 CDT1 PTAFR MCM10 ERCC6L NEK2 SPC25 MS4A6A NEIL3 CCNA2 CENPI CSF1R MAD2L1 DIAPH3 AURKA TPX2 NDC80 LY86 OIP5 BRIP1 DEPDC1 E2F7 CDCA5 CPPED1 TTK PLK4 MELK UBE2C CENPE CENPW HMMR TNFSF13 GINS2 BIRC5 CDC6 VCAN ASPM CDCA3 ARHGAP11A RAD51AP1 MCM6 CEP55 NCAPH CDCA8 RAD54L POC1A UBE2T LMO2 KIF2C CCNB1 SIRPA CENPK ATAD2 KCTD12 NUF2 CKS2 BRCA1 APOBEC3B CDC25A TGFBI CCNF ASF1B CENPN SPAG5 CDK1 CDCA7 CDKN3 GINS1 RMI1 KIF18B KIF20B ZWINT CCNE2 TRIP13 RAD51 CKS1B STIL MKI67 AURKB UBE2S E2F2 CDC25C PBK CENPH GINS4 MCM2 MARCKS CHST15 KIF4A CCNB2 FAM72A DNA2 SPC24 FANCD2 STAB1 KIF11 DHFR DEPDC1B
"cell cycle (I) (M4.1)"	0.00102249488752556	0.00334114081014054	-0.71265829050573	-1.91905701661579	0	138	CDC45 CDC20 SKA1 RRM2 BUB1 NCAPG KIF23 DLGAP5 ANLN EXO1 CENPA UHRF1 SKA3 DTL BUB1B CDCA2 KIF20A MYBL2 CDT1 MCM10 ERCC6L NEK2 SPC25 CCNA2 CENPI MAD2L1 AURKA TPX2 NDC80 OIP5 BRIP1 E2F7 CDCA5 TTK PLK4 MELK UBE2C CENPE CENPW GINS2 BIRC5 CDC6 ASPM CDCA3 MCM6 CHAF1B CEP55 NCAPH CDCA8 RAD54L KIF2C CCNB1 CENPK NUF2 CKS2 BRCA1 CDC25A CCNF CENPN SPAG5 CDK1 CDKN3 GINS1 RANBP1 KIF18B KIF20B ZWINT CCNE2 TRIP13 RAD51 CKS1B MKI67 AURKB UBE2S E2F2 CDC25C PBK CENPH GINS4 MCM2 SMC4 CCNB2 DNA2 SPC24 FANCD2 KIF11 DHFR FEN1 KIF15 FANCI TIPIN TYMS DSCC1 RFC4 HELLS RFC3 KNTC1
"PLK1 signaling events (M4.2)"	0.00120048019207683	0.00334114081014054	-0.778417216418951	-1.81767030598296	0	32	CKAP2L CLSPN CDC20 BUB1 NCAPG KIF23 KIF14 BUB1B KIF20A MYBL2 ERCC6L SPC25 AURKA TPX2 NDC80 CENPE GINS2 ASPM RAD51AP1 CEP55 ASF1B TRIP13 CDC25C
"myeloid cell enriched receptors and transporters (M4.3)"	0.00122100122100122	0.00334114081014054	-0.860843967841809	-1.96582906698912	0	28	SLC24A4 TLR8 LILRA1 LRRC25 CCR1 CD86 SIGLEC7 SLC8A1 CLEC4A SLC2A6 SLC15A3 GPBAR1 IGSF6 RNASE6 CD1D SECTM1 SLC1A3 MPEG1 CD14 SLC7A7
"mitotic cell cycle - DNA replication (M4.4)"	0.0134310134310134	0.0265879245471082	-0.673500921741196	-1.53801122858784	10	28	CDC45 EXO1 CDT1 MCM10 TPX2 OIP5 PLK4 CDC6 MCM6 STIL MCM2 KIF15 C1orf112 MCM3 PRIM2
"mitotic cell cycle in stimulated CD4 T cells (M4.5)"	0.001194743130227	0.00334114081014054	-0.775708250013215	-1.80328919065734	0	31	MIR155HG LAG3 CXCR6 ZEB1 GRAP2 CDC20 RRM2 UHRF1 KIF20A MAD2L1 NDC80 CDCA5 MELK MCM6 CEP55 UBE2T CENPK NUF2 CDK1 CDCA7 KIF11 DEPDC1B ENO2 TYMS
"cell division in stimulated CD4 T cells (M4.6)"	0.00785340314136126	0.0158704188481675	-0.763042484406346	-1.64212577304143	5	19	ANLN CDCA2 BRCA2 HMMR GINS2 CEP55 UBE2T BRCA1 CDCA7 CDKN3 GINS1 FANCD2 DEPDC1B FANCI DSCC1
"mitotic cell cycle (M4.7)"	0.0391134289439374	0.0715849548596591	-0.691429168692314	-1.5035811649594	29	20	SHCBP1 EXO1 PKMYT1 CDT1 NEK2 CCNA2 PLK4 CCNB1 CDC25A CDK1 CDC25C CCNB2 CEP72
"regulation of antigen presentation and immune response (M5.0)"	0.00106157112526539	0.00334114081014054	-0.843936792125777	-2.17439837767354	0	75	MNDA FGR CTLA4 LILRB2 LILRB1 FCGR1B HCK PTPRC HLA-DQA1 LCP2 CD19 LAT2 FOS TLR10 FCER1G CD86 TLR4 CD247 HLA-DPA1 NCKAP1L HLA-DOA HLA-DRB1 CD3E SLA2 HLA-DPB1 HLA-DMB ZAP70 HLA-DRA CD4 HLA-DQB1 GRAP2 PTPN22 CD3D LCK PRKCQ TLR7 UBASH3A IRAK3 CD3G BTK FYN TLR2 ITK HLA-DMA THEMIS CCR7 HLA-DOB TLR6 LYN CARD11 PAG1 NFKBIA LY96 MEF2C
"T cell activation and signaling (M5.1)"	0.00130548302872063	0.00334114081014054	-0.907900101114918	-1.98423137345434	0	21	PTPRC IL2RG CD247 CD2 IL12RB1 GIMAP6 CD52 HLA-DRB1 CD3E ZAP70 HLA-DRA CD4 CD3D TRAF3IP3 LCK CD3G ITK CCR7 BIN2
