pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"extracellular matrix (I) (M2.0)"	0.00758725341426404	0.0243315105603773	0.667902910090569	1.67806653469346	4	26	THBS1 COL1A2 COL6A2 COL4A1 LAMA4 COL3A1 VCAN COL4A2 NID2 MMP2 COL1A1 COL6A3 FSTL1 AEBP1
"regulation of signal transduction (M3)"	0.00140845070422535	0.0092778574844572	0.702245650656303	1.93065239789114	0	43	C5AR1 FPR1 CCR1 NOD2 S100A12 TLR2 ECM1 IL1RN TIMP2 HPSE BCL6 CSF1R SOX7 GATA3 SULF2 LYN SYK FOXO1 JUP GAB1 TIAM2 LRP1 KLF4
"cell cycle and transcription (M4.0)"	0.00108225108225108	0.0092778574844572	0.703850976390905	2.44659830043832	0	304	MNDA LILRA2 CSF3R CLEC4E SLC11A1 TLR8 NCF1 GLT1D1 C5AR1 NLRP12 FPR1 SIRPB2 FCGR2A LILRA6 LILRA1 LILRB3 PILRA ITGAX CD93 LILRB2 PLAUR FGR SPI1 TLR4 HCK LRRC25 SERPINA1 TBXAS1 CFP LST1 FCGR1B HSPA6 CCR1 APOBEC3A NCF2 ALOX5 TYROBP IFI30 AOAH FCER1G IGSF6 CLEC4A FGL2 SIGLEC7 AIF1 NOD2 GCA S100A12 TLR2 CLEC7A SIRPA IL1RN CD14 CHST15 E2F2 TGFBI CD302 S100A9 TIMP2 CPPED1 LMNB1 STAB1 MPEG1 TACC3 NPL RAB31 CEBPD SLC15A3 PTAFR HPSE FCGRT CSF1R
"myeloid cell enriched receptors and transporters (M4.3)"	0.00151975683890578	0.0092778574844572	0.812957494609012	2.0674586009197	0	28	TLR8 LILRA1 LRRC25 CCR1 IGSF6 CLEC4A SIGLEC7 SLC8A1 CD14 CHST15 SLC24A4 MS4A14 MPEG1 SLC15A3 SULF2 CD86
"regulation of antigen presentation and immune response (M5.0)"	0.0013262599469496	0.0092778574844572	0.606615208402342	1.83866063059526	0	75	MNDA FOS LCP2 LILRB2 FGR PTPRC TLR4 HCK LAT2 TLR6 FCGR1B FCER1G TLR2 CLEC7A TLR1 VASP LY96 NFKBIA BTK PAG1 INPP5D MEF2C PTPN6 CD86 LYN SYK MYD88
"enriched in T cells (I) (M7.0)"	0.00342465753424658	0.0129991959260252	-0.820837056081134	-2.78522420922168	0	50	GZMB PRF1 GZMA GNLY NKG7 ICOS TIGIT GZMH IL32 SH2D1A CD3D CD28 SIT1 CD27 SIRPG CD247 KLRB1 GPR171 CD2 GZMM GIMAP7 SLA2 LCK SAMD3 ZAP70 CD3E LEF1 CD6 CD7 CD96 PRKCQ CCL5 FLT3LG NLRC3 CD3G UBASH3A
"T cell activation (I) (M7.1)"	0.00348432055749129	0.0129991959260252	-0.70782081084962	-2.36606024435184	0	47	ICOS TIGIT CD3D CD28 SIT1 CD27 SIRPG CRTAM SLAMF1 CD247 CD2 SLA2 LCK IL21R CAMK4 ZAP70 CD3E CD5 LEF1 CD8B CD7 TXK CD8A PRKCQ CCL5 NLRC3 CD3G SLAMF7 THEMIS DPP4
"enriched in NK cells (I) (M7.2)"	0.0100671140939597	0.0295912141549725	-0.540535507476341	-1.76356794740701	2	40	GZMB PRF1 GZMA GNLY NKG7 SH2D2A FASLG GZMH CD247 KLRB1 CTSW IL2RB GZMM GIMAP7 SAMD3 ZAP70 TBX21 CD96 PRKCQ CCL5 KLRD1 NLRC3 MYBL1 SLAMF7
"T cell activation (II) (M7.3)"	0.00291545189504373	0.0129991959260252	-0.838825865443205	-2.45822808390886	0	26	GZMA NKG7 ICOS TIGIT CD3D SIRPG CRTAM SLAMF1 CD247 GPR171 CCR5 SLA2 LCK ZAP70 CD3E CCL5 NLRC3 CD3G SLAMF7
"enriched in monocytes (II) (M11.0)"	0.00116009280742459	0.0092778574844572	0.841657505489525	2.81354516967338	0	173	TREM1 MNDA LILRA2 CSF3R CLEC4E AQP9 SLC11A1 TLR8 NCF1 SIRPB1 GLT1D1 C5AR1 NLRP12 FPR1 NFE2 FPR2 FCGR2A LILRA6 LILRA1 LILRB3 ITGAM P2RY13 PILRA ITGAX VNN2 CD93 LILRB2 PLAUR FGR SPI1 TLR4 NLRP3 HCK F13A1 SERPINA1 LAT2 TBXAS1 CFP LST1 PADI2 FCGR1B HSPA6 LILRA5 SIGLEC9 CCR1 NCF2 NRGN ALOX5 TYROBP IFI30 AOAH FCER1G IGSF6 CLEC4A FGL2 SIGLEC7 AIF1 NOD2 GCA S100A12 QPCT TLR2 CRISPLD2 CLEC7A SIRPA CD14 CHST15 TGFBI CD302 PRAM1 S100A9 RBP7 MEGF9 TIMP2 CPPED1 STAB1 S100A8 PLA2G7 MPEG1 BST1 PLXDC2 BTK RAB31 CEBPD SLC15A3 PTAFR HPSE FCGRT CSF1R
"blood coagulation (M11.1)"	0.0015527950310559	0.0092778574844572	0.873140858185023	2.10307295138332	0	21	TREM1 ITGAM ITGAX PECAM1 P2RX1 PLAUR F13A1 SERPINA1 FCER1G SIRPA SERPINB2 F5 LYN SYK
"TLR and inflammatory signaling (M16)"	0.00141643059490085	0.0092778574844572	0.912839741606356	2.48674851619512	0	41	CSF3R AQP9 TLR8 DYSF CXCR2 C5AR1 FPR1 NFE2 FPR2 LILRA6 LILRB3 P2RY13 PILRA ITGAX LILRB2 FGR NCF4 TLR4 TLR6 FCGR1B HSPA6 SIGLEC9 ALOX5 TYROBP TLR2 MGAM TLR1 LY96 BST1 NPL
"platelet activation (I) (M32.0)"	0.0372670807453416	0.0912445730824891	0.641931987795162	1.54617641300856	23	21	TGFB1 CORO1A ZYX FLNA GNAI2 TLN1 GNB2 NRBP1 ACTN4 AKT1 NR1H2 ACAP1 PPP1CA PFN1 HGS UBE2M
