pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"regulation of signal transduction (M3)"	0.00154083204930663	0.00720439691027926	0.668342791431944	1.91585399011694	0	43	C5AR1 FPR1 ECM1 CCR1 NOD2 TLR2 IL1RN TIMP2 HPSE S100A12 SOX7 CSF1R SULF2 BCL6 SYK FOXO1 LYN LRP1 TIAM2 JUP GATA3 GAB1 ENG KLF4 UBASH3A
"cell cycle and transcription (M4.0)"	0.00116414435389988	0.00720439691027926	0.68936083087827	2.58248909870696	0	304	LILRA2 CSF3R NCF1 CLEC4E MNDA SLC11A1 C5AR1 GLT1D1 TLR8 NLRP12 LILRB3 LILRA1 SIRPB2 FPR1 APOBEC3A LILRA6 ITGAX FCGR2A PLAUR PILRA CD93 HCK FGR LILRB2 LST1 SPI1 LRRC25 TYROBP TBXAS1 CFP TLR4 FCGR1B IFI30 HSPA6 NCF2 AOAH AIF1 CCR1 SERPINA1 CLEC4A ALOX5 GCA IGSF6 CLEC7A FCER1G NOD2 SIGLEC7 TLR2 FGL2 STAB1 CD14 TACC3 LMNB1 E2F2 S100A9 SIRPA IL1RN TGFBI NPL CD302 CHST15 CPPED1 FCGRT PTAFR CEBPD TIMP2 SLC15A3 APOBEC3B CENPW HPSE S100A12 ASF1B FES RAB31 CSF1R MPEG1 SECTM1 UHRF1 MYBL2 TK1 RRM2 CD163 BIRC5 MND1 KIF18B SPC24 SYK UBE2C CCNA2 MKI67 HJURP KIFC1 CFD LILRB1 PBK DEPDC1B SLC31A2 CEP55 CSTA MS4A6A AURKB TNFAIP2 CENPA RBM47 S100A11 NCAPG POLE2 E2F8 PTTG1 RACGAP1 SLC7A7 SPC25 WDFY3 MAFB NUSAP1 CD33 IL13RA1 CDCA7 GRN AURKA MCM10 CEBPA FCGR1A PRC1 KYNU FOXM1 TROAP SEMA4A EZH2 ECT2 LY86 CD36 CCNB1 ESPL1 KIF4A KLF4 FAM83D PLBD1
"myeloid cell enriched receptors and transporters (M4.3)"	0.00168634064080944	0.00720439691027926	0.828082336034303	2.17820382909192	0	28	TLR8 LILRA1 LRRC25 CCR1 CLEC4A IGSF6 SLC8A1 SIGLEC7 CD14 CHST15 SLC15A3 MS4A14 MPEG1 SULF2 SLC24A4 SECTM1
"regulation of antigen presentation and immune response (M5.0)"	0.00142450142450142	0.00720439691027926	0.674010447507482	2.12053490408582	0	75	MNDA FOS HCK FGR LILRB2 LAT2 LCP2 PTPRC TLR4 FCGR1B TLR6 CLEC7A FCER1G TLR2 VASP TLR1 LY96 PTPN6 NFKBIA INPP5D PAG1 BTK NCKAP1L SYK LIME1 LILRB1 MYD88 MEF2C
"enriched in T cells (I) (M7.0)"	0.0149253731343284	0.0452425373134328	-0.468841117542227	-1.5978808767805	4	50	CD28 LEF1 ICOS GZMA GZMB SAMD3 CD27 SH2D1A NELL2 ITM2A SLA2 SIRPG IL32 NKG7 PRF1 TIGIT CD3D FLT3LG CD6 SIT1 NLRC3 GPR171 CD2 CD96 CD3E
"enriched in monocytes (II) (M11.0)"	0.0012987012987013	0.00720439691027926	0.825150546533278	2.89799785984825	0	173	TREM1 LILRA2 CSF3R NCF1 CLEC4E MNDA SLC11A1 C5AR1 GLT1D1 TLR8 NFE2 SIRPB1 NLRP12 LILRB3 LILRA1 AQP9 FPR1 LILRA6 ITGAX FCGR2A P2RY13 PLAUR ITGAM F13A1 PADI2 FPR2 PILRA LILRA5 CD93 NLRP3 HCK FGR LILRB2 LST1 SPI1 VNN2 LAT2 TYROBP TBXAS1 CFP TLR4 FCGR1B IFI30 HSPA6 NCF2 NRGN SIGLEC9 AOAH AIF1 CCR1 SERPINA1 CLEC4A ALOX5 GCA IGSF6 CLEC7A FCER1G PRAM1 CRISPLD2 NOD2 SIGLEC7 TLR2 FGL2 STAB1 RBP7 CD14 S100A9 SIRPA QPCT TGFBI CD302 CHST15 CPPED1 MEGF9 BST1 FCGRT PTAFR CEBPD S100A8 TIMP2 SLC15A3 IMPA2 HPSE S100A12 FES RAB31 CSF1R MPEG1 BTK SULF2 SECTM1
"blood coagulation (M11.1)"	0.00168918918918919	0.00720439691027926	0.810725201686246	2.0222051978631	0	21	TREM1 ITGAX PLAUR ITGAM F13A1 PECAM1 P2RX1 SERPINA1 FCER1G SIRPA SERPINB2 SYK CFD SLC16A3 LYN DOK2 SLC7A7
"TLR and inflammatory signaling (M16)"	0.0015527950310559	0.00720439691027926	0.896182786781145	2.54610022173082	0	41	CSF3R C5AR1 DYSF TLR8 NFE2 CXCR2 LILRB3 AQP9 FPR1 NCF4 LILRA6 ITGAX P2RY13 FPR2 PILRA FGR LILRB2 TYROBP TLR4 FCGR1B HSPA6 TLR6 SIGLEC9 ALOX5 TLR2 MGAM NPL TLR1 BST1 LY96 FES
"platelet activation (I) (M32.0)"	0.00168918918918919	0.00720439691027926	0.720240801539917	1.79650847112899	0	21	CORO1A TGFB1 ZYX ACAP1 TLN1 GNAI2 FLNA GNB2 ACTN4 NRBP1 NR1H2 PPP1CA PFN1 AKT1 HGS
"platelet activation (II) (M32.1)"	0.00337837837837838	0.0126039501039501	0.701286479980922	1.74923039527932	1	21	SIPA1 TGFB1 ZYX NBEAL2 MAP7D1 ACAP1 TLN1 GNAI2 FLNA PNPLA6 GNB2 ACTN4 MLF2 PFN1 AP2M1 AKT1 HGS DNM2 MAP2K2
