pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"regulation of signal transduction (M3)"	0.0077639751552795	0.0259691582780039	-0.604788630038813	-1.66515257443414	4	43	ECM1 S100A12 FPR1 IL1RN C5AR1 CCR1 NOD2 BMP2 KLF4 JUP
"cell cycle and transcription (M4.0)"	0.00512820512820513	0.0191321499013807	0.427233475718476	1.7131372038229	0	304	CKAP2L NEIL3 SHCBP1 NCAPG CENPA DTL CDCA2 KIF14 BUB1B EXO1 ARHGAP11A RRM2 CCNA2 KIF23 DLGAP5 MELK NDC80 ASPM PBK BUB1 DEPDC1 MS4A6A KIF15 TYMS SKA3 CDC45 SPC25 KIF2C RAD54L CEP55 MCM10 CENPE SPC24 DNA2 ERCC6L TPX2 PRIM1 CDCA5 HJURP MKI67 CCNF FAM72A CPVL KIF18B CENPN AURKA E2F2 OIP5 ANLN IRAK3 MYBL2 NCAPH CDC6 CYP1B1 GINS4 GINS1 GINS2 C1orf112 CDCA8 NUF2 SKA1 TTK KIF20A MAD2L1 RAD51AP1 DIAPH3 MCM6 CHAC2 LY86 CDCA7 NUSAP1 NEK2 TOP2A FOXM1 STAB1 KIFC1 CCNB1 PRC1 CDC20 KIF20B ESPL1 KIF18A KIF11 CCNE2 CDC7 CDC25C CHEK1 ASF1B CDCA3 DHFR ECT2 CENPF UBE2T CDC25A FANCI CSF1R UHRF1 WDR76 HMMR PLK4 LGALS2 ZWINT TCF19 RTN1 CDT1 BRCA1 ATAD2 CD1D SMC2 TROAP NCAPG2 CENPH CKS2 ZWILCH CDK1 TYMP BIRC5 FAM83D GPSM2 WDHD1 HELLS MPEG1 DEPDC1B SLC31A2 PLK1 DSCC1 RACGAP1 TNFSF13 AURKB E2F7 RFC3 FANCD2 CDKN3 BRIP1 TMPO GGH MCM5
"cell cycle (I) (M4.1)"	0.0036101083032491	0.0145908543922984	0.816757240420056	2.96874523117538	0	138	NCAPG CENPA DTL CDCA2 BUB1B EXO1 RRM2 CCNA2 KIF23 DLGAP5 MELK NDC80 ASPM PBK BUB1 KIF15 TYMS SKA3 CDC45 SPC25 KIF2C RAD54L CEP55 MCM10 CENPE SPC24 DNA2 ERCC6L TPX2 PRIM1 CDCA5 HJURP MKI67 CCNF KIF18B CENPN AURKA E2F2 OIP5 ANLN MYBL2 NCAPH CDC6 GINS4 GINS1 GINS2 CDCA8 NUF2 SKA1 TTK KIF20A MAD2L1 MCM6 NUSAP1 NEK2 TOP2A FOXM1 KIFC1 CCNB1 PRC1 CDC20 SMC4 KIF20B ESPL1 KIF18A KIF11 CCNE2 CDC7 CDC25C CHEK1 CDCA3 DHFR ECT2 CHAF1B CENPF CDC25A FANCI UHRF1 PLK4 ZWINT CDT1 BRCA1 SMC2 NCAPG2 CENPH CKS2 ZWILCH CDK1 BIRC5 FAM83D GPSM2 HELLS PLK1 DSCC1 RACGAP1 AURKB E2F7 RFC3 FANCD2 CDKN3 BRIP1 MCM5 RAD51 RFC4 MCM2 KNTC1 TACC3
"PLK1 signaling events (M4.2)"	0.00253164556962025	0.0116937914406269	0.885454970311494	2.54913355763531	0	32	CLSPN CKAP2L NCAPG KIF14 BUB1B KIF23 NDC80 ASPM BUB1 SPC25 CEP55 CENPE ERCC6L TPX2 HJURP AURKA MYBL2 GINS2 KIF20A RAD51AP1 NUSAP1 PRC1 CDC20 ESPL1 CDC25C ASF1B ECT2
"mitotic cell cycle - DNA replication (M4.4)"	0.00248138957816377	0.0116937914406269	0.777780942501722	2.17390098716045	0	28	EXO1 KIF15 CDC45 MCM10 TPX2 PRIM1 OIP5 CDC6 C1orf112 MCM6 CDC7 PLK4 CDT1 MCM5 MCM8 STIL MCM2 POLA2 MCM7 MCM4 MCM3 POLE2
"mitotic cell cycle in stimulated CD4 T cells (M4.5)"	0.00251889168765743	0.0116937914406269	0.819307273499739	2.33585011195698	0	31	RRM2 MELK NDC80 TYMS CEP55 CDCA5 CXCR6 NUF2 KIF20A MAD2L1 MCM6 CHAC2 CDCA7 TOP2A CDC20 KIF11 GRAP2 UBE2T UHRF1 CDK1 DEPDC1B TACC3 ZEB1
"cell division in stimulated CD4 T cells (M4.6)"	0.00235294117647059	0.0116937914406269	0.867195015082401	2.24171645007014	0	19	CDCA2 CEP55 ANLN GINS1 GINS2 CDCA7 BRCA2 UBE2T FANCI HMMR BRCA1 NCAPG2 DEPDC1B DSCC1 FANCD2 CDKN3
"mitotic cell cycle (M4.7)"	0.00234741784037559	0.0116937914406269	0.826110078664999	2.16041482120106	0	20	SHCBP1 PKMYT1 EXO1 CCNA2 NEK2 FOXM1 CCNB1 CDC25C CEP152 CDC25A PLK4 CDT1 CDK1 PLK1
"cell division - E2F transcription network (M4.8)"	0.00947867298578199	0.0306477093206951	0.746174380831829	1.89623207467175	3	18	MAD2L1 ZWINT E2F7 MCM2 KIF4A DNMT1 MCM4 MCM3 RNASEH2A TIMELESS TOPBP1 RFC5 PCNA RANBP1
"mitotic cell cycle in stimulated CD4 T cells (M4.9)"	0.0184757505773672	0.0492323309224718	0.715962696322796	1.74887458343179	7	15	KIF14 CENPE NCAPH CDC6 CENPF PLK4 RAD51 ZNF367 RRM1 EZH2
