pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"integrin cell surface interactions (I) (M1.0)"	0.00452488687782806	0.0141585170048168	-0.777422174759658	-2.28304536162186	0	26	COL1A2 FN1 COL3A1 COL6A3 COL6A2 COL1A1 MYL9 COL5A1 COL5A2 TNC
"extracellular matrix (I) (M2.0)"	0.00452488687782806	0.0141585170048168	-0.788263649237601	-2.31488337553967	0	26	COL1A2 COL3A1 COL6A3 MMP2 COL6A2 COL1A1 AEBP1 COL5A1 COL5A2 THBS2 NID2 FSTL1 LAMA4 COL6A1
"regulation of signal transduction (M3)"	0.00239808153477218	0.00894668880280391	0.729699235800711	1.76446280974326	1	43	C5AR1 S100A12 FPR1 BMP2 ECM1 IL1RN KIF26A TLR2 HMOX1 CCR1 NOD2 UBASH3A CD3E HPSE GAB1 JUP ADAP2 SYK SULF2
"cell cycle and transcription (M4.0)"	0.001	0.00548394391677974	0.788244394452716	2.18050069008065	0	304	C5AR1 SLC11A1 LILRA2 S100A12 CLEC4E NCF1 GLT1D1 MNDA FPR1 CSF3R TLR8 PLAUR LILRA6 NLRP12 LILRA1 PILRA LILRB3 ITGAX LILRB2 FCGR2A LST1 HCK SIRPB2 FGR SPI1 TLR4 TBXAS1 CFP TYROBP HSPA6 AOAH IL1RN SERPINA1 NCF2 SIGLEC7 CD93 FCGR1B LRRC25 AIF1 CKAP2L SLC31A2 ESPL1 APOBEC3A FGL2 CENPA LMNB1 TLR2 HMOX1 E2F2 NEIL3 ALOX5 CPPED1 EPB41L3 KIF14 NCAPG S100A9 IGSF6 CDCA2 CLEC4A GCA SPC24 DEPDC1 RRM2 NDC80 SPC25 ASF1B CCR1 KIF15 SHCBP1 ARHGAP11A ASPM FCER1G OIP5 GPSM2 CCNA2 MCM10 KIF23 NOD2 EXO1 GGH CSTA KIFC1 TYMP BIRC5 DTL TACC3 CDCA5 CDC25C SIRPA PBK CCNF BUB1 MELK TYMS CDC20 CD86 NUF2 DLGAP5 BUB1B NCAPH GINS2 SKA1 CKS2 GINS1 MAD2L1 KIF2C ERCC6L CDCA7 CCNB1 KIF18B CD302 DIAPH3 TTK AURKB DEPDC1B HJURP IFI30 CD14 CDK1 UHRF1 CHAC2 CDKN3 MYBL2 VCAN CDC45 KIF20A TCF19 DNA2 CDCA8 CENPW RAD51AP1 SKA3 TOP2A CENPE SLC15A3 FCGR1A TPX2 NEK2 CHEK1 CEP55 NUSAP1 ANLN PTAFR PLK4 CDC6 LY86 CCNB2 CENPF FES MCM6 STMN1 KIF18A AURKA HPSE KIF11 CDT1 TROAP HMMR CEBPD PRC1 UBE2T CCNE2 KIF20B FAM72A ZNF367 WDR76 MS4A6A POC1A CHST15 MKI67 CEBPA CDC25A UBE2S TK1 MCM5 C1orf112 CD1D CYBB RAD54L MPEG1 UBE2C FCGRT SPAG5 GINS4 KIF4A BRCA1 ATAD2 ZWINT CENPM BRIP1 STAB1 FOXM1 CENPN RACGAP1 E2F7 CDCA3 POLA2 RAD51 PRIM1 NPL LGALS2 DSCC1 CENPH CENPI SYK CPVL MCM2 PLBD1 PTTG1 RTN1 CDC7
"cell cycle (I) (M4.1)"	0.0010351966873706	0.00548394391677974	0.778384375335106	2.09514777756635	0	138	ESPL1 CENPA E2F2 NCAPG CDCA2 SPC24 RRM2 NDC80 SPC25 KIF15 ASPM OIP5 GPSM2 CCNA2 MCM10 KIF23 EXO1 KIFC1 BIRC5 DTL TACC3 CDCA5 CDC25C PBK CCNF BUB1 MELK TYMS CDC20 NUF2 DLGAP5 BUB1B NCAPH GINS2 SKA1 CKS2 GINS1 MAD2L1 KIF2C ERCC6L CCNB1 KIF18B TTK AURKB HJURP CDK1 UHRF1 CDKN3 MYBL2 CDC45 KIF20A DNA2 CDCA8 CENPW SKA3 TOP2A CENPE TPX2 NEK2 CHEK1 CEP55 NUSAP1 ANLN PLK4 CDC6 CCNB2 CENPF MCM6 STMN1 KIF18A AURKA KIF11 CDT1 PRC1 CCNE2 KIF20B MKI67 CDC25A UBE2S MCM5 RAD54L UBE2C SPAG5 GINS4 BRCA1 ZWINT CENPM BRIP1 FOXM1 CENPN RACGAP1 E2F7 CDCA3 POLA2 RAD51 PRIM1 DSCC1 CENPH CENPI MCM2 PTTG1 CDC7 NCAPG2 E2F8 RFC3 DTYMK FBXO5 SMC2
"PLK1 signaling events (M4.2)"	0.00125156445556946	0.00548394391677974	0.862615482892068	1.99994676838403	0	32	CKAP2L ESPL1 CLSPN KIF14 NCAPG NDC80 SPC25 ASF1B ASPM KIF23 CDC25C BUB1 CDC20 BUB1B GINS2 ERCC6L HJURP MYBL2 KIF20A RAD51AP1 CENPE TPX2 CEP55 NUSAP1 AURKA PRC1
"myeloid cell enriched receptors and transporters (M4.3)"	0.00252525252525253	0.00907220351664796	0.784569817995642	1.79209381893551	1	28	TLR8 LILRA1 SIGLEC7 LRRC25 SLC24A4 SLC8A1 IGSF6 CLEC4A CCR1 RNASE6 CD86 CD14 SLC15A3 CHST15 CD1D MPEG1 SULF2 MS4A14 SLC7A7
"mitotic cell cycle - DNA replication (M4.4)"	0.00631313131313131	0.0170103815937149	0.749392188746538	1.71174200002005	4	28	KIF15 OIP5 MCM10 EXO1 CDC45 TPX2 PLK4 CDC6 MCM6 CDT1 MCM5 C1orf112 POLA2 PRIM1 MCM7 MCM2 CDC7 MND1 PCNA
"mitotic cell cycle in stimulated CD4 T cells (M4.5)"	0.00127064803049555	0.00548394391677974	0.832121873900337	1.90916788250201	0	31	RRM2 NDC80 CXCR6 TACC3 CDCA5 ZEB1 MELK TYMS CDC20 NUF2 MAD2L1 CDCA7 DEPDC1B CDK1 UHRF1 CHAC2 KIF20A TOP2A CEP55 LAG3 MCM6 GRAP2 KIF11 UBE2T ZNF367 CENPM
"cell division in stimulated CD4 T cells (M4.6)"	0.0189959294436906	0.0409467812452887	0.76240025908882	1.64706994309366	13	19	CDCA2 GINS2 GINS1 CDCA7 DEPDC1B CDKN3 CEP55 ANLN HMMR UBE2T BRCA1 CENPM DSCC1 NCAPG2 BRCA2 FANCI FANCD2
"mitotic cell cycle (M4.7)"	0.00133689839572193	0.00548394391677974	0.826445334529235	1.80732690962466	0	20	PKMYT1 SHCBP1 CCNA2 EXO1 CDC25C CCNB1 CDK1 NEK2 PLK4 CCNB2 CDT1 CDC25A FOXM1 CEP152 CEP76 E2F8
"regulation of antigen presentation and immune response (M5.0)"	0.00110987791342952	0.00548394391677974	0.805328230832715	2.06223116561132	0	75	MNDA FOS LCP2 LILRB2 HCK PTPRC FGR TLR4 LAT2 FCGR1B TLR2 TLR6 CD3D HLA-DRB1 HLA-DMB HLA-DPB1 CTLA4 HLA-DRA HLA-DQA1 FCER1G LCK ZAP70 HLA-DPA1 LY96 CD3G TLR10 CD86 ITK UBASH3A CD247 HLA-DMA BTK INPP5D HLA-DQB1 HLA-DOA NFKBIA PAG1 CD3E SLA2 PTPN22 NCKAP1L GRAP2 THEMIS MEF2C CD19 PTPN6 MAP2K6 FYN VASP CD4
"T cell activation and signaling (M5.1)"	0.00131406044678055	0.00548394391677974	0.890943582429821	1.96288573527819	0	21	PTPRC TRAF3IP3 IL2RG BIN2 CD3D HLA-DRB1 HLA-DRA LCK ZAP70 CD2 CD3G IL12RB1 ITK CD247 GIMAP6 CD3E CD52
"mitotic cell division (M6)"	0.00127226463104326	0.00548394391677974	0.837015903974486	1.90809558384449	0	27	CENPA SPC24 NDC80 SPC25 BIRC5 BUB1 CDC20 NUF2 BUB1B SKA1 MAD2L1 KIF2C ERCC6L AURKB CDCA8 CENPE CENPF KIF18A ZWINT CENPM CENPN CENPH CENPI
"enriched in T cells (I) (M7.0)"	0.001194743130227	0.00548394391677974	0.782026884085996	1.91851624518743	0	50	MAL GNLY SIRPG TIGIT SAMD3 CCL5 SH2D1A CD27 KLRB1 CD3D SIT1 LCK ZAP70 NKG7 CD2 PRKCH CD3G ITK UBASH3A CD247 GZMM CD6 GIMAP6 GZMH CD3E SLA2 GPR171 CD28 GIMAP7 CD96 BCL11B NLRC3 EOMES CD7 FLT3LG
"T cell activation (I) (M7.1)"	0.00119617224880383	0.00548394391677974	0.805587053173526	1.96861034561538	0	47	CORO1A SIRPG TIGIT CCL5 CD27 CD3D SIT1 CD8B IKZF1 TXK LCK CAMK4 ZAP70 RHOH CD2 PRKCH CD3G IL12RB1 ITK CD247 IL21R CD3E CD8A SLA2 PTPN22 CD28 MS4A1 THEMIS BCL11B NLRC3 CD5 EOMES CD7
"enriched in NK cells (I) (M7.2)"	0.00120627261761158	0.00548394391677974	0.772645893316673	1.85204460739837	0	40	HOPX GNLY IL18RAP FCGR3B CST7 SAMD3 CLIC3 CCL5 KLRD1 KLRB1 IL2RB ZAP70 TBX21 NKG7 PRKCH SH2D2A ITK CD247 CTSW GZMM GZMH GIMAP7 CD96 NLRC3 EOMES ARL4C
"T cell activation (II) (M7.3)"	0.00128040973111396	0.00548394391677974	0.83582520597339	1.89987813889181	0	26	SIRPG TIGIT CXCR3 CCL5 CD3D PTPN7 LCK ZAP70 NKG7 CD3G IL12RB1 ITK CD247 CD3E SLA2 GPR171 SP140 IL18R1 NLRC3 CCR5 SLAMF1
"enriched in monocytes (II) (M11.0)"	0.00101214574898785	0.00548394391677974	0.799203953482031	2.17617730126871	0	173	TREM1 C5AR1 SLC11A1 LILRA2 S100A12 CLEC4E NCF1 AQP9 GLT1D1 MNDA FPR1 SIRPB1 CSF3R TLR8 PLAUR LILRA6 FPR2 NLRP12 LILRA1 VNN2 PILRA NLRP3 LILRB3 ITGAM NRGN ITGAX LILRB2 NFE2 FCGR2A LST1 HCK FGR SPI1 PADI2 TLR4 TBXAS1 CFP LAT2 TYROBP LILRA5 HSPA6 AOAH SERPINA1 NCF2 SIGLEC7 CD93 S100A8 FCGR1B AIF1 SLC31A2 FGL2 P2RY13 SIGLEC9 RBP7 TLR2 ALOX5 CPPED1 EPB41L3 PRAM1 S100A9 IGSF6 CLEC4A GCA BST1 PLXDC2 CCR1 CRISPLD2 FCER1G NOD2 CSTA MEGF9 TYMP SIRPA CD86 BTK CD302 IFI30 CD14 SLC15A3 FCGR1A PTAFR LY86 FES RAB32 HPSE CEBPD MS4A6A CHST15 CEBPA VNN3 CD1D CYBB MPEG1 FCGRT
"blood coagulation (M11.1)"	0.00131406044678055	0.00548394391677974	0.836284346288538	1.84246303171	0	21	TREM1 PLAUR ITGAM ITGAX F5 PECAM1 P2RX1 SERPINA1 FCER1G SIRPA
"TLR and inflammatory signaling (M16)"	0.00121212121212121	0.00548394391677974	0.88644755263179	2.12772682512433	0	41	C5AR1 AQP9 DYSF FPR1 CSF3R TLR8 LILRA6 FPR2 CXCR2 PILRA LILRB3 ITGAX LILRB2 NFE2 NCF4 FGR TLR4 TYROBP HSPA6 FCGR1B P2RY13 SIGLEC9 TLR2 ALOX5 MGAM TLR6 BST1 LY96
"mismatch repair (I) (M22.0)"	0.0229007633587786	0.0472632775702452	0.694072447602257	1.58223585220953	17	27	EXO1 BUB1 CHEK1 MCM6 FIGNL1 ZWINT RACGAP1 PRIM1 NCAPG2 RFC3 SMC2 TMPO PCNA RFC4 RFC2 GMNN SMC1A
"platelet activation (I) (M32.0)"	0.049934296977661	0.0913891850345871	0.695478148541291	1.53224532270192	37	21	CORO1A TGFB1 ACAP1 FLNA TLN1 GNAI2 ZYX
"CORO1A-DEF6 network (I) (M32.2)"	0.046875	0.0874399038461539	0.733587552528266	1.53294068787895	32	16	CORO1A TGFB1 ACAP1 SIPA1 CBX4 DEF6
