pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"integrin cell surface interactions (I) (M1.0)"	0.004149377593361	0.0100817627494457	-0.709479152736105	-2.16931028805979	0	26	COL1A2 COL3A1 FN1 COL1A1 COL6A2 MYL9 COL6A3 COL5A2 COL5A1 TNC
"extracellular matrix (I) (M2.0)"	0.004149377593361	0.0100817627494457	-0.73741759052347	-2.25473512442139	0	26	COL1A2 COL3A1 COL1A1 COL6A2 AEBP1 COL6A3 MMP2 COL5A2 NID2 COL5A1 THBS2 SPP1 FSTL1 PCOLCE
"regulation of signal transduction (M3)"	0.00120048019207683	0.00417527548209366	0.713584710627565	1.82592301516819	0	43	C5AR1 BMP2 S100A12 FPR1 KIF26A TLR2 HMOX1 IL1RN NOD2 CCR1 HPSE GAB1 ECM1 JUP ADAP2 SYK CSF1R SULF2 FGD4 CD3E TIMP2 LYN CDK14 SOX7 BCL6 FOXO1 UBASH3A
"cell cycle and transcription (M4.0)"	0.00100401606425703	0.00417527548209366	0.759328595807222	2.24283188509798	0	304	C5AR1 NCF1 SLC11A1 PLAUR CLEC4E S100A12 ITGAX GLT1D1 TBXAS1 LST1 LILRA2 HCK TYROBP LILRA6 SPI1 PILRA TLR8 TLR4 AOAH LILRB2 CFP SLC31A2 ESPL1 CSF3R LILRA1 MNDA FPR1 LILRB3 SIGLEC7 E2F2 AIF1 NCF2 FGL2 FGR CKAP2L LMNB1 EPB41L3 TLR2 FCGR1B HMOX1 CPPED1 HSPA6 IGSF6 APOBEC3A NLRP12 IL1RN SIRPB2 LRRC25 CLEC4A NEIL3 S100A9 CENPA CD93 CDCA2 FCGR2A GPSM2 GCA ALOX5 NCAPG SERPINA1 KIF14 MCM10 EXO1 RRM2 SIRPA ARHGAP11A GGH DEPDC1 CD86 FCER1G ASF1B CD302 TACC3 ASPM CCNA2 DTL CSTA KIF15 NDC80 NOD2 SPC24 CD14 SPC25 SHCBP1 MELK KIF23 BUB1B OIP5 CCR1 TYMP CCNF KIFC1 IFI30 SLC15A3 UHRF1 TTK FCGR1A DIAPH3 PTAFR CDCA5 MPEG1 BUB1 DLGAP5 MYBL2 CDC6 C1orf112 CCNE2 NCAPH BIRC5 HPSE GINS2 SKA1 CHST15 TCF19 CDC25C NUF2 TYMS CEBPD ERCC6L CDCA7 PBK MS4A6A DNA2 CENPE KIF18A SKA3 NUSAP1 CEP55 CDC20 TPX2 RAD51AP1 MCM6 CKS2 ANLN CDKN3 CDC45 HJURP KIF20A CHEK1 FES CEBPA AURKB CYBB CPVL TOP2A KIF2C LY86 KIF20B KIF18B MAD2L1 PLK4 UBE2S CDC25A CCNB1 FAM72A CENPW CDCA8 CCNB2 WDR76 PRC1 CENPF FCGRT ZNF367 KIF11 DEPDC1B CHAC2 CENPN GINS1 ATAD2 MKI67 AURKA GINS4 NPL STMN1 BRCA1 CLEC7A SYK PRIM1 PLBD1 CSF1R HMMR CDK1 STAB1 SLC7A7 RTN1 VCAN UBE2C MCM5 DMXL2
"cell cycle (I) (M4.1)"	0.00104166666666667	0.00417527548209366	0.740918450068017	2.12660386347761	0	138	ESPL1 E2F2 CENPA CDCA2 GPSM2 NCAPG MCM10 EXO1 RRM2 TACC3 ASPM CCNA2 DTL KIF15 NDC80 SPC24 SPC25 MELK KIF23 BUB1B OIP5 CCNF KIFC1 UHRF1 TTK CDCA5 BUB1 DLGAP5 MYBL2 CDC6 CCNE2 NCAPH BIRC5 GINS2 SKA1 CDC25C NUF2 TYMS ERCC6L PBK DNA2 CENPE KIF18A SKA3 NUSAP1 CEP55 CDC20 TPX2 MCM6 CKS2 ANLN CDKN3 CDC45 HJURP KIF20A CHEK1 AURKB TOP2A KIF2C KIF20B KIF18B MAD2L1 PLK4 UBE2S CDC25A CCNB1 CENPW CDCA8 CCNB2 PRC1 CENPF KIF11 CENPN GINS1 MKI67 AURKA GINS4 STMN1 BRCA1 PRIM1 CDK1 UBE2C MCM5 FOXM1 RACGAP1 SMC2 E2F8 BRIP1 NEK2 RFC3 NCAPG2 SPAG5 RAD51 CDC7 SMC4 E2F7 FBXO5 CDT1 MND1 MCM2 DHFR FAM83D CENPH ECT2 CHAF1B CENPI POLA2 CENPM DSCC1 GMNN MCM4 PTTG1 RAD54L
"PLK1 signaling events (M4.2)"	0.00125156445556946	0.00417527548209366	0.845580833312159	2.08464899442156	0	32	CLSPN ESPL1 CKAP2L NCAPG KIF14 ASF1B ASPM NDC80 SPC25 KIF23 BUB1B BUB1 MYBL2 GINS2 CDC25C ERCC6L CENPE NUSAP1 CEP55 CDC20 TPX2 RAD51AP1 HJURP KIF20A PRC1 AURKA
"myeloid cell enriched receptors and transporters (M4.3)"	0.00128700128700129	0.00417527548209366	0.802221844972945	1.93817895486295	0	28	TLR8 LILRA1 SIGLEC7 SLC24A4 IGSF6 LRRC25 SLC8A1 CLEC4A RNASE6 CD86 CD14 CCR1 SLC15A3 MPEG1 CHST15 MS4A14 SLC7A7 SULF2
"mitotic cell cycle - DNA replication (M4.4)"	0.00386100386100386	0.0100817627494457	0.706582996198765	1.70711418752582	2	28	MCM10 EXO1 KIF15 OIP5 CDC6 C1orf112 TPX2 MCM6 CDC45 PLK4 PRIM1 MCM5 MCM7 CDC7 CDT1 MND1 MCM2 POLA2 MCM4
"mitotic cell cycle in stimulated CD4 T cells (M4.5)"	0.00125786163522013	0.00417527548209366	0.772609940690421	1.90064935785079	0	31	ZEB1 RRM2 TACC3 NDC80 MELK UHRF1 CDCA5 NUF2 TYMS CDCA7 CEP55 CDC20 MCM6 KIF20A TOP2A MAD2L1 ZNF367 KIF11 DEPDC1B CHAC2 CDK1 CXCR6 UBE2T LAG3 RNF144A FBXO5 GRAP2 CENPM
"cell division in stimulated CD4 T cells (M4.6)"	0.00682128240109141	0.0157539141168063	0.71568121291276	1.6203331770487	4	19	CDCA2 GINS2 CDCA7 CEP55 ANLN CDKN3 DEPDC1B GINS1 BRCA1 HMMR UBE2T NCAPG2 BRCA2 CENPM DSCC1 FANCI
