pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"Costimulation by the CD28 family"	0.00403225806451613	0.0296077788703157	0.625038607327703	2.45970125377118	0	63	PDCD1 HLA-DRB5 CD3D CD247 HLA-DQA2 HLA-DRB1 LCK CTLA4 CD3G ICOS GRAP2 HLA-DRA CD3E HLA-DQB2 HLA-DPB1 CD274 TRIB3 PRR5 TNFRSF14 HLA-DQA1 CD28 HLA-DPA1 HLA-DQB1
"MHC class II antigen presentation"	0.00471698113207547	0.0296077788703157	0.379626513238761	1.62527315559921	0	100	LAG3 HLA-DRB5 HLA-DQA2 HLA-DRB1 HLA-DMB HLA-DRA HLA-DQB2 HLA-DPB1 HLA-DMA CTSF KIF2C HLA-DOA KIF23 KIF15 ACTR1B KIF4A HLA-DQA1 KIF22 KIF5C DCTN3 HLA-DPA1 HLA-DQB1 HLA-DOB KIF20A CD74
"TCR signaling"	0.00512820512820513	0.0296077788703157	0.500622434470525	2.15983227541854	0	110	HLA-DRB5 CD3D CD247 HLA-DQA2 HLA-DRB1 PSMB9 ZAP70 LCK CD3G RPS27A ITK PSMB8 GRAP2 HLA-DRA CD3E SEM1 CARD11 HLA-DQB2 PRKCQ LAT HLA-DPB1 PSMB4 PSME2 PSMB10 EVL PSMA7 PSME1 PSMC3 HLA-DQA1 PSMB6 HLA-DPA1 HLA-DQB1 PSMD4 PSMA5 UBA52 PSMC5 PSMB1 PSMA2 PSMD13 PSMA3 IKBKG PSMD9
"Signaling by the B Cell Receptor (BCR)"	0.00515463917525773	0.0296077788703157	0.407962537473372	1.75788553598477	0	109	IGKC IGHM PSMB9 CD79A RPS27A PSMB8 SEM1 CARD11 PSMB4 PSME2 PSMB10 PSMA7 PSME1 PSMC3 HRAS PSMB6 BLK PSMD4 PSMA5 TRPC1 UBA52 PSMC5 PSMB1 PSMA2 PSMD13 PSMA3 IKBKG PSMD9 PSMB5 PSMA4 NFKBIE
"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell"	0.00886075949367089	0.036900871459695	-0.435549522871478	-1.54137790924913	6	95	TREM1 LILRA2 LILRA6 ICAM3 PILRA LILRA1 LILRB3 CD300LB SIGLEC10 LILRB2 SELL SIGLEC9 LILRA5 ICAM1 SIGLEC7 CD200R1 CD300A CD200 ITGB2 NCR3LG1 CD34 JAML TYROBP LILRB5 ITGB1
"Regulation of Apoptosis"	0.00366300366300366	0.0296077788703157	0.581517626656713	2.22341712281434	0	51	PSMB9 RPS27A PSMB8 SEM1 PSMB4 PSME2 PSMB10 PSMA7 PSME1 PSMC3 PSMB6 PSMD4 PSMA5 UBA52 PSMC5 PSMB1 PSMA2 PSMD13 PSMA3 PSMD9 PSMB5 PSMA4 PSMB3
"Signaling by ROBO receptors"	0.00840336134453782	0.0364541296744687	0.517497773192208	2.44462119424809	0	202	RPS21 RPS12 RPL39 RPS19 PSMB9 RPS18 RPL37A RPS27A RPL22L1 PSMB8 RPS28 SEM1 RPL34 RPL31 RPS9 RPL37 RPL39L RPL10A RPL7A RPS16 RPS5 RPS29 PSMB4 RPS7 RPS15 RPL13 RPS3 RPS17 RBX1 RPL13A RPL18 RPL9 PSME2 RPS8 RPSA RPL3 ROBO3 RPL7 PSMB10 RPL10 EVL RPL26 PSMA7 RPS2 PSME1 FAU RPS23 PSMC3 RPL19 RPL26L1 PSMB6 RPL21 RPS11 RPL6 PSMD4 RPL29 RPL15 RPS13 RPLP2 RPL35A RPS20 RPL36 PSMA5 PAK6 UBA52 PSMC5 RPL27 PSMB1 RPL32 PSMA2 PSMD13 RPL18A RPL22 PSMA3 RPL24 RPS14 PSMD9 AKAP5 RPS4X RPLP0 RPL8 RPL38 RPL30 PSMB5 RPS27 PSMA4
"Resolution of Abasic Sites (AP sites)"	0.00341296928327645	0.0296077788703157	0.569294744706256	1.96848026303083	0	37	POLE4 NTHL1 POLD4 SMUG1 POLD1 MPG PNKP NEIL1 RPA3 UNG RFC4 OGG1 MUTYH LIG1 FEN1 PCNA RFC2 POLE
"G1/S DNA Damage Checkpoints"	0.00409836065573771	0.0296077788703157	0.546216587549164	2.15096824743286	0	65	PSMB9 CCNA1 RPS27A PSMB8 SEM1 PSMB4 PSME2 PSMB10 PSMA7 PSME1 PSMC3 PSMB6 PSMD4 PSMA5 CHEK2 UBA52 PSMC5 CCNA2 PSMB1 PSMA2 PSMD13 PSMA3 PSMD9 CHEK1 PSMB5 PCBP4 PSMA4 TP53 PSMB3
"Mitotic Spindle Checkpoint"	0.00515463917525773	0.0296077788703157	0.442791580043543	1.90511276448606	0	108	ANAPC11 BIRC5 SPC24 CDC20 SPC25 CENPM CENPA AURKB MAD2L1 MAD1L1 NUF2 NDC80 ZWINT KIF2C SKA1 CENPI BUB1 CDCA8 CENPK RANGAP1 B9D2 ERCC6L CENPF CENPH UBE2C ANAPC2 NUP85 NUP37 CENPT RPS27 PLK1 DSN1 ANAPC15 DYNLL2 ANAPC16
