pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"Costimulation by the CD28 family"	0.00347222222222222	0.0236681222707424	0.599737353609838	2.37328025469062	0	63	HLA-DQA2 HLA-DRB5 PDCD1 CD3D CD247 HLA-DRB1 LCK CTLA4 CD3G GRAP2 HLA-DRA ICOS CD3E HLA-DPB1 HLA-DQB2 CD274 TRIB3 PRR5 TNFRSF14 HLA-DQB1 HLA-DPA1 HLA-DQA1
"MHC class II antigen presentation"	0.004	0.0236681222707424	0.376917135228911	1.6337783666918	0	100	HLA-DQA2 HLA-DRB5 LAG3 HLA-DRB1 HLA-DMB HLA-DRA HLA-DPB1 HLA-DQB2 KIF2C HLA-DMA CTSF HLA-DOA KIF15 KIF4A ACTR1B KIF23 DCTN3 KIF22 HLA-DOB KIF20A HLA-DQB1 KIF5C HLA-DPA1 HLA-DQA1 CD74 KLC4 RILP AP2S1 DNM1 AP1M1 KIF11
"TCR signaling"	0.00413223140495868	0.0236681222707424	0.534576572263006	2.35297255651731	0	110	HLA-DQA2 HLA-DRB5 CD3D CD247 ZAP70 HLA-DRB1 PSMB9 LCK CD3G RPS27A ITK GRAP2 PSMB8 HLA-DRA SEM1 CD3E CARD11 PRKCQ LAT HLA-DPB1 PSMB4 HLA-DQB2 PSME2 PSMB10 PSMA7 EVL PSMC3 PSME1 PSMB6 PSMD4 HLA-DQB1 HLA-DPA1 HLA-DQA1 PSMA5 UBA52 PSMC5 IKBKG PSMB1 PSMD13 PSMA2 PSMD9 PSMA3
"Signaling by the B Cell Receptor (BCR)"	0.00418410041841004	0.0236681222707424	0.422380699236203	1.84723668324208	0	109	IGHM IGKC PSMB9 RPS27A PSMB8 CD79A SEM1 CARD11 PSMB4 PSME2 PSMB10 PSMA7 PSMC3 PSME1 HRAS PSMB6 PSMD4 PSMA5 UBA52 BLK PSMC5 IKBKG PSMB1 PSMD13 PSMA2 NFKBIE PSMD9 PSMA3 TRPC1 PSMB5 PSMA4
"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell"	0.00390625	0.0236681222707424	0.355114118994811	1.54443990310177	0	95	IGKC KLRB1 CD3D CD247 CD8B HLA-G CD8A KLRD1 CD3G NCR3 HLA-F SH2D1A CRTAM CD40 CD3E SLAMF6 CD1D KLRG1 CD160 CD96 ICAM5 IFITM1 HLA-B HLA-A HLA-E
"Class I MHC mediated antigen processing & presentation"	0.0476190476190476	0.131681243926142	0.223619600415365	1.14905133233612	4	349	PSMB9 SOCS1 ANAPC11 HLA-G ASB2 HLA-F RPS27A FBXW12 PSMB8 CDC20 SEM1 TAP1 PSMB4 FBXL15 TRAIP RBX1 FBXO6 PSME2 LRR1 PSMB10 PSMA7 BLMH RNF7 SPSB2 FBXW9 FBXO2 PSMC3 PSME1 FBXW4 GLMN PSMB6 FBXO27 FBXO41 PSMD4 FBXL8 CD207 HLA-B HLA-A TRIM69 UBE2C HLA-E UBE2L6 FBXO17 CCNF FBXL14 PSMA5 UBA52 HLA-C THOP1 UBA7 STUB1 PSMC5 IKBKG PSMB1 PSMD13 PSMA2 KEAP1 ANAPC2 PSMD9 RBCK1 PSMA3 FBXL16 SEC61B BTBD6 RNF114 PSMB5 VAMP8 PSMA4 B2M UBE2E3 MIB2 FBXL19 PSMB3 FBXW5 KLHL22 STX4
"Regulation of Apoptosis"	0.00327868852459016	0.0236681222707424	0.589023633771066	2.23763413315663	0	51	PSMB9 RPS27A PSMB8 SEM1 PSMB4 PSME2 PSMB10 PSMA7 PSMC3 PSME1 PSMB6 PSMD4 PSMA5 UBA52 PSMC5 PSMB1 PSMD13 PSMA2 PSMD9 PSMA3 PSMB5 PSMA4 PSMB3
"Signaling by ROBO receptors"	0.00584795321637427	0.0264441842310695	0.520940594607798	2.51078963355213	0	202	RPS21 RPS12 RPL39 RPS19 PSMB9 RPS18 RPL37A RPS27A RPL22L1 PSMB8 RPS28 SEM1 RPL34 RPL31 RPS9 RPL37 RPL39L RPL10A RPL7A RPS16 RPS5 RPS29 PSMB4 RPS7 RPS15 RPL13 RPS3 RPS17 RBX1 RPL18 RPL13A RPL9 ROBO3 RPS8 PSME2 RPSA RPL3 RPL7 RPL10 PSMB10 PSMA7 RPL26 RPS2 EVL FAU PSMC3 PSME1 RPL19 RPS23 RPL26L1 PSMB6 RPS11 RPL6 RPL21 PSMD4 RPL29 RPL15 RPLP2 RPS13 RPL35A RPS20 RPL36 PAK6 PSMA5 UBA52 RPL27 PSMC5 RPL18A PSMB1 PSMD13 RPL32 PSMA2 RPL22 PSMD9 RPL24 AKAP5 PSMA3 RPS14 RPLP0 RPL8 PSMB5 RPL38 RPL30 RPS27 PSMA4
"Resolution of Abasic Sites (AP sites)"	0.00294117647058824	0.0236681222707424	0.572919721199832	2.00602406148928	0	37	POLE4 NTHL1 POLD4 SMUG1 POLD1 MPG PNKP NEIL1 UNG RPA3 OGG1 MUTYH RFC4 LIG1 FEN1 PCNA RFC2 POLE
"Phase 0 - rapid depolarisation"	0.0363036303630363	0.11054251492565	-0.537531646839791	-1.53804917372579	21	24	CACNA1C CACNG6 SCN1B SCN3B FGF12 FGF13 CACNA1F CACNB1 CACNB4 SCN4B CALM1 CACNA1D FGF11 SCN9A
"G1/S DNA Damage Checkpoints"	0.00354609929078014	0.0236681222707424	0.545021013346204	2.16573074894111	0	65	PSMB9 CCNA1 RPS27A PSMB8 SEM1 PSMB4 PSME2 PSMB10 PSMA7 PSMC3 PSME1 PSMB6 PSMD4 CCNA2 PSMA5 UBA52 PSMC5 CHEK2 PSMB1 PSMD13 PSMA2 PSMD9 PSMA3 CHEK1 PSMB5 PCBP4 PSMA4 PSMB3 TP53
"Mitotic Spindle Checkpoint"	0.00418410041841004	0.0236681222707424	0.457381195207461	2.0024001538388	0	108	ANAPC11 BIRC5 SPC24 SPC25 CDC20 CENPA CENPM AURKB MAD1L1 MAD2L1 NUF2 NDC80 ZWINT KIF2C SKA1 CDCA8 CENPI BUB1 RANGAP1 CENPK B9D2 ERCC6L UBE2C CENPF ANAPC2 CENPH NUP85 NUP37 PLK1 CENPT DSN1 RPS27 ANAPC15 ANAPC16 DYNLL2 CENPU CENPE BUB1B
"G2/M Checkpoints"	0.00436681222707424	0.0236681222707424	0.517107903390346	2.35260638023994	0	129	PSMB9 RPS27A RMI2 CDK1 PKMYT1 CDC25C PSMB8 GTSE1 SEM1 CCNB1 PSMB4 BABAM1 CCNB2 PSME2 PSMB10 PSMA7 PSMC3 PSME1 PSMB6 PSMD4 SFN RPA3 ORC6 PSMA5 UBA52 PSMC5 CHEK2 PSMB1 MCM5 PSMD13 PSMA2 MCM7 CDC45 PSMD9 PSMA3 CHEK1 RFC4 MCM2 DNA2 PSMB5 BRIP1 PSMA4
"Regulation of mitotic cell cycle"	0.00374531835205993	0.0236681222707424	0.600491253607521	2.52637144500189	0	84	PSMB9 ANAPC11 CCNA1 RPS27A CDK1 PSMB8 CDC20 SEM1 AURKB CCNB1 NEK2 MAD2L1 PSMB4 PTTG1 PSME2 PSMB10 PSMA7 PSMC3 PSME1 PSMB6 PSMD4 CCNA2 UBE2C PSMA5 UBA52 AURKA PSMC5 PSMB1 PSMD13 PSMA2 ANAPC2 PSMD9 PSMA3 PLK1 PSMB5 PSMA4 ANAPC15 PSMB3 ANAPC16
"Mitotic G1-G1/S phases"	0.00469483568075117	0.0243486073674753	0.446289848589812	2.05688388301797	0	147	PSMB9 TK1 CCNA1 RPS27A CDK1 POLE4 PSMB8 SEM1 CCNB1 CDT1 CCND2 PSMB4 TYMS POLA2 PSME2 PSMB10 PSMA7 CDK4 PSMC3 PSME1 PSMB6 LIN37 PSMD4 CCNA2 TOP2A RRM2 RPA3 ORC6 PSMA5 UBA52 CKS1B PSMC5 PSMB1 MCM5 PSMD13 PSMA2 MCM7 CDC45 PSMD9 PSMA3 MYBL2 MCM2 PSMB5 PSMA4
"S Phase"	0.00531914893617021	0.0264441842310695	0.454453467969882	2.10136599124519	0	159	PSMB9 ANAPC11 CCNA1 RPS27A POLE4 PSMB8 SEM1 GINS1 CDT1 PSMB4 CDCA5 RBX1 POLA2 POLD4 PSME2 GINS2 PSMB10 PSMA7 CDK4 PSMC3 PSME1 POLD1 PSMB6 LIN37 PSMD4 CCNA2 ESCO2 UBE2C RPA3 ORC6 PSMA5 UBA52 CKS1B PSMC5 PSMB1 MCM5 PSMD13 PSMA2 MCM7 CDC45 ANAPC2 PSMD9 PSMA3 RFC4 MCM2 DNA2 LIG1 PSMB5 PSMA4 ANAPC15 PSMB3 ANAPC16 FEN1 PCNA
"Mitotic G2-G2/M phases"	0.00555555555555556	0.0264441842310695	0.412731190641184	1.94943436041647	0	180	PSMB9 CCNA1 RPS27A CDK1 PKMYT1 CDC25C PSMB8 GTSE1 SEM1 CCNB1 NEK2 SSNA1 PSMB4 RBX1 MZT2A CCNB2 PSME2 CEP131 PSMB10 PSMA7 CEP72 MZT2B PSMC3 PSME1 PSMB6 DCTN3 LIN37 PSMD4 CCNA2 CENPF AJUBA NINL HMMR PSMA5 UBA52 AURKA PLK4 PSMC5 PSMB1 PSMD13 PSMA2 FKBPL PSMD9 HAUS5 PSMA3 CEP250 MZT1 MYBL2 PLK1 HAUS4 PSMB5 SFI1 PSMA4 HAUS1 TUBGCP6 TPX2 PSMB3 TP53 OPTN
"M Phase"	0.00884955752212389	0.0347569578042837	0.365149744321562	1.85401976578427	0	312	PSMB9 ANAPC11 BIRC5 RPS27A CDK1 SPC24 SPC25 PSMB8 CDC20 CENPA SEM1 CENPM AURKB CCNB1 NEK2 SSNA1 MAD1L1 MAD2L1 NUF2 PSMB4 NDC80 CDCA5 ZWINT PTTG1 KIF2C MZT2A SKA1 CCNB2 PSME2 NCAPG CEP131 PSMB10 PSMA7 CEP72 NCAPH KIF23 CDCA8 CENPI BANF1 BUB1 RANGAP1 MZT2B PSMC3 PSME1 CENPK B9D2 PSMB6 DCTN3 PSMD4 ERCC6L KIF20A UBE2C CENPF NCAPH2 NINL PSMA5 UBA52 PLK4 PSMC5 LMNA PSMB1 PSMD13 PSMA2 ANAPC2 PSMD9 CENPH NUP85 HAUS5 PSMA3 CEP250 MZT1 NUP37 NUP210 PLK1 CENPT HAUS4 PSMB5 DSN1 SFI1 RPS27 PSMA4 HAUS1 TUBGCP6 ANAPC15 PSMB3 ANAPC16 DYNLL2
"Cell-cell junction organization"	0.0400593471810089	0.116732076194123	-0.462306132670647	-1.49473136939072	26	42	CDH11 CDH5 SDK2 CLDN10 AFDN CLDN16 CDH8 CDH1 CLDN8 CLDN9 PARD3 JUP PRKCI CDH13 CLDN1 PARD6B CTNND1 NECTIN1
"Cellular response to hypoxia"	0.00350877192982456	0.0236681222707424	0.458079902368137	1.86140464948177	0	71	PSMB9 RPS27A PSMB8 SEM1 PSMB4 RBX1 PSME2 PSMB10 PSMA7 EGLN2 PSMC3 PSME1 PSMB6 PSMD4 AJUBA PSMA5 UBA52 PSMC5 PSMB1 PSMD13 PSMA2 PSMD9 PSMA3 PSMB5 PSMA4 EPAS1 PSMB3
"Nucleosome assembly"	0.00256410256410256	0.0236681222707424	0.58446093286835	1.89868312322029	0	26	CENPW CENPA CENPM OIP5 CENPI HJURP CENPK CENPH CENPT MIS18A CENPU
"Telomere Maintenance"	0.00591715976331361	0.0264441842310695	0.525549222757957	1.80751733851252	1	35	POLE4 POLA2 POLD4 POLD1 RPA3 ACD RFC4 DNA2 LIG1 RUVBL2 FEN1 PCNA WRAP53 PRIM2 RFC2 POLE
"Assembly of collagen fibrils and other multimeric structures"	0.00145560407569141	0.0236681222707424	-0.638968332978071	-2.13529479826474	0	50	MMP9 COL1A2 MMP7 COL6A3 CTSV COL3A1 COL4A1 COL6A2 COL4A2 MMP13 COL6A6 COL1A1 LAMA3 DST PXDN COL5A2 LAMB3 LAMC2
