pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"Costimulation by the CD28 family"	0.00125156445556946	0.0204066265060241	0.649165217596358	1.85110058627672	0	63	HLA-DQA2 CD86 CD80 PTPN6 CD274 CTLA4 CD247 LYN CD3G GRAP2 HLA-DPB1 CD4 RICTOR VAV1 LCK MAP3K8 GRB2 ICOS CD3E PAK2 HLA-DQA1 CD28 SRC CSK MAP3K14 HLA-DQB1 HLA-DPA1 HLA-DRA PDCD1 TNFRSF14 HLA-DRB5 CD3D RAC1
"MHC class II antigen presentation"	0.0116414435389988	0.101768748357054	0.515960114684091	1.56779708809832	9	100	IFI30 HLA-DQA2 KLC3 CTSS HLA-DPB1 LGMN AP1S2 HLA-DOA HLA-DOB CTSL KIF2C KIF4A HLA-DMB KIF20A KIF15 KIF23 CENPE HLA-DQA1 RACGAP1 HLA-DQB1 CAPZB CAPZA1 HLA-DPA1 CAPZA2 HLA-DRA SEC23A CTSB SPTBN2 HLA-DRB5 CTSV KIF3C CD74 AP1M1 CTSD SEC24A DYNC1LI1 HLA-DRB1 HLA-DMA ACTR1A CTSA AP2S1 DNM2 DCTN6 AP2A1 AP1B1 KIF11 AP1G1 RAB7A AP2M1
"TCR signaling"	0.00114678899082569	0.0204066265060241	0.59865355715153	1.84355345709899	0	110	WAS LCP2 PTPRC HLA-DQA2 VASP NFKBIA PAG1 PTPN22 INPP5D CD247 ZAP70 ITK PTPRJ CD3G GRAP2 HLA-DPB1 CD4 LCK PTEN BCL10 PRKCQ UBE2D1 CD3E PAK2 HLA-DQA1 RIPK2 CSK HLA-DQB1 HLA-DPA1 IKBKG HLA-DRA HLA-DRB5 MALT1 RELA CD3D CD101 PSME3 NCK1 HLA-DRB1 PSMC6 PSMA6 PSMB9 PSMD9 TAB2 PIK3CA LAT CHUK PSMC4 PSMD4 PSMA7 UBC PSMC3 PSMD7 PSME4 PSMC1 PSMD11 CDC34
"Signaling by the B Cell Receptor (BCR)"	0.00114810562571757	0.0204066265060241	0.534896745608638	1.64492607124998	0	109	PRKCB PIK3CD PLCG2 BTK CD79A PIK3AP1 CD22 NFKBIA PTPN6 NFKBIE LYN ITPR2 SYK VAV1 BCL10 GRB2 DAPP1 BLNK REL SH3KBP1 BLK IKBKG PPP3R1 NFKBIB ORAI2 RASGRP3 MALT1 PPP3CA RASGRP1 RELA PPIA PSME3 NCK1 STIM1 PSMC6 PSMA6 PSMB9 PSMD9 IGHM CHUK IGKC PSMC4 PSMD4 PSMA7 UBC PSMC3 ITPR3 PSMD7 PSME4
"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell"	0.00117785630153121	0.0204066265060241	0.798474275171321	2.41306905345877	0	95	TREM1 LILRA2 ICAM3 LILRB3 LILRA1 SIGLEC10 LILRA5 LILRA6 LILRB2 CD300LB PILRA TYROBP CD300A SIGLEC9 JAML FCGR3A ITGB2 SELL ICAM1 OSCAR SIGLEC7 ITGAL LILRB5 LILRB1 SLAMF6 FCGR1A LAIR1 LILRB4 HCST SIGLEC1 CD22 KLRD1 TREML1 CD33 ITGA4 IFITM1 CD300C CD247 SH2D1B TREM2 CD3G CD8B FCGR2B CD8A CD300LF KLRB1 CD1D NCR3 RAET1E NECTIN2 CD226 ULBP3 MICB HLA-E CD96 SLAMF7 CD3E SH2D1A MADCAM1
"Class I MHC mediated antigen processing & presentation"	0.0142131979695431	0.113287548521947	0.402671832032866	1.34294424492686	13	349	NCF1 NCF4 SOCS3 FCGR1B TLR4 NCF2 TLR6 TLR2 CD14 FCGR1A BTK TLR1 LY96 SOCS1 RNF19B CYBB ASB2 UBE2C MRC1 CTSS MYD88 TAP1 RNF213 UBR2 CTSL ERAP2 TAP2 WSB1 UBE2D1 HLA-E LMO7 STX4 UBE2R2 CDC20 KBTBD8 FBXO32 UBE2B FBXL19 HERC5 UBE2S TAPBP MGRN1 UBA6 GAN NPEPPS IKBKG SNAP23 MYLIP TRIM39 CYBA SEC23A HERC6 SMURF1 UBE2L6 UBE2W CTSV UBE2D3 ASB6 TRIM21 ITCH HLA-F KLHL21 FBXW7 VAMP8 TRIM11 FZR1 HERC3 KLHL2 RNF111 DTX3L SEC24A LRR1 RNF19A KLHL25 FBXW5 PSME3 ZNRF2 CALR PSMC6 PSMA6 RNF34 UBE2J1 RNF130 AREL1 FBXL5 PSMB9 PSMD9 FBXO2 B2M
"Caspase activation via extrinsic apoptotic signalling pathway"	0.00914634146341463	0.085470984020185	0.709703662967243	1.68011138973116	5	23	TLR4 CD14 LY96 FASLG FAS CASP8 CFLAR TICAM1 DAPK2 TNFSF10 TNFRSF10A TRAF2 DAPK3 RIPK1
"EPH-Ephrin signaling"	0.025	0.157558139534884	0.494591753932016	1.47037429754723	20	84	ACTB MYH11 LYN TIAM1 SDCBP ARPC5 MYH9 EFNB2 ACTR3 CFL1 EPHA1 ARPC1B EPHB1 ARPC2 ACTG1 PAK2 CLTB LIMK2 SRC EFNA1 ADAM10 EPHA4 EFNA4 ARPC4 ARPC3 KALRN MMP9 EPHB3 EFNB1 ACTR2 EPHA2 RAC1 MYL12A ROCK1 MYL6 PSEN1 AP2S1 CDC42 AP2A1 NCSTN AP2M1 ARPC1A LIMK1 NCK2 CLTCL1 EPHB4 MYL12B WASL EFNA3 RHOA PAK1 YES1 HRAS EPHB2 CLTA
"Mitotic Spindle Checkpoint"	0.0275862068965517	0.16769801980198	0.465298814047865	1.43020985288337	23	108	BIRC5 CENPA UBE2C NDE1 SPC24 SPC25 AURKB SGO1 SKA1 KIF2C UBE2D1 BUB1B CDC20 CENPE NDC80 ZWINT CDCA8 NDEL1 NUF2 KNL1 AHCTF1 CENPU BUB1 CLIP1 CENPI PLK1 ERCC6L CENPF INCENP NUP98 DYNC1LI1 RANGAP1 MAPRE1 CENPO PPP2R1B SPDL1 CENPN MAD1L1
"Mitotic G1-G1/S phases"	0.0166112956810631	0.121666517015354	0.452901053521615	1.42904082528972	14	147	CDKN2D E2F2 E2F3 RRM2 MYBL2 CCNA2 LYN TK1 MCM10 CDKN2B CDC6 CDC45 ORC1 CCNB1 CCND2 POLE2 JAK2 SRC CDKN2A CDKN1B CDK2 E2F1 ORC6 CDC25A CDKN1A CCND3 MCM7 MCM5 PPP2R2A CDK1 AKT1 LIN54 TOP2A PSME3 PTK6 PSMC6 PSMA6 PPP2R1B MAX TYMS PSMB9 CKS1B PSMD9 MCM4 HDAC1 CDT1 DYRK1A FBXO5 PSMC4 PSMD4 PSMA7 UBC PSMC3 E2F4 PSMD7 LIN9 PSMC1 MYC PSMD11 PSMB2 PSMB3 PPP2CA PSMD12 PSMD5 PSMB5 RBL1 PSMB4 PSME1 CDKN1C TFDP1 MCM6 PSMB6 PSMB10 CCNH UBA52 PSMD13 PSMF1 CCNE2 AKT2 POLA2 PSMD14 CDK6 PSMD3 PSMB7
