pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"Costimulation by the CD28 family"	0.001085776330076	0.0203087529976019	-0.808532556819789	-2.0522757227101	0	63	CD80 CTLA4 CD28 ICOS PDCD1 HLA-DQA1 CD86 CD274 CD247 HLA-DPA1 HLA-DRB1 CD3E HLA-DPB1 HLA-DRA CD4 HLA-DQB1 GRAP2 CD3D HLA-DQB2 LCK PDCD1LG2 CD3G FYN HLA-DQA2 LYN HLA-DRB5
"MHC class II antigen presentation"	0.00412371134020619	0.050796626054358	-0.568711333823251	-1.51124953469674	3	100	LAG3 HLA-DQA1 HLA-DPA1 HLA-DOA HLA-DRB1 HLA-DPB1 HLA-DMB HLA-DRA HLA-DQB1 HLA-DQB2 KIF5C IFI30 HLA-DMA CD74 KIF23 HLA-DQA2 KIF20A HLA-DOB AP1S2 CENPE HLA-DRB5 AP2B1 CTSL KIF2C KIF3A CTSS
"TCR signaling"	0.00102459016393443	0.0203087529976019	-0.680596487353417	-1.81242683625332	0	110	PTPRC HLA-DQA1 LCP2 WAS CD247 HLA-DPA1 HLA-DRB1 CD3E HLA-DPB1 ZAP70 HLA-DRA CD4 HLA-DQB1 GRAP2 PTPN22 CD3D HLA-DQB2 LCK PRKCQ CD3G ITK HLA-DQA2 PSMB9 CARD11 PSME2 PTPRJ PAG1 NFKBIA HLA-DRB5 RIPK2
"Signaling by the B Cell Receptor (BCR)"	0.00102669404517454	0.0203087529976019	-0.682160990875211	-1.81676289312895	0	109	IGKC IGHM CD79A CD22 CD19 BLK PRKCB PIK3AP1 RASGRP3 BTK FYN TRPC1 DAPP1 PIK3CD NFATC2 PSMB9 LYN CARD11 PSME2 NFKBIA
"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell"	0.0010351966873706	0.0203087529976019	-0.825999770783524	-2.18872160825275	0	95	IGKC LILRA5 TREM1 LILRA2 LILRB3 LILRA1 LILRB2 LILRB1 CD22 LILRA6 FCGR3A ICAM3 FCGR1A CD300A SIGLEC9 CD19 SLAMF7 FCGR2B SIGLEC10 C3 SELL SH2D1A SIGLEC7 CRTAM SLAMF6 CD247 CD1A IFITM1 ITGB2 LILRB4 JAML KLRD1 PILRA LAIR1 CD96 TYROBP CD226 ICAM1 KLRB1 CD3E CD33 CD3D CD300LB ITGAL CD1D OSCAR KLRG1 VCAM1 CD3G NCR3 CD300C CD300LF CD8B SIGLEC1 CD8A HCST CD34 HLA-G ITGA4
"Phase I - Functionalization of compounds"	0.0212765957446809	0.169586983729662	0.381939948706408	1.48888316013934	0	84	CYP2A6 AHRR CYP2A7 CYP3A5 AADAC FMO1 CYP2W1 CYP26A1 MAOA CYP4F12 CYP39A1 CYP27A1 MAOB CYP4A11 CYP19A1 CYP2R1 CYP2S1 CYP2D6
"Phase II - Conjugation of compounds"	0.0333333333333333	0.233491866556383	0.382565947897708	1.40032694906893	1	71	SULT1E1 UGT1A8 UGT1A6 UGT1A10 UGT1A1 UGT2B7 GSTA4 GSTT2B UGT2A1 SULT2B1 GSTA1 ACSM1 GGT1 COMT GSTO2 CHAC1 ABHD14B GSTM3 OPLAH
"Mitotic Spindle Checkpoint"	0.00718685831622177	0.0779055441478439	-0.55157057216459	-1.46922386893297	6	108	CDC20 SKA1 BUB1 CENPA BUB1B ERCC6L SPC25 CENPI MAD2L1 NDC80 UBE2C CENPE BIRC5 CDCA8 KNL1 KIF2C CENPK SGO1 NUF2 CENPN SGO2 ZWINT AURKB CENPH SPC24 B9D2 ANAPC1 CENPQ CENPL KNTC1 NUDC SPDL1 NUP107 RANGAP1 NUP160 CENPF CKAP5 NDE1 ANAPC10 DYNLL1 CDC27 MAPRE1 PLK1 ZWILCH PPP2R5E KIF18A ITGB3BP CLIP1
"G2/M Checkpoints"	0.0357142857142857	0.240710584752036	-0.499523275474244	-1.34251219897136	34	129	CLSPN CDC45 EXO1 PKMYT1 PSMB9 MCM10 BLM BRIP1 PSME2 CDC6 MCM6 RAD9B ORC1 ORC6 CCNB1 BRCA1 CDC25A CDK1 GTSE1 RMI1 CDC25C MCM2 CCNB2 DNA2 NBN ATR WRN RMI2 PSMB8 RFC4 RFC3 YWHAH RPA3 PSMA5 PSMB10 MCM3 DBF4 PSME1 CHEK1 PSMA3 RFC2 PSMA4 PSMB2 CDC7 PSMD1 MCM5 HUS1 PSMD14 UBE2N PSMA7 PSMA6 PSMC3 RAD9A PSMD13 CHEK2 MRE11 SFN TP53BP1 ORC5 PSME3 ORC4 YWHAE PSMD12 PSMB5 PSMF1 UBA52 PSMB7 PSMC1 MCM7 PSMD11 MDC1
"M Phase"	0.018018018018018	0.150762484455789	-0.46752784098773	-1.29143187797293	17	312	PRKCB LMNB1 CDC20 SKA1 BUB1 NCAPG KIF23 CENPA BUB1B KIF20A PSMB9 ERCC6L NEK2 SPC25 CENPI MAD2L1 NDC80 CDCA5 PLK4 UBE2C CENPE PSME2 CEP78 BIRC5 CENPJ CEP135 OFD1 SMC1A NCAPH CDCA8 KNL1 LPIN1 KIF2C CCNB1 CENPK SGO1 NUF2 VRK1 NUP210 CENPN CNTRL CDK1 SGO2 ZWINT HAUS7 AURKB CEP41 CENPH SMC4 CCNB2 CEP72 SPC24 PCM1 ALMS1 PSMB8 CEP192 B9D2 ANAPC1 CENPQ CENPL MZT1 TUBB KNTC1 NUDC CCP110 TMPO SPDL1 HSP90AA1 CSNK2B NUP205 NUP107 CEP131 PSMA5 PSMB10 RANGAP1 NDC1 NUP160 CENPF CKAP5 NDE1 ANAPC10 DYNLL1 PSME1 CEP152 NUP50 PTTG1 SMC2 HAUS2 CDC27 TUBGCP5 NUP155 PSMA3 MAPRE1 HAUS4 PLK1 TUBB4B PSMA4 PSMB2 ZWILCH CETN2 PPP2R5E PSMD1 NCAPD3 CEP63 KIF18A ITGB3BP CLIP1 NUP58 PSMD14 HAUS6 TUBA1A MASTL CENPP CENPM PSMA7 USO1 TUBG1 PSMA6 PSMC3 AHCTF1 NEK6 NEDD1 ODF2
"Intraflagellar transport"	0.0234466588511137	0.18154412996148	-0.628589275579946	-1.50514275347245	19	37	TTC26 KIF3A TTC30A IFT22 CLUAP1 DYNLRB2 IFT81 KIF3B TCTEX1D1 IFT88 IFT43 KIF3C IFT74 DYNC2LI1 IFT57 IFT122 DYNLL1 IFT52 KIFAP3 TRAF3IP1 IFT140 WDR19 TTC30B IFT80 TTC21B IFT27 WDR35 IFT46 HSPB11
"Anchoring of the basal body to the plasma membrane"	0.0373056994818653	0.240710584752036	-0.521562158556564	-1.37907021531493	35	94	NEK2 PLK4 CEP78 CENPJ CEP135 OFD1 CC2D2A CNTRL CDK1 KIF24 TMEM67 TCTN2 NPHP1 HAUS7 SCLT1 CEP41 TCTN1 CEP72 PCM1 ALMS1 NPHP4 CEP192 B9D2 B9D1 TUBB CCP110 HSP90AA1 CEP97 CEP131 CEP83 CKAP5 NDE1 DYNLL1 CEP152 HAUS2 MKS1 MAPRE1 HAUS4 PLK1 TUBB4B CETN2 CEP63 HAUS6 TUBA1A TUBG1 NEDD1 ODF2
"Growth hormone receptor signaling"	0.00261780104712042	0.039412449098313	-0.799089495505973	-1.74992288583976	1	20	SOCS1 SOCS3 SOCS2 PRLR CISH IRS1 STAT1 JAK2 LYN
"TNFR2 non-canonical NF-kB pathway"	0.00104493207941484	0.0203087529976019	-0.635681251187566	-1.67423856340899	0	88	TNFSF13B TNFRSF9 LTA TNF LTB TNFSF14 TNFRSF1B TNFSF8 CD27 BIRC3 TNFSF9 TNFSF12 PSMB9 PSME2 TNFRSF11A TNFSF13 TNFRSF12A TNFRSF13C CD40
