pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"Costimulation by the CD28 family"	0.00380228136882129	0.0550253807106599	-0.571009892907763	-1.98487196273818	0	63	PDCD1 CTLA4 ICOS HLA-DRB1 CD3D CD28 HLA-DQB2 CD247 HLA-DQA1 HLA-DRA LCK CD80 CD3E HLA-DRB5 PDCD1LG2 HLA-DPA1 GRAP2 CD3G HLA-DQB1 CD274 HLA-DPB1
"Signaling by the B Cell Receptor (BCR)"	0.010989010989011	0.0862446958981612	-0.377385876881758	-1.45619009695949	1	109	IGKC IGHM CD79A TRPC1 CD19 BLK PSMB9 CARD11
"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell"	0.00123915737298637	0.038858617722971	0.595197210825907	1.84605656343348	0	95	TREM1 LILRA2 ICAM3 LILRA6 LILRA1 LILRB3 SIGLEC10 PILRA CD300LB LILRB2 LILRA5 SIGLEC9 SELL TYROBP LILRB5 CD300A JAML ICAM1 ITGB2 SIGLEC7 FCGR3A OSCAR ITGAL TREML1 SH2D1B RAET1E ITGA4 ULBP3 MADCAM1 HCST COLEC12 NECTIN2 LILRB4 CD300C LILRB1 SIGLEC1 TREM2 FCGR1A CD33
"EPH-Ephrin signaling"	0.0089974293059126	0.0761969794344473	0.506676460224206	1.53766893619729	6	84	EFNB2 TIAM1 EPHA4 ACTB MYH11 SDCBP MMP9 LYN EPHA1 CLTB ADAM10 MMP2 ARPC5 MYH9 PAK2 ACTR3 CFL1 EFNA3 ARPC2 EPHB3 EPHB6 EFNA1 NCK2 SRC PSEN1 EPHB1 EPHA2 NCSTN EFNA4 EFNB1 VAV3 ACTR2 RAC1 ARPC3 KALRN WASL MYL12A ROCK1 AP2A1
"Detoxification of Reactive Oxygen Species"	0.00750750750750751	0.0674185255825525	0.648527107845158	1.69748921129213	4	34	NCF1 NCF4 NCF2 SOD2 NOX5 ERO1A
"Cellular Senescence"	0.00362756952841596	0.0550253807106599	0.507447709372857	1.62636830215043	2	125	CXCL8 FOS IL1A KDM6B CEBPB E2F2 CDKN2D LMNB1 E2F3 CDKN2B MAP4K4 PHC2 AGO4 ERF UBE2D1 MAPKAPK2 ETS2 STAT3 CDKN2A HMGA1 MAP2K3 UBN1 MAP2K4 MAPK3 MAP2K7 RELA MAPK14 MAPK1 CDKN1B TNRC6B CDK2 RPS6KA1 MINK1 CDKN2C EZH2 E2F1 MAPKAPK3 SP1
"Intraflagellar transport"	0.00308641975308642	0.0550253807106599	-0.647800598205859	-2.05940114447727	0	37	DYNLRB2 TTC26 DYNC2H1 TTC30A IFT140 KIF17 IFT172 KIF3A TCTEX1D1 TTC21B IFT22 DYNLL2 IFT43 WDR19 CLUAP1 IFT81 DYNC2LI1 IFT27 IFT80 IFT57 TRAF3IP1 IFT52 WDR35 IFT122 KIF3B TTC30B KIFAP3 HSPB11 IFT46 IFT74 IFT88 DYNLL1 IFT20
"Anchoring of the basal body to the plasma membrane"	0.0050251256281407	0.0550253807106599	-0.444696215107128	-1.66937600991936	0	94	NEK2 OFD1 CEP78 NPHP1 B9D2 CENPJ CEP41 CNTRL TMEM67 CC2D2A PLK4 TCTN1 KIF24 MKS1 CEP131 NPHP4 CCP110 B9D1 CEP83 CDK1 IQCB1 PCM1 RPGRIP1L CEP192 TCTN3 TCTN2 FBF1 CEP290 TUBB4B CKAP5 CEP250 HAUS1 CEP97 CEP135 CEP152 ODF2 TTBK2 PCNT ALMS1 CEP72 HAUS7 CEP164
"Interferon Signaling"	0.0283687943262411	0.164741641337386	-0.31201453513869	-1.27805592006875	3	175	ISG15 IFI6 SOCS1 RSAD2 BST2 IFIT2 IFIT1 GBP4 HLA-DRB1 IFIT3 HLA-DQB2 GBP1 IFI27 USP18 IFI35 HLA-G HLA-DQA1 HLA-DRA MT2A HLA-DRB5 CIITA HERC5 HLA-DPA1 TRIM31 SAMHD1 MX1 STAT1 VCAM1 GBP3 HLA-DQB1 OASL HLA-DPB1 NUP210 DDX58 HLA-F TRIM45 PSMB8
"Signaling by Interleukins"	0.00105708245243129	0.038858617722971	0.550630368824592	1.94585184901399	0	386	CSF3R OSM CXCL8 FPR1 IL1R2 IL18RAP ITGAM FOS ITGAX PTGS2 IL1B CSF2RB IL1A HCK F13A1 TNFRSF1B LCP1 CCR1 SOCS3 ALOX5 JUNB IL6R ICAM1 ITGB2 NOD2 JAK3 PIK3CD S100A12 ZEB1 IL1RN GAB2 IL1RAP SERPINB2 IL17RA SOD2 TGFB1 IL16 S1PR1 HGF LMNB1 IL23A STAT5B IL2RG MSN CBL COL1A2 NFKBIA VEGFA SOCS2 ANXA1 IL1RL2 MAP3K3 AGER OSMR CEBPD HIF1A CNN2 PTPN12 PELI1 MCL1 PTAFR INPP5D NFKB2 CXCL2 VIM BCL6 CSF1R IL4R MEF2C CRLF1 GATA3 STX3 IRAK2 PTPN6 TNFRSF1A MAP3K8 SDC1 CD86 BLNK MMP9 S100B PELI2 LYN IL10RA SYK MYD88 MAPKAPK2 DUSP4 IL24 FOXO1 MAOA STAT3 IL36G SOS2 TSLP MAP2K3 CXCL1 IL13RA1 DUSP7 MMP2 JAK1 RAPGEF1 PTPN20 STAT6 MAP2K4 PRKACA VAV1 TEC PAK2 YWHAZ IL7R CFL1 CREB1 IL1R1 MAPK3 MAP2K7 RPS6KA5 TBK1 PDCD4 SQSTM1 RELA STXBP2
"Activation of Matrix Metalloproteinases"	0.032	0.180666666666667	0.643576962028404	1.54835788882533	19	21	MMP25 TIMP2 CTSV PLG MMP9 MMP2 COL18A1 FURIN MMP14 CTSK TIMP1 MMP13
"Diseases associated with the TLR signaling cascade"	0.00157728706624606	0.038858617722971	0.770387785574619	1.90539003036406	0	24	TLR4 TLR6 TLR2 CD14 TLR1 LY96 NFKBIA BTK NFKB2 TICAM1 MYD88
"Oncogenic MAPK signaling"	0.00131752305665349	0.038858617722971	0.613289048923339	1.82075856571313	0	70	APBB1IP SPRED3 ARRB2 RASAL1 VWF QKI KSR1 FAM131B TLN1 RASA2 IQGAP1 BCL2L11 MAP3K11 RASAL2 MAPK3 MPRIP BRAF RAF1 CAMK2G MAPK1 LMNA ARRB1 ESRP1 KDM7A SRC TENT4A FN1 RAP1A AP3B1 MARK3 TRIM24 CSK CALM1 ZC3HAV1 ARAF
"Influenza Infection"	0.0180722891566265	0.116609294320138	-0.343348854670279	-1.36735575865416	2	149	ISG15 RPS4X RPS12 NUP210 RPL22L1 RPL39L RPS21 RPS19 RPL39 RPL34 RPL37A NUP43 RPS27A KPNA5 RPL31 POLR2D RPSA RPS29 RPL26 RPS28 RPS17 RPL37 RPL21 RPS20 RPL26L1 RPS13 NUP107 NUP35 RPS18 RPS5 RPS23 POLR2H RPL13 RPS15 NUP160 RPL22 NUP37 POLR2I NUP93 RPL13A RPL10A RPLP2 RPS3 RPL3 RPL35A NUP155 AAAS IPO5 RPL38 RPL15 RPS14 RPS27 RPL10 RPS8 RPS9 RPLP1 RPS2 RPS7 RPL7A RPS16 RPL36 RPL23 RPL7 RPL36A NUP133 NUP205 RPL6 NDC1 RPL30 RPS6 RPL32 POLR2G RPS25 RPL12 RPS11 RPL9 RPL19 UBA52 RPL8 RPS3A
"ROS, RNS production in phagocytes"	0.00151975683890578	0.038858617722971	0.725665356463366	1.87746304001748	0	31	SLC11A1 NCF1 NCF4 NOS3 NCF2 RAC2 ATP6V0D2 ATP6V0C ATP6V1B2 HVCN1
"DAP12 interactions"	0.0015015015015015	0.038858617722971	0.743474249301725	1.946008889677	0	34	TREM1 SIRPB1 CD300LB LCP2 SIGLEC14 TYROBP PLCG2 CLEC5A BTK SIGLEC15
"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways"	0.00413223140495868	0.0550253807106599	0.616382965656752	1.7342275959361	2	50	MEFV NLRP3 NLRC4 NOD2 PSTPIP1 NLRP1 NFKB2 TNFAIP3 IRAK2 AIM2 CASP2 RELA CASP8 MAPK14 ITCH TAB2 TAB3
"C-type lectin receptors (CLRs)"	0.00477326968973747	0.0550253807106599	0.476672630275301	1.54058232601186	3	131	CLEC4E ICAM3 IL1B FCER1G CLEC4A CLEC7A PLCG2 MUCL1 NFKBIA CD209 ITPR2 NFKB2 RELB LYN CREBBP EP300 SYK UBE2D1 PPP3CA BCL10 PRKACA PAK2 RPS6KA5 RELA MUC21 CASP8 RAF1 TAB2 TAB3
"Toll-like Receptor Cascades"	0.00120627261761158	0.038858617722971	0.618227908520705	2.00708190215427	0	143	TLR8 ITGAM FOS TLR4 TLR6 ITGB2 NOD2 S100A12 TLR2 CD14 PLCG2 S100A9 TLR1 LY96 NFKBIA S100A8 AGER BTK CTSV PELI1 NFKB2 MEF2C IRAK2 MAP3K8 S100B PELI2 TICAM1 MYD88 UBE2D1 MAPKAPK2 DUSP4 CTSS LGMN MAP2K3 CD180 DUSP7 MAP3K1 MAP2K4 CTSL CREB1 MAPK3 MAP2K7 RPS6KA5 TBK1 RELA CNPY3 CASP8 MAPK14 TAB2 TANK TAB3 MAPK1 CTSK PELI3 NFKBIB UBE2D3
"Fcgamma receptor (FCGR) dependent phagocytosis"	0.0077120822622108	0.0674185255825525	0.510114071017622	1.54810144638226	5	84	FCGR2A FGR HCK WAS WIPF1 FCGR3A ELMO1 PLCG2 MYO5A BTK ITPR2 ACTB MYO9B LYN SYK NCKAP1L ARPC5 FCGR1A MYH9 VAV1 WASF2 ACTR3 MYO10 CFL1 MAPK3 ARPC2 ABI1 MAPK1 WIPF2 SRC GRB2 CYFIP1 VAV3 ACTR2 RAC1 PIK3CA ARPC3 NCK1 PLD2 CRK MYO1C WASL
"Fc epsilon receptor (FCERI) signaling"	0.0417661097852029	0.223265776898995	0.425072000977526	1.36985222672778	34	128	RASGRP4 FOS LCP2 LAT2 RASGRP2 FCER1G PLCG2 GAB2 NFKBIA BTK ITPR2 LYN SYK UBE2D1 PPP3CA MAP3K1 BCL10 MAP2K4 VAV1 TEC PAK2 MAPK3 MAP2K7 RELA SHC1 TAB2 TAB3 MAPK1
