pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell"	0.00137551581843191	0.026746940386893	0.672908745986841	2.20854742981913	0	95	TREM1 LILRA2 ICAM3 SIGLEC10 LILRB3 LILRA1 CD300LB LILRA6 PILRA LILRA5 LILRB2 TYROBP LILRB5 CD300A JAML SIGLEC9 ITGB2 OSCAR FCGR3A ICAM1 SELL ITGAL SIGLEC7 SH2D1B TREML1 RAET1E ULBP3 HCST MADCAM1 COLEC12 SIGLEC1 TREM2 ITGA4 LAIR1 NECTIN2 LILRB1 SLAMF6
"Caspase activation via extrinsic apoptotic signalling pathway"	0.00836120401337793	0.083921714356497	0.664740710002037	1.68535630680288	4	23	TLR4 CD14 LY96 UNC5B TICAM1 CFLAR TNFRSF10B CASP9 CASP8 RIPK1 DAPK3 DAPK1 TRAF2 TRADD
"Detoxification of Reactive Oxygen Species"	0.00313971742543171	0.0386756101041815	0.642320403564436	1.74118200865814	1	34	NCF1 NCF4 NCF2 SOD2 NOX5 ERO1A GPX2
"Cellular Senescence"	0.00134048257372654	0.026746940386893	0.508505962486686	1.72278725089048	0	125	CXCL8 FOS IL1A KDM6B CDKN2D LMNB1 E2F2 CEBPB E2F3 CDKN2B PHC2 AGO4 MAPKAPK2 UBE2D1 UBE2C ERF CCNA2 MAP2K3 ETS2 MAP4K4 HMGA1 STAT3 MAP2K4 UBN1 CDKN1B E2F1 RPS6KA1 MAPK14 CBX2 RELA MAP2K7 CDKN2C EZH2 FZR1 MAPK3 MAPK1 CDK2
"Intraflagellar transport"	0.00275482093663912	0.035550308277581	-0.748269364851201	-2.33786141607687	0	37	DYNLRB2 DYNC2H1 TTC26 KIF3A TCTEX1D1 IFT172 IFT140 TTC30A WDR19 TTC21B IFT81 IFT57 WDR35 IFT22 DYNC2LI1 KIF17 CLUAP1 TRAF3IP1 DYNLL2 IFT27 KIFAP3 KIF3B IFT43 IFT88 IFT74 IFT80 IFT46 IFT122 HSPB11 TTC30B IFT52
"Anchoring of the basal body to the plasma membrane"	0.00357142857142857	0.0420807453416149	-0.490400187302682	-1.86893587363058	0	94	OFD1 NPHP1 NEK2 CC2D2A CEP78 TMEM67 CENPJ CEP41 TCTN1 CNTRL KIF24 CCP110 MKS1 PCM1 B9D2 NPHP4 RPGRIP1L ALMS1 CEP192 B9D1 CEP83 PLK4 TCTN2 IQCB1 TCTN3 CEP131 ODF2 TTBK2 CEP290 CKAP5 TUBB4B CEP97 FBF1 CEP162 CDK5RAP2 PCNT CEP76 CEP135 CEP164 CEP152 CETN2 CEP70 AHI1 CEP250 HAUS1
"Signaling by Interleukins"	0.00112866817155756	0.026746940386893	0.558409247826926	2.12573525616177	0	386	OSM CSF3R CXCL8 IL18RAP FOS FPR1 ITGAX PTGS2 ITGAM F13A1 IL1R2 HCK TNFRSF1B SOCS3 IL1A IL1B LCP1 IL6R PIK3CD JAK3 CCR1 ITGB2 JUNB ALOX5 ICAM1 CSF2RB NOD2 LMNB1 COL1A2 TGFB1 IL16 IL1RN IL17RA SOD2 AGER IL1RAP STAT5B GAB2 ZEB1 HGF ANXA1 CBL MSN VEGFA IL2RG IL23A IL1RL2 PTAFR CEBPD CNN2 MCL1 S100B MAP3K3 NFKB2 PTPN6 NFKBIA INPP5D S100A12 PTPN7 IL10RA CSF1R SDC1 IL4R SERPINB2 OSMR PTPN12 BCL6 TNFRSF1A PELI1 MAOA IL12RB1 STXBP2 SOCS2 HIF1A BIRC5 STX3 IRAK2 PELI2 POMC SYK PTPN20 MAPKAPK2 IL24 TSLP CRLF1 STAT6 MAP2K3 MAP3K8 BLNK MYD88 PDCD4 MEF2C FOXO1 STAT3 STX4 MAP2K4 SQSTM1 RAPGEF1 VIM FSCN1 LYN SOS2 PELI3 TALDO1 NFKBIB VAV1 S1PR1 CLCF1 GRB2 DUSP7 RPS6KA1 TYK2 MAPK14 DUSP4 CFL1 CREB1 IL13RA1 RELA GATA3 MAP2K7 BATF JAK1 PAK2 TEC TBK1 MAPK3 AIP CD36 IKBKG YWHAZ SHC1 CAPZA1 PTPN13 PRKACA MAPK1
"p75 NTR receptor-mediated signalling"	0.049792531120332	0.345994254707948	0.416229466276095	1.36219495513137	35	91	PREX1 FGD3 PLEKHG2 NFKBIA TIAM1 ARHGEF40 ARHGEF1 ARHGEF2 GNA13 ARHGEF35 MYD88 ADAM17 ARHGEF5 CASP2 SQSTM1 SOS2 VAV1 TIAM2 RTN4 BCL2L11 RELA VAV3 ECT2 ARHGDIA FGD4 AKAP13 NET1 ARHGEF16 IKBKB RAC1 PSEN1 ARHGEF18 UBC ARHGEF12 ARHGEF10L NCSTN ARHGEF4
"Diseases associated with the TLR signaling cascade"	0.00167785234899329	0.026746940386893	0.705672501587712	1.79574643072101	0	24	TLR4 TLR6 TLR2 CD14 TLR1 LY96 NFKB2 NFKBIA BTK MYD88 TICAM1 RELA CD36 IKBKG
"Oncogenic MAPK signaling"	0.00144927536231884	0.026746940386893	0.582673726317298	1.8282775016612	0	70	APBB1IP RASAL1 ARRB2 SPRED3 VWF FAM131B TLN1 KSR1 QKI MAP3K11 RASAL3 LMNA RASA2 SRC CAMK2G BCL2L11 IQGAP1 RAF1 MPRIP MAPK3 TENT4A KDM7A RASAL2 MAPK1 CSK ESRP1 ARRB1 BRAF RAP1A
