pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell"	0.00103305785123967	0.0717785723745199	0.692575479386771	1.77943985894179	0	95	ICAM3 TREM1 LILRA2 LILRA5 LILRA1 SIGLEC10 LILRA6 LILRB3 CD300LB LILRB2 PILRA CD300A TYROBP SIGLEC7 FCGR3A SELL SIGLEC9 JAML ITGB2 OSCAR ICAM1 ITGAL HCST RAET1E IFITM1 FCGR1A LILRB1 SH2D1A SIGLEC1 KLRD1 COLEC12 FCGR2B
"Apoptotic execution phase"	0.0388888888888889	0.255784922664718	0.608356658859388	1.45006496912184	34	45	DSG3 PKP1 LMNB1 DSP VIM MAPT BMX CLSPN OCLN TJP1 HMGB2 STK26 CASP8 APC ROCK1 STK24 PAK2
"Phase I - Functionalization of compounds"	0.027027027027027	0.215421303656598	-0.404455570127133	-1.63822822055253	0	84	CYP2A7 CYP1B1 AOC1 CYP24A1 CYP4F11 CYP2A6 CYP2S1 CYP26C1 CYP4A22 CYP2D6 CYP46A1 ALDH3A1 AADAC CYP3A5 CYP19A1 AHRR CBR3 CYP4A11 CYP4F12
"Cellular Senescence"	0.00404858299595142	0.0873968008255934	0.581119814140891	1.50988524147388	3	125	CXCL8 FOS LMNB1 IL1A CCNE1 CDKN2D KDM6B E2F2 CEBPB MAPKAPK3 CDKN1A AGO4 TNIK MAP2K6 MAP2K3 HMGA2 CDKN2B UBE2D1 HMGA1 MAP4K4 PHC2 UBN1 E2F3 CDKN2C CCNA1 CBX4 MAPK7 STAT3 CCNE2 MAP2K4 CCNA2 ID1 MAPK3 MAPKAPK2 UBE2C MAPK1 CDKN1B NBN UBC JUN MAPK14
"HDMs demethylate histones"	0.0447570332480818	0.27566263659614	0.685028170509545	1.46603721879053	34	21	KDM6B JMJD6 ARID5B KDM7A KDM4B KDM6A KDM5A KDM5C KDM2A KDM3A KDM4A
"Intraflagellar transport"	0.0296296296296296	0.223045267489712	-0.470044450579579	-1.55263816756605	3	37	IFT27 IFT46 IFT43 TCTEX1D1 DYNLRB2 IFT74 WDR19 CLUAP1 IFT122 IFT52 TRAF3IP1 KIF3A IFT20 IFT22 HSPB11 IFT88 IFT57 IFT80 TTC30A IFT140 IFT172 DYNLL2 IFT81
"Assembly of collagen fibrils and other multimeric structures"	0.0108695652173913	0.125462962962963	-0.565525131816507	-1.99637547097158	0	50	MMP3 COL1A2 COL5A1 COL6A3 COL3A1 COL1A1 COL6A2 MMP7 COL4A3 MMP13 COL4A4 LOXL4 COL6A6 LOXL2 PCOLCE COL5A2 COL6A1 TLL1 LAMA3 COL7A1 LOXL1 PLEC COL24A1
"Collagen biosynthesis and modifying enzymes"	0.0111111111111111	0.125462962962963	-0.593663305005739	-2.11849671952013	0	51	COL1A2 COL5A1 COL6A3 COL3A1 COL1A1 COL6A2 COL4A3 COL4A4 COL6A6 PCOLCE COL16A1 COL5A2 COL6A1 TLL1 SERPINH1 COL7A1 P3H1 COL12A1 P3H3 COL24A1 PLOD3 COL14A1
"Growth hormone receptor signaling"	0.0284974093264249	0.220651369356033	0.708506264539403	1.50691885960951	21	20	SOCS3 SOCS1 CISH STAT5B STAT1 PTPN6 STAT3 LYN MAPK3 MAPK1 JAK2 IRS2
"Interferon Signaling"	0.0030241935483871	0.0819556451612903	0.580245142089333	1.518661515012	2	175	EGR1 SOCS3 IFITM2 FCGR1B GBP5 ICAM1 GBP4 RSAD2 GBP2 IFIT3 IFIT1 IFI6 SOCS1 IFIT2 IFI30 MX2 OASL IFITM1 HLA-DRB5 GBP1 FCGR1A STAT1 TRIM25 ISG15 HERC5 GBP6 DDX58 FLNA XAF1 IRF7 HLA-E PTAFR TRIM62 PTPN6 ISG20 HLA-G HLA-DQA1 HLA-DPB1 OAS3 UBE2L6 PIAS1 IFNGR2 HLA-DRA HLA-DQB1 EIF4A3 IRF1 MX1 HLA-C HLA-DRB1 USP18 HLA-F CIITA MAPK3 SAMHD1 HLA-DPA1 BST2 HLA-A JAK2 UBC IFI35 NUP98 CAMK2D EIF4E3 IRF6 OAS2 HLA-DQA2 TRIM21 NUP50 TRIM29 NUP153 EIF2AK2
