pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"Costimulation by the CD28 family"	0.00284900284900285	0.0730458221024259	0.637340240612792	2.04115986872694	0	63	PDCD1 TRIB3 CD3G HLA-DPA1 LCK HLA-DRB5 CD3D HLA-DPB1 CD3E HLA-DQA1 HLA-DQB2 CTLA4 HLA-DRA FYN HLA-DRB1 CD28 HLA-DQB1 HLA-DQA2 GRAP2 CD247 CD4
"MHC class II antigen presentation"	0.00996677740863787	0.113769941225861	0.495253289755088	1.71438211952106	2	100	KIF23 HLA-DPA1 KIF15 HLA-DMB HLA-DRB5 KIF2C HLA-DPB1 KIF5C CENPE HLA-DQA1 HLA-DQB2 HLA-DMA CD74 HLA-DRA DYNC1I1 KIF20A HLA-DRB1 HLA-DQB1 KIF18A KIF11 HLA-DQA2 KIF3C RACGAP1 AP1S3
"TCR signaling"	0.00342465753424658	0.0730458221024259	0.506241083542906	1.77084967353564	0	110	ZAP70 CD3G HLA-DPA1 LCK HLA-DRB5 CD3D PTPN22 HLA-DPB1 CD3E HLA-DQA1 HLA-DQB2 HLA-DRA HLA-DRB1 HLA-DQB1 HLA-DQA2 ITK GRAP2 CD247 CD4 LAT PRKCQ INPP5D PAG1 EVL IKBKG PLCG1 PSME4 CD101 ENAH PIK3CB PSMD9
"Signaling by the B Cell Receptor (BCR)"	0.00342465753424658	0.0730458221024259	0.660063110711984	2.30266816138632	0	109	IGKC IGHM CD79A CD22 CD19 TRPC1 BLK FYN
"Mitotic Spindle Checkpoint"	0.00341296928327645	0.0730458221024259	0.611098191273322	2.11967857720033	0	108	CENPA BUB1B SGO1 NDC80 BUB1 KNL1 SPC25 KIF2C CENPE SPC24 ERCC6L CENPN CDCA8 NUF2 DYNC1I1 SKA1 MAD2L1 SGO2 CDC20 KIF18A CENPF ZWINT CENPH ZWILCH BIRC5 PLK1 AURKB KNTC1 SPDL1 CENPQ KIF2A CDC27 XPO1 INCENP CENPL DSN1 CKAP5 AHCTF1 NUP107 TAOK1 ANAPC10 DYNC1LI1
"G2/M Checkpoints"	0.00354609929078014	0.0730458221024259	0.508394710181695	1.82209628320384	0	129	CLSPN PKMYT1 EXO1 RAD9B ORC1 CDC45 GTSE1 MCM10 DNA2 CDC6 MCM6 CCNB1 CDC7 CDC25C CHEK1 BLM ORC6 CDC25A BRCA1 CDK1 RFC3 BRIP1 MCM5 WRN MCM8 RFC4 MCM2 RMI1 DBF4 ATM MCM7 CCNB2 MCM4 MCM3 PSME4 NSD2 ATR PSMD9 YWHAH TOPBP1 RFC2
"Mitotic G1-G1/S phases"	0.0111524163568773	0.12089219330855	0.438963859021065	1.6098449578483	2	147	RRM2 CCNA2 ORC1 TYMS CDC45 MCM10 PRIM1 E2F2 MYBL2 CDC6 MCM6 TOP2A CCNB1 CCNE2 CDC7 DHFR ORC6 CDC25A LIN9 RBL1 CDT1 CDK1 MCM5 MCM8 MCM2 DBF4 POLA2 POLE MCM7 MCM4 MCM3 POLE2 E2F1 CKS1B
"S Phase"	0.00377358490566038	0.0730458221024259	0.461530312343208	1.70893294201732	0	159	ESCO2 CCNA2 ORC1 CDC45 DNA2 PRIM1 CDCA5 CDC6 GINS4 GINS1 GINS2 MCM6 CCNE2 ORC6 CDC25A LIN9 CDT1 CDC25B RFC3 MCM5 MCM8 RFC4 MCM2 POLD3 POLA2 SMC3 CDC27 POLE LIG1 MCM7 MCM4 FEN1 MCM3 POLE2 E2F1 PSME4 CKS1B ANAPC10 PSMD9 RFC2 GINS3 UBE2C RFC5 PCNA CDK2 RB1
"Mitotic G2-G2/M phases"	0.0156862745098039	0.151820728291317	0.394719933410686	1.49121817142051	3	180	PKMYT1 CCNA2 GTSE1 TPX2 AURKA MYBL2 NEK2 FOXM1 CCNB1 CEP78 CDC25C CENPF CEP152 CDC25A LIN9 HMMR PLK4 CDC25B CDK1 CENPJ PLK1 MZT2A BORA HAUS6 AJUBA HAUS1 CEP131 CDK11A XPO1 MZT1 TUBB CCNB2 HAUS2 HAUS8 CKAP5 CEP135 E2F1 PSME4 NEDD1 TUBG1 PSMD9 PCM1 HAUS7 PRKAR2B CDK2 HAUS5 FBXL18 CEP72 TUBGCP4 E2F3
"M Phase"	0.00543478260869565	0.0790202653448025	0.458933655817114	1.85702323130333	0	312	NCAPG CENPA BUB1B SGO1 KIF23 NDC80 BUB1 KNL1 SPC25 KIF2C CENPE SPC24 ERCC6L CDCA5 CENPN NCAPH CDCA8 NUF2 DYNC1I1 SKA1 KIF20A MAD2L1 NEK2 SGO2 CCNB1 CDC20 CEP78 SMC4 ESPL1 KIF18A CENPF CEP152 PLK4 ZWINT SMC2 NCAPG2 CENPH ZWILCH CDK1 BIRC5 CENPJ PLK1 MZT2A NUP155 AURKB TMPO KNTC1 HAUS6 NDC1 HAUS1 SPDL1 NCAPD3 CEP131 SMC3 CENPQ NUP50 KIF2A NUP58 CDC27 XPO1 MZT1 INCENP NUP35 TUBB CENPL CCNB2 HAUS2 NUP188 HAUS8 DSN1 CKAP5 CEP135 AHCTF1 POM121 NUP107 PSME4 VRK1 NUP210 NEDD1 TAOK1 TUBG1 ANAPC10 PSMD9 DYNC1LI1 PCM1 UBE2C HAUS7 NUP54 NUP205 PRKAR2B RB1 HAUS5 CENPI CEP72 TUBGCP4 SKA2 ITGB3BP TPR NCAPD2 CENPU HAUS4 ANAPC1
"Nucleosome assembly"	0.0100755667506297	0.113769941225861	0.675231336992577	1.87705437715223	3	26	CENPA KNL1 HJURP CENPN OIP5 CENPH CENPQ MIS18A CENPL CENPW CENPI ITGB3BP CENPU CENPK CENPM MIS18BP1
"Telomere Maintenance"	0.0317460317460317	0.267533693879303	0.536294385943051	1.56592228355214	11	35	DNA2 PRIM1 RFC3 POT1 ACD RFC4 POLD3 POLA2 POLE LIG1 FEN1 POLE2 RFC2 RFC5 PCNA DKC1
"Interferon Signaling"	0.00542740841248304	0.0790202653448025	-0.449632665479187	-1.50815897042497	3	175	IFIT2 RSAD2 IFIT1 SOCS1 GBP4 MX2 HERC5 OASL IFIT3 SOCS3 GBP1 DDX58 GBP5 IFITM2 USP18 ISG15 VCAM1 ISG20 GBP2 KPNA7 MT2A MX1 OAS2 GBP6 OAS3 GBP3 IFI30 FCGR1B IFI35 XAF1 IRF1 MID1 TRIM29 UBC TRIM22 IRF6 CD44 TRIM25 PRKCD ICAM1 EIF4A2
