pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"Costimulation by the CD28 family"	0.00224466891133558	0.0402554961378491	0.704552986194946	1.79847574133668	1	63	PDCD1 HLA-DRB5 CD3D HLA-DRB1 HLA-DPB1 CTLA4 HLA-DRA HLA-DQA1 LCK HLA-DPA1 HLA-DQA2 CD3G CD86 CD247 HLA-DQB1 CD3E CD28 GRAP2 HLA-DQB2 PDCD1LG2 TRIB3 PTPN6 FYN MAP3K8 CD4
"MHC class II antigen presentation"	0.00106609808102345	0.032135657535871	0.63225923846841	1.69272907877734	0	100	CTSV HLA-DRB5 KIF26A KLC3 HLA-DRB1 HLA-DMB HLA-DPB1 HLA-DRA HLA-DQA1 KIF15 KIF23 HLA-DPA1 HLA-DQA2 HLA-DMA HLA-DQB1 KIF2C HLA-DOA IFI30 CD74 KIF5C KIF20A AP1S2 CENPE LAG3 KIF18A HLA-DQB2 KIF11 KIF4A CTSS RACGAP1
"TCR signaling"	0.0010593220338983	0.032135657535871	0.624902471876506	1.6839654783928	0	110	LCP2 WAS PTPRC HLA-DRB5 CD3D HLA-DRB1 HLA-DPB1 HLA-DRA HLA-DQA1 LCK ZAP70 HLA-DPA1 HLA-DQA2 CD3G ITK CD247 INPP5D HLA-DQB1 NFKBIA PAG1 CD3E PTPN22 PSMB9 GRAP2 HLA-DQB2 VASP CD4 PTEN UBE2D1 CD101 CSK PSMB8 EVL RPS27A PSME1 IKBKG PRKCQ PSMB10 RIPK2 PSME2 PTPRJ NFKB1 MALT1 PSMC6 PSMD9 FBXW11 CDC34 UBA52 PSMA7 PLCG1 UBE2D2 NCK1 SEM1 PSMD2 PSMB6
"Signaling by the B Cell Receptor (BCR)"	0.00105820105820106	0.032135657535871	0.626558486566713	1.68794804511568	0	109	IGHM IGKC PRKCB CD79A PIK3CD BTK BLK NFKBIA TRPC1 CD22 PLCG2 PIK3AP1 PSMB9 CD19 PTPN6 FYN ORAI2 ITPR2 SYK PSMB8 DAPP1 RPS27A PSME1 IKBKG NFKBIE GRB2 PSMB10 PSME2 NFKB1 MALT1 PSMC6 PSMD9 FBXW11 RASGRP1 HRAS UBA52 SH3KBP1 PSMA7 NCK1 SEM1 PSMD2 PSMB6 LYN
"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell"	0.00106723585912487	0.032135657535871	0.776911868853178	2.07303077800231	0	95	IGKC TREM1 ICAM3 LILRA2 SIGLEC10 CD300LB LILRA6 LILRA1 PILRA LILRB3 LILRB2 TYROBP LILRA5 CD300A FCGR3A SIGLEC7 JAML ITGB2 ITGAL SELL HCST SIGLEC9 ICAM1 HLA-G SH2D1A KLRD1 KLRB1 CD3D CD8B SLAMF6 OSCAR SIGLEC1 CD3G CD247 HLA-F IFITM1 CD22 CD3E CD8A FCGR2B HLA-C FCGR1A CD96 CD1C HLA-E RAET1E CD19 HLA-A CD1D CD1A CD226 HLA-B CLEC2B
"NCAM signaling for neurite out-growth"	0.025974025974026	0.163696768347931	-0.475041355746545	-1.5733126933522	3	44	COL6A3 COL6A2 COL6A6 GFRA2 CACNB2 COL6A1 CACNB1 CACNB3 SPTBN4 COL4A3 SPTAN1 SPTBN1 CACNA1D ARTN COL4A4 AGRN PSPN SRC COL4A1 COL4A5
"Semaphorin interactions"	0.0407701019252548	0.218529836176895	0.57297879644072	1.45417960453196	35	60	SEMA7A PTPRC PLXNC1 TYROBP RND1 SEMA4D CDK5R1 CD72 FES TLN1 ITGA1 SEMA6A FYN DPYSL3 DPYSL2 RHOB SEMA6D
"Phase I - Functionalization of compounds"	0.0128205128205128	0.0992673992673993	-0.402596026712324	-1.54663757101906	0	84	AOC1 CYP1B1 CYP2A6 FMO1 CYP4F11 CYP3A5 AADAC CYP2A7 CYP2S1 CYP2B6 MAOB CYP24A1 CYP2D6 CYP27A1 ADH6 CYP46A1 CBR3 ALDH3A1 CYP7B1 CYP4B1 CYP4F12
"Phase 0 - rapid depolarisation"	0.05	0.246363636363636	-0.539255332391681	-1.5543301844827	12	24	SCN4B CACNG6 CACNB2 CACNB1 CACNB3 CACNA2D1 CACNA2D3 SCN3B CACNA1F FGF13 CACNA1D
"Mitotic Spindle Checkpoint"	0.00317460317460317	0.0457152496626181	0.597074634060274	1.60875141914441	2	108	CENPA SPC24 NDC80 SPC25 NDEL1 BIRC5 BUB1 CDC20 NUF2 BUB1B SKA1 SGO1 MAD2L1 KIF2C ERCC6L AURKB CDCA8 CENPE CENPF KNL1 KIF18A UBE2C ZWINT CENPM CENPN UBE2D1 CENPH SGO2 CENPI CENPU CENPT ANAPC11 AHCTF1 NDE1 PPP2CA CENPL CENPQ NUP37 DYNC1I1 SKA2 ZWILCH MAD1L1 CENPP TAOK1 DSN1 RPS27 PPP1CC PPP2R5A UBE2E1 MAPRE1 NUP98 RCC2 CENPK RANGAP1 INCENP PPP2R5B PLK1 SPDL1 XPO1 PPP2R1A
