pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"Costimulation by the CD28 family"	0.00225733634311512	0.0325877825877826	0.633003951444353	1.70464773607783	1	63	HLA-DRB5 PDCD1 CD86 HLA-DQA1 HLA-DPB1 HLA-DPA1 HLA-DRA HLA-DRB1 HLA-DQB1 CTLA4 PDCD1LG2 CD28 CD3D PTPN6 FYN HLA-DQA2 MAP3K8 LCK CD4 CD247 RICTOR CSK CD3G CD3E PPP2CA GRB2 LYN PAK2 GRAP2 MAP3K14 YES1
"MHC class II antigen presentation"	0.00106723585912487	0.0261886354851179	0.588326724121008	1.65693366105378	0	100	CTSV KIF26A KLC3 HLA-DRB5 HLA-DQA1 HLA-DPB1 KIF15 HLA-DPA1 HLA-DMB AP1S2 HLA-DRA KIF23 IFI30 HLA-DRB1 HLA-DQB1 HLA-DOA CENPE HLA-DMA KIF18A KIF20A CD74 KIF2C KIF5C CTSS HLA-DQA2 KIF11 KIF3C RACGAP1 DYNC1I1 DNM3 LAG3 CAPZA1 KIF4A CAPZA2 AP1S3
"TCR signaling"	0.0010593220338983	0.0261886354851179	0.582992463256109	1.64974262697131	0	110	LCP2 WAS PTPRC HLA-DRB5 HLA-DQA1 INPP5D HLA-DPB1 PAG1 HLA-DPA1 HLA-DRA HLA-DRB1 HLA-DQB1 NFKBIA PTPN22 ITK VASP CD3D PTEN HLA-DQA2 UBE2D1 LCK CD4 CD247 PTPRJ PSMB9 CSK CD3G CD101 CD3E RIPK2 MALT1 FBXW11 TAB2 NCK1 PAK2 ZAP70 GRAP2 CDC34 NFKB1 PIK3CB PSMC6 UBE2D2 IKBKG HLA-DQB2 PIK3CA
"Signaling by the B Cell Receptor (BCR)"	0.00105820105820106	0.0261886354851179	0.571110847466663	1.61620285843152	0	109	IGHM PRKCB IGKC PIK3CD CD79A BTK PLCG2 CD22 BLK NFKBIA PIK3AP1 TRPC1 PTPN6 ORAI2 CD19 FYN ITPR2 SYK PSMB9 DAPP1 RASGRP1 SH3KBP1 MALT1 GRB2 FBXW11 LYN NCK1 NFKBIE NFKB1 NFATC2 PSMC6 REL IKBKG NFATC3
"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell"	0.00107642626480086	0.0261886354851179	0.738820511350802	2.07112634045452	0	95	ICAM3 SIGLEC10 CD300LB TREM1 LILRA2 TYROBP LILRA6 PILRA FCGR3A ITGB2 LILRB2 CD300A JAML ITGAL IGKC LILRA1 LILRB3 HCST SIGLEC7 ICAM1 LILRA5 SH2D1A SELL SIGLEC9 SIGLEC1 KLRD1 OSCAR HLA-G SLAMF6 IFITM1 FCGR2B CD22 CD8B FCGR1A CD1A HLA-C RAET1E CD1C HLA-E HLA-F CD3D ITGA4 CD19 CLEC2B CD247 HLA-A LILRB4 CD96 CD226 ULBP3 CD300LF CD3G MADCAM1 CD300C CD3E HLA-B COLEC12 CD8A LAIR1
"Apoptotic execution phase"	0.0212264150943396	0.14784506273868	0.591584952673732	1.53582488173728	17	45	CLSPN DSG3 LMNB1 PKP1 VIM DSP HMGB2 OCLN APC ROCK1 CASP8 STK26 TJP1 BMX PAK2
"NCAM signaling for neurite out-growth"	0.0387096774193548	0.218548387096774	-0.439481509065495	-1.47279752971156	5	44	COL6A2 COL6A3 COL6A6 GFRA2 CACNB2 SPTBN4 COL4A4 ARTN FGFR1 COL6A1 CACNB3 COL4A3 CACNB1
"Semaphorin interactions"	0.0274285714285714	0.172863787375415	0.551948102517952	1.47471252053806	23	60	SEMA7A PLXNC1 PTPRC TYROBP SEMA4D CDK5R1 RND1 TLN1 ITGA1 FES FYN RHOB SEMA6D DPYSL2 SEMA6A CD72 DPYSL3 ROCK1
"Phase I - Functionalization of compounds"	0.012987012987013	0.106650924832743	-0.442618001601387	-1.69882073204964	0	84	CYP2A7 CYP1B1 CYP2A6 AOC1 AADAC CYP3A5 FMO1 CYP4F11 CYP2S1 CYP2D6 CBR3 CYP2B6 MAOB ALDH3A1 CYP24A1 CYP27A1 CYP4B1 CYP46A1 CYP4F12
"Mitotic Spindle Checkpoint"	0.00106157112526539	0.0261886354851179	0.579975216749512	1.6379443202326	0	108	CENPA NDEL1 NDC80 SPC24 SPC25 SGO1 BUB1B BUB1 BIRC5 SKA1 NUF2 ERCC6L CENPE KIF18A KNL1 CDC20 AURKB KIF2C MAD2L1 CDCA8 CENPF CENPN UBE2D1 AHCTF1 UBE2C DYNC1I1 TAOK1 SGO2 NDE1 CENPU PPP2CA NUP98 CENPT SKA2 CENPQ CENPH KIF2A CENPL CENPI CENPM CENPP PPP1CC RANBP2 ZWINT CLIP1 MAPRE1 ZWILCH DYNC1LI1 UBE2E1 DYNC1I2 INCENP PPP2R5A ZW10 CDC27
"G2/M Checkpoints"	0.00625651720542232	0.0584660745748085	0.52126241812667	1.49004916460887	5	129	CLSPN MCM10 EXO1 ORC1 PKMYT1 SFN RMI2 CDC6 CDC25C DNA2 MCM6 CDC45 CHEK1 CDC25A CCNB1 CCNB2 BRCA1 CDK1 GTSE1 MCM5 RAD9B PSMB9 BRIP1 RFC3 MCM7 CDC7 ATM MCM2 BLM ORC6 RNF168 YWHAQ NBN YWHAG UIMC1 MCM4 PSMC6
"Mitotic G1-G1/S phases"	0.00416666666666667	0.045546218487395	0.508283779996449	1.45933086072208	3	147	E2F2 CCNE1 CDKN2D MCM10 RRM2 CCNA2 ORC1 MYBL2 CDC6 CCNE2 TYMS MCM6 CDC45 TOP2A CDC25A CCNB1 LIN9 E2F3 CDKN1A PRIM1 CDK1 PPP2R2A MCM5 CDKN2C PSMB9 LIN54 RBL1 E2F1 PPP2CA MCM7 CDC7 FBXO5 LYN CDT1 MCM2 CCNA1 DHFR ORC6 CDKN1C TK1 LIN37 POLA2 CDK7 GMNN MCM4 PSMC6 CCND2 HDAC1 CDKN1B PSME1 DBF4 CCND3 CDKN2B PCNA CDK2 POLE4 PSMD2 JAK2 PTK6 MCM8
"S Phase"	0.0466804979253112	0.248047351720771	0.449919711804776	1.29751966533796	44	159	CCNE1 ESCO2 CCNA2 ORC1 CDCA5 CDC6 CCNE2 GINS2 DNA2 MCM6 CDC45 CDC25A LIN9 UBE2D1 GINS1 GINS4 CDKN1A PRIM1 STAG2 UBE2C MCM5 PSMB9 LIN54 RAD21 E2F1 RFC3 MCM7 SMC3 CDT1 WAPL MCM2 CCNA1 SMC1A STAG1 GINS3 ORC6 LIN37 POLA2 CDK7 MCM4 PSMC6 CDKN1B PSME1 RFC2 GSK3B UBE2E1 PCNA CDK2 POLE4 PSMD2 CDC27 PTK6 MCM8 RFC5 RB1 PSMD11 RBL2 FEN1 PSMC2 MAX FZR1 LIG1 PSMD7 PSMD12 POLD3 ESCO1 RPA1 PDS5A TFDP1 PSMD9 RFC4 UBA52 PSMB8 RPS27A PSMB10 TFDP2 CDK4 ANAPC10
"M Phase"	0.002	0.0325877825877826	0.478779822391045	1.41554217011702	1	312	PRKCB ESPL1 LMNB1 CENPA NCAPG NDEL1 NDC80 TUBA4A SPC24 SPC25 SGO1 KIF23 BUB1B CDCA5 BUB1 NCAPH BIRC5 SKA1 NUF2 ERCC6L BLZF1 CENPE KIF18A KNL1 CDC20 KIF20A AURKB KIF2C MAD2L1 PLK4 CCNB1 CDCA8 CCNB2 CEP76 CENPF CENPN UBE2D1 AHCTF1 CDK1 STAG2 PPP2R2A UBE2C CEP152 DYNC1I1 NUP50 TAOK1 PSMB9 SGO2 RAD21 SMC2 NDE1 CEP63 NEK2 CENPU NUP58 PPP2CA NCAPG2 NIPBL CEP135 SMC4 SMC3 NUP98 FBXO5 MASTL CENPT LPIN1 NUP153 WAPL TMPO SKA2 MAPK1 SMC1A STAG1 CENPQ CENPH KIF2A YWHAG CENPL HAUS4 CENPI CENPM CENPP PSMC6 PTTG1 MZT2A CEP78 MAPK3 PPP1CC NEK7 NCAPD3 RANBP2 ZWINT CLIP1 MAPRE1 ZWILCH DYNC1LI1 PSME1 UBE2E1 ARPP19 DYNC1I2 NUP210 INCENP PPP2R5A TPR ZW10 PSMD2 CDC27 NUP54 TUBGCP3 NUP37 MZT1 TUBB KNTC1 AKAP9 PRKACA NDC1 RB1 NCAPD2 HAUS2 PSMD11 XPO1 NUP155 PPP2R5B NEDD1 CLASP1 RAB1A PSMC2 VRK1 NUP35 RCC2 LPIN2 NUP205 CENPC PSMD7 PSMD12 ENSA EMD DCTN1
"Cellular Senescence"	0.00208333333333333	0.0325877825877826	0.538138747276232	1.53970178232866	1	125	CXCL8 FOS E2F2 LMNB1 CCNE1 CDKN2D KDM6B CCNA2 CEBPB IL1A MAPKAPK3 HMGA2 CCNE2 AGO4 CBX4 UBE2D1 MAP2K6 E2F3 CDKN1A MAP4K4 PHC2 HMGA1 UBE2C ETS1 CDKN2C CBX2 MAP2K3 ID1 E2F1 STAT3 MAPK7 ATM MAP2K4 SUZ12 CCNA1 MAPKAPK2 MAP3K5 MAPK1 UBN1 NBN MAPK14 RPS6KA1 CBX6 NFKB1
"Nucleosome assembly"	0.0178571428571429	0.134424603174603	0.674445065486446	1.59088617124914	13	26	CENPA OIP5 KNL1 HJURP CENPW CENPN MIS18BP1 CENPU CENPT CENPQ CENPH CENPL CENPI CENPM CENPP
"Intraflagellar transport"	0.00518134715025907	0.0523853707569783	-0.536284002566753	-1.75389541490425	0	37	DYNLRB2 TCTEX1D1 WDR19 IFT27 HSPB11 IFT122 IFT43 TTC30B IFT140 TTC21B IFT172 IFT20 IFT46 IFT74 KIFAP3 IFT80 IFT88 TTC30A IFT57 CLUAP1 KIF17 IFT22 DYNLRB1
"Assembly of collagen fibrils and other multimeric structures"	0.0072992700729927	0.0647550776583035	-0.552438312989715	-1.89526209569455	0	50	COL1A2 MMP3 COL3A1 MMP13 COL1A1 COL6A2 COL6A3 COL6A6 TLL1 LOXL4 COL5A2 MMP7 COL5A1 COL7A1 PCOLCE LAMB3 COL4A4 LOXL2 ITGB4 CD151 COL6A1 PLEC LAMA3 COL4A3
"Collagen biosynthesis and modifying enzymes"	0.00740740740740741	0.0647550776583035	-0.571634260758037	-1.9597498330869	0	51	COL1A2 COL3A1 COL1A1 COL28A1 COL6A2 COL6A3 COL6A6 TLL1 COL5A2 COL5A1 COL7A1 COL16A1 COL21A1 PCOLCE COL4A4 SERPINH1 COL6A1 COL4A3
"Growth hormone receptor signaling"	0.0212765957446809	0.14784506273868	0.689492097941587	1.56224605514535	15	20	SOCS3 STAT5B CISH STAT1 PTPN6 PRLR STAT3 SOCS2 LYN ADAM17 MAPK1 IRS1 STAT5A MAPK3
"Interferon Signaling"	0.0031055900621118	0.0382552230378317	0.507600313916725	1.46646409556965	2	175	EGR1 IFITM2 SOCS3 IFI6 FCGR1B HLA-DRB5 ICAM1 HLA-G GBP5 HLA-DQA1 HLA-DPB1 GBP2 HLA-DPA1 FLNA HLA-DRA IFITM1 STAT1 IFI30 HLA-DRB1 FCGR1A PTAFR HLA-DQB1 HLA-C TRIM25 HLA-E HLA-F PTPN6 HLA-DQA2 TRIM62 BST2 GBP4 IFIT3 IRF7 HLA-A CIITA PIAS1 EIF4A3 NUP50 XAF1 GBP6 NEDD4 IFI27 NUP58 HLA-B IFNGR2 UBE2L6 NUP98 NUP153 KPNA2 CAMK2D IFNAR2 TRIM35 ISG15 MX2 KPNB1 EIF4E3 EIF4G2 MAPK3 RANBP2 ABCE1 HLA-DQB2 EIF4E SAMHD1 GBP1 B2M UBE2E1 OASL NUP210 IFNGR1 ADAR TPR NUP54 TRIM21 KPNA3 NUP37 JAK2 IRF1 IFNAR1
"Signaling by Interleukins"	0.001	0.0261886354851179	0.513996474920827	1.52698061771636	0	386	CXCL8 IL18RAP LCP1 TNFRSF1B FOS IL36G S100A12 ITGAX IL22RA1 HCK IL1R2 ITGAM ITGB2 CSF3R FPR1 PIK3CD OSM JAK3 JUNB SOCS3 LMNB1 IL2RG IL6R CSF2RB HMOX1 IL16 IL1RN PIM1 ICAM1 GAB2 TGFB1 NOS2 ALOX5 SOD2 FLT3 ZEB1 IL23A PTGS2 PTPN7 VIM IL2RB MMP9 CD86 IL1RAP INPP5D STAT5B CISH CBL MSN IL10RA NOD2 CCL5 STAT1 IL1RL2 CCR1 MCL1 IL1A MEF2C IL12RB1 MAPKAPK3 AGER PTAFR MAP3K3 IL12RB2 NFKBIA PTPN13 BIRC5 CEBPD IL21R IL18R1 IL17RA FSCN1 TEC FOXO3 HIF1A RPS6KA5 PTPN6 IL4R S1PR1 FYN IRAK2 IL18 MAP3K8 CNN2 MAP2K6 LCK DUSP7 PELI1 CDKN1A SYK CSF1R FGF2 CD4 PTPN12 MAP2K3 PTK2B PSMB9 IL7R RORA IL20RB CSF1 NFKB2 PTPRZ1 POMC RALA DUSP6 CCR5 PPP2CA STX3 CAPZA1 CRK SOS2 CRKL TSLP STAT3 CXCL1 IL13RA1 CASP1 RIPK2 SOCS2 IL1R1 MAPK7 GRB2 FBXW11 TBK1 PDCD4 PELI2 FLT3LG LYN MAP2K4 HAVCR2 IL33 TAB2
"Diseases associated with the TLR signaling cascade"	0.0154043645699615	0.122781847013517	0.683009471502245	1.59215244562218	11	24	TLR4 TLR2 TLR6 TLR10 LY96 BTK CD14 NFKBIA TLR1 NFKB2
Kinesins	0.00247218788627936	0.0325877825877826	0.708755981995045	1.78444101857649	1	37	KIF26A KLC3 KIF21B KIF15 KIF23 KIFC1 CENPE KIF18A KIF20A KIF2C KIF20B KIF18B KIF5C KIF11 KIF3C RACGAP1 KIF1B KIF4A
"ROS, RNS production in phagocytes"	0.00252525252525253	0.0325877825877826	0.745256512808476	1.81859094956907	1	31	NCF1 SLC11A1 NOS3 RAC2 NCF4 NCF2 NOS2 ATP6V1C2 HVCN1 ATP6V1B2 CYBB
"DAP12 interactions"	0.00249376558603491	0.0325877825877826	0.691082877456564	1.71897298761269	1	34	CD300LB LCP2 TREM1 TYROBP SIRPB1 KLRD1 BTK PLCG2 SIGLEC14 CLEC5A HLA-C HLA-E FYN LCK SYK
"DDX58/IFIH1-mediated induction of interferon-alpha/beta"	0.0337457817772778	0.19457674173707	0.539916384018926	1.45745329521693	29	64	S100A12 AGER NFKBIA NLRX1 TRIM25 NLRC5 UBE2D1 IRF7 CREBBP TANK MAP3K1 NFKB2 CYLD CASP8 UBE2D3 EP300 UBE2L6 TBK1 RNF135 ISG15 TNFAIP3 NFKB1 SAA1 DHX58 UBE2D2 IKBKG
"Antimicrobial peptides"	0.00125628140703518	0.0261886354851179	0.749463416829202	1.84283084855045	0	32	S100A7 RNASE7 GNLY PRSS3 LTF SLC11A1 PGLYRP3 TLR2 S100A8 S100A9 PGLYRP4 RNASE6 PI3 BPIFB2 BPIFA1 BPI
"Toll-like Receptor Cascades"	0.00104166666666667	0.0261886354851179	0.578489990582555	1.66139670577075	0	143	CTSV FOS S100A12 TLR8 TLR4 ITGAM ITGB2 TLR2 S100A8 S100A9 TLR6 TLR10 LY96 BTK NOD2 PLCG2 CD14 BPI MEF2C CD180 MAPKAPK3 AGER NFKBIA RPS6KA5 LY86 CTSS IRAK2 MAP3K8 UBE2D1 MAP2K6 DUSP7 PELI1 TLR7 TLR1 IRF7 TANK MAP3K1 MAP2K3 DNM3 NFKB2 CASP8 DUSP6 PPP2CA UBE2D3 RIPK2 MAPK7 FBXW11 TBK1 PELI2 MAP2K4 TAB2 MAPKAPK2 MAPK1 CNPY3 MYD88 MAPK14 RPS6KA1 NFKB1 CREB1 SAA1 UBE2D2 MAPK3 IKBKG RBSN JUN PELI3 LGMN TAB3
"Fcgamma receptor (FCGR) dependent phagocytosis"	0.00108108108108108	0.0261886354851179	0.600225313282373	1.66786806088133	0	84	WAS WIPF1 HCK ELMO1 FCGR3A IGKC FGR FCGR2A BTK PLCG2 NCKAP1L FCGR1A MYO5A CYFIP2 MYO9B FYN ITPR2 SYK WASF3 PLD4 CD247 ACTR3 CD3G ACTB CRK GRB2 LYN ACTR2 NCK1 MAPK1 MYH9 YES1 WASL WASF2 ARPC2 PIK3CB NCKAP1 MAPK3 ARPC1B PIK3CA ABI1
"Fc epsilon receptor (FCERI) signaling"	0.00208333333333333	0.0325877825877826	0.532604962972483	1.5238535207956	1	128	LCP2 RASGRP2 FOS LAT2 RASGRP4 IGKC GAB2 TXK BTK FCER1G PLCG2 NFKBIA ITK TEC FYN ITPR2 UBE2D1 SYK MAP3K1 PSMB9 RASGRP1 FCER1A MALT1 GRB2 FBXW11 LYN MAP2K4 TAB2 PAK2 MAPK1 GRAP2 CDC34 NFKB1 NFATC2 PIK3CB PSMC6 UBE2D2 MAPK3 IKBKG NFATC3 PIK3CA JUN TAB3 PSME1
"Neutrophil degranulation"	0.001	0.0261886354851179	0.667596425069397	1.9842953801199	0	422	ARG1 S100A7 CALML5 CRISP3 HRNR SLC2A3 C5AR1 PRSS3 ADGRE3 LTF SLC11A1 ADGRG3 GMFG ARHGAP9 TNFRSF1B OLR1 PLAUR S100A12 ITGAX PADI2 PTPRC TYROBP NFAM1 CR1 ITGAM CD53 PECAM1 ITGB2 SIRPB1 LILRB2 CD300A CFP ITGAL DOCK2 CEACAM3 MNDA FPR1 LILRB3 COTL1 C3AR1 FGL2 P2RX1 FGR TLR2 DOK3 PKP1 S100A8 GPR84 CPPED1 TBC1D10C HSPA6 ADAM8 GLIPR1 MGAM BST1 S100A9 CD93 FCGR2A CHI3L1 LPCAT1 BIN2 UNC13D MMP25 SELL GCA ALOX5 SERPINA1 SIGLEC9 MME SIRPA CRISPLD2 OSCAR CXCR2 GGH MMP9 FCER1G FPR2 GM2A CD177 FABP5 STK10 CD14 CXCR1 GLA NCKAP1L AZU1 IGF2R RAB24 BPI HVCN1 SIGLEC14 FCGR3B RHOG PTAFR CHRNB4 FTH1 SLC2A5 CLEC12A HPSE KCNAB2 CLEC5A HLA-C RNASET2 TRPM2 HMOX2 APAF1 DSP PNP CYBB SLC15A4 PLEKHO2 PTPN6 IMPDH1 CTSS CSTB DDX3X VAT1 RAB9B
